,Date,Time,City,Population,Result,NormalizedResult
0,2024-05-13,15:00,Berlin,3769495,[ 85.  83.  65.  80.  92.  85. 136. 145.  91.  78.  44.  42.  37.],"[0.0799623706491063, 0.07808090310442145, 0.06114769520225776, 0.07525870178739416, 0.08654750705550329, 0.0799623706491063, 0.1279397930385701, 0.13640639698965193, 0.08560677328316087, 0.07337723424270931, 0.041392285983066796, 0.03951081843838194, 0.034807149576669805]"
1,2024-05-13,18:00,Berlin,3769495,[ 80.  92.  85. 136. 145.  91.  78.  44.  42.  37.  24.  10.   5.],"[0.09205983889528194, 0.10586881472957423, 0.09781357882623705, 0.1565017261219793, 0.1668584579976985, 0.1047180667433832, 0.08975834292289989, 0.05063291139240506, 0.04833141542002301, 0.04257767548906789, 0.02761795166858458, 0.011507479861910242, 0.005753739930955121]"
2,2024-05-13,21:00,Berlin,3769495,[136. 145.  91.  78.  44.  42.  37.  24.  10.   5.   2.   3.   2.],"[0.2197092084006462, 0.23424878836833601, 0.1470113085621971, 0.1260096930533118, 0.07108239095315025, 0.06785137318255251, 0.05977382875605816, 0.03877221324717286, 0.01615508885298869, 0.008077544426494346, 0.0032310177705977385, 0.004846526655896607, 0.0032310177705977385]"
3,2024-05-14,15:00,Berlin,3769495,[ 78.  78.  84. 105.  87. 114. 162. 132. 114.  94.  77.  36.  30.],"[0.0654911838790932, 0.0654911838790932, 0.07052896725440806, 0.08816120906801007, 0.07304785894206549, 0.09571788413098237, 0.13602015113350127, 0.11083123425692695, 0.09571788413098237, 0.07892527287993283, 0.06465155331654072, 0.030226700251889168, 0.02518891687657431]"
4,2024-05-14,18:00,Berlin,3769495,[105.  87. 114. 162. 132. 114.  94.  77.  36.  30.  22.  15.   7.],"[0.10552763819095477, 0.08743718592964825, 0.11457286432160804, 0.1628140703517588, 0.13266331658291458, 0.11457286432160804, 0.09447236180904522, 0.07738693467336684, 0.036180904522613064, 0.03015075376884422, 0.022110552763819097, 0.01507537688442211, 0.007035175879396985]"
5,2024-05-14,21:00,Berlin,3769495,[162. 132. 114.  94.  77.  36.  30.  22.  15.   7.   5.   2.   2.],"[0.23209169054441262, 0.18911174785100288, 0.16332378223495703, 0.1346704871060172, 0.11031518624641834, 0.05157593123209169, 0.04297994269340974, 0.03151862464183381, 0.02148997134670487, 0.01002865329512894, 0.0071633237822349575, 0.0028653295128939827, 0.0028653295128939827]"
6,2024-05-15,15:00,Berlin,3769495,[ 86.  90.  73. 102.  80. 108. 183. 139. 132.  87.  65.  38.  40.],"[0.07031888798037612, 0.07358953393295176, 0.059689288634505316, 0.08340147179067865, 0.06541291905151267, 0.08830744071954211, 0.14963205233033525, 0.11365494685200327, 0.10793131643499591, 0.07113654946852004, 0.053147996729354045, 0.03107113654946852, 0.032706459525756335]"
7,2024-05-15,18:00,Berlin,3769495,[102.  80. 108. 183. 139. 132.  87.  65.  38.  40.  25.  11.   7.],"[0.10029498525073746, 0.07866273352999016, 0.10619469026548672, 0.17994100294985252, 0.13667649950835792, 0.12979351032448377, 0.0855457227138643, 0.063913470993117, 0.03736479842674533, 0.03933136676499508, 0.024582104228121928, 0.010816125860373648, 0.00688298918387414]"
8,2024-05-15,21:00,Berlin,3769495,[183. 139. 132.  87.  65.  38.  40.  25.  11.   7.   4.   1.   0.],"[0.25, 0.18989071038251365, 0.18032786885245902, 0.11885245901639344, 0.08879781420765027, 0.05191256830601093, 0.0546448087431694, 0.03415300546448088, 0.015027322404371584, 0.009562841530054645, 0.00546448087431694, 0.001366120218579235, 0.0]"
9,2024-05-16,15:00,Berlin,3769495,[112. 119.  90. 115.  92. 172. 209. 214. 119. 111.  82.  42.  42.],"[0.07373271889400922, 0.07834101382488479, 0.05924950625411455, 0.07570770243581304, 0.06056616194865043, 0.11323238973008558, 0.13759052007899933, 0.14088215931533904, 0.07834101382488479, 0.07307439104674128, 0.053982883475971036, 0.027649769585253458, 0.027649769585253458]"
10,2024-05-16,18:00,Berlin,3769495,[115.  92. 172. 209. 214. 119. 111.  82.  42.  42.  32.   7.   4.],"[0.0926672038678485, 0.07413376309427881, 0.1385979049153908, 0.16841257050765512, 0.1724415793714746, 0.0958904109589041, 0.0894439967767929, 0.06607574536663981, 0.03384367445608381, 0.03384367445608381, 0.0257856567284448, 0.0056406124093473006, 0.0032232070910556]"
11,2024-05-16,21:00,Berlin,3769495,[209. 214. 119. 111.  82.  42.  42.  32.   7.   4.   3.   2.   1.],"[0.24078341013824886, 0.2465437788018433, 0.13709677419354838, 0.12788018433179724, 0.0944700460829493, 0.04838709677419355, 0.04838709677419355, 0.03686635944700461, 0.008064516129032258, 0.004608294930875576, 0.0034562211981566822, 0.002304147465437788, 0.001152073732718894]"
12,2024-05-17,15:00,Berlin,3769495,[ 64.  75. 117. 127. 153. 146. 195. 162. 111. 131.  79.  49.  24.],"[0.044661549197487785, 0.052337752965806, 0.08164689462665736, 0.08862526168876483, 0.10676901605024425, 0.10188415910676901, 0.1360781577110956, 0.11304954640614097, 0.07745987438939288, 0.09141660851360782, 0.05512909979064899, 0.034193998604326585, 0.01674808094905792]"
13,2024-05-17,18:00,Berlin,3769495,[127. 153. 146. 195. 162. 111. 131.  79.  49.  24.  35.  12.   9.],"[0.1030008110300081, 0.12408759124087591, 0.11841038118410381, 0.15815085158150852, 0.13138686131386862, 0.09002433090024331, 0.10624493106244931, 0.0640713706407137, 0.039740470397404706, 0.019464720194647202, 0.028386050283860504, 0.009732360097323601, 0.0072992700729927005]"
14,2024-05-17,21:00,Berlin,3769495,[195. 162. 111. 131.  79.  49.  24.  35.  12.   9.  12.   3.   1.],"[0.23693803159173754, 0.1968408262454435, 0.13487241798298907, 0.1591737545565006, 0.0959902794653706, 0.05953827460510328, 0.02916160388821385, 0.0425273390036452, 0.014580801944106925, 0.010935601458080195, 0.014580801944106925, 0.0036452004860267314, 0.001215066828675577]"
