City,Date,Time,Population,Match,Group,Result,MatchLabel,NormalizedResult
München,2024-06-14,21:00,1471508,Germany 5 - 1 Scotland,Group A,[62. 52. 37. 39. 65. 87. 22. 29. 19.  4.  2.  1.  0.],Germany 5 - 1 Scotland,"[0.14797136038186157, 0.12410501193317422, 0.0883054892601432, 0.09307875894988067, 0.15513126491646778, 0.20763723150357996, 0.05250596658711217, 0.06921241050119331, 0.045346062052505964, 0.00954653937947494, 0.00477326968973747, 0.002386634844868735, 0.0]"
Köln,2024-06-15,15:00,1085664,Hungary 1 - 3 Switzerland,Group A,[ 67.  66. 119. 108. 127. 136.  97.  87.  81.  75.  64.  52.  24.],Hungary 1 - 3 Switzerland,"[0.06074342701722575, 0.05983680870353581, 0.10788757932910245, 0.09791477787851315, 0.11514052583862194, 0.12330009066183137, 0.08794197642792384, 0.07887579329102448, 0.07343608340888486, 0.06799637352674524, 0.05802357207615594, 0.0471441523118767, 0.021758839528558477]"
Stuttgart,2024-06-19,18:00,634830,Germany 2 - 0 Hungary,Group A,[ 55.  58.  81. 109. 283. 300. 107. 104. 127.  31.  21.   7.   3.],Germany 2 - 0 Hungary,"[0.042768273716951785, 0.04510108864696734, 0.06298600311041991, 0.08475894245723173, 0.22006220839813376, 0.2332814930015552, 0.08320373250388803, 0.08087091757387248, 0.09875583203732503, 0.02410575427682737, 0.016329704510108865, 0.005443234836702955, 0.0023328149300155523]"
Köln,2024-06-19,21:00,1085664,Scotland 1 - 1 Switzerland,Group A,[182. 221. 148.  55.  26.  40.  26.  13.  12.   8.   9.   2.   1.],Scotland 1 - 1 Switzerland,"[0.2449528936742934, 0.297442799461642, 0.19919246298788695, 0.0740242261103634, 0.034993270524899055, 0.05383580080753701, 0.034993270524899055, 0.017496635262449527, 0.016150740242261104, 0.010767160161507403, 0.012113055181695828, 0.0026917900403768506, 0.0013458950201884253]"
Frankfurt am Main,2024-06-23,21:00,753056,Switzerland 1 - 1 Germany,Group A,[ 45.  82.  86.  83. 186. 113.  54.  87.  36.  11.   2.   2.   3.],Switzerland 1 - 1 Germany,"[0.056962025316455694, 0.10379746835443038, 0.10886075949367088, 0.10506329113924051, 0.23544303797468355, 0.14303797468354432, 0.06835443037974684, 0.11012658227848102, 0.04556962025316456, 0.013924050632911392, 0.002531645569620253, 0.002531645569620253, 0.0037974683544303796]"
Stuttgart,2024-06-23,21:00,634830,Scotland 0 - 1 Hungary,Group A,[49. 62. 56. 76. 40. 35. 34. 24. 19.  5.  3.  4.  7.],Scotland 0 - 1 Hungary,"[0.11835748792270531, 0.1497584541062802, 0.13526570048309178, 0.18357487922705315, 0.0966183574879227, 0.08454106280193237, 0.0821256038647343, 0.057971014492753624, 0.04589371980676329, 0.012077294685990338, 0.007246376811594203, 0.00966183574879227, 0.016908212560386472]"
Berlin,2024-06-15,18:00,3769000,Spain 3 - 0 Croatia,Group B,[341. 321. 422. 374. 307. 354. 257. 261. 225. 178. 157.  94.  42.],Spain 3 - 0 Croatia,"[0.10231023102310231, 0.0963096309630963, 0.1266126612661266, 0.11221122112211221, 0.0921092109210921, 0.10621062106210621, 0.0771077107710771, 0.0783078307830783, 0.0675067506750675, 0.05340534053405341, 0.047104710471047105, 0.028202820282028203, 0.012601260126012601]"
Dortmund,2024-06-15,21:00,588462,Italy 2 - 1 Albania,Group B,[134. 120. 133. 106. 108.  84.  58.  32.  45.  10.  12.   7.   0.],Italy 2 - 1 Albania,"[0.15783274440518258, 0.1413427561837456, 0.15665488810365136, 0.1248527679623086, 0.127208480565371, 0.0989399293286219, 0.06831566548881036, 0.03769140164899882, 0.053003533568904596, 0.011778563015312132, 0.014134275618374558, 0.008244994110718492, 0.0]"
Hamburg,2024-06-19,15:00,1841179,Croatia 2 - 2 Albania,Group B,[194. 135. 164. 234. 191. 216. 325. 400. 272. 125.  67.  50.  33.],Croatia 2 - 2 Albania,"[0.08063175394846218, 0.05610972568578554, 0.06816292601828762, 0.09725685785536159, 0.07938487115544472, 0.08977556109725686, 0.13507896924355778, 0.1662510390689942, 0.11305070656691604, 0.051953449709060684, 0.027847049044056525, 0.020781379883624274, 0.01371571072319202]"
Gelsenkirchen,2024-06-20,21:00,260000,Spain 1 - 0 Italy,Group B,[108.  84.  79.  62.  70. 101.  37.  34.  29.   9.   6.   5.   3.],Spain 1 - 0 Italy,"[0.1722488038277512, 0.1339712918660287, 0.12599681020733652, 0.09888357256778309, 0.11164274322169059, 0.16108452950558214, 0.05901116427432217, 0.05422647527910686, 0.046251993620414676, 0.014354066985645933, 0.009569377990430622, 0.007974481658692184, 0.004784688995215311]"
