,City,Date,Time,Population,Match,Group,Result,MatchLabel,NormalizedResult
0,München,2024-06-14,21:00,1471508,Germany 5 - 1 Scotland,Group A,[10.  6.  1.  8.  3. 14.  3.  7.  2.  2.  1.  0.  0.],Germany 5 - 1 Scotland,"[0.17543859649122806, 0.10526315789473684, 0.017543859649122806, 0.14035087719298245, 0.05263157894736842, 0.24561403508771928, 0.05263157894736842, 0.12280701754385964, 0.03508771929824561, 0.03508771929824561, 0.017543859649122806, 0.0, 0.0]"
1,Köln,2024-06-15,15:00,1085664,Hungary 1 - 3 Switzerland,Group A,[ 8.  7. 13. 14. 16. 15. 11.  6. 11.  9.  7.  4.  7.],Hungary 1 - 3 Switzerland,"[0.0625, 0.0546875, 0.1015625, 0.109375, 0.125, 0.1171875, 0.0859375, 0.046875, 0.0859375, 0.0703125, 0.0546875, 0.03125, 0.0546875]"
2,Stuttgart,2024-06-19,18:00,634830,Germany 2 - 0 Hungary,Group A,[ 3.  2. 12. 11. 55. 61. 20. 22. 23.  5.  1.  0.  0.],Germany 2 - 0 Hungary,"[0.013953488372093023, 0.009302325581395349, 0.05581395348837209, 0.05116279069767442, 0.2558139534883721, 0.2837209302325581, 0.09302325581395349, 0.10232558139534884, 0.10697674418604651, 0.023255813953488372, 0.004651162790697674, 0.0, 0.0]"
3,Köln,2024-06-19,21:00,1085664,Scotland 1 - 1 Switzerland,Group A,[ 8. 21. 14.  6.  1.  6.  1.  2.  4.  1.  1.  1.  0.],Scotland 1 - 1 Switzerland,"[0.12121212121212122, 0.3181818181818182, 0.21212121212121213, 0.09090909090909091, 0.015151515151515152, 0.09090909090909091, 0.015151515151515152, 0.030303030303030304, 0.06060606060606061, 0.015151515151515152, 0.015151515151515152, 0.015151515151515152, 0.0]"
4,Frankfurt am Main,2024-06-23,21:00,753056,Switzerland 1 - 1 Germany,Group A,[ 4.  5.  7. 17. 36. 31. 11. 17.  1.  1.  0.  1.  2.],Switzerland 1 - 1 Germany,"[0.03007518796992481, 0.03759398496240601, 0.05263157894736842, 0.12781954887218044, 0.2706766917293233, 0.23308270676691728, 0.08270676691729323, 0.12781954887218044, 0.007518796992481203, 0.007518796992481203, 0.0, 0.007518796992481203, 0.015037593984962405]"
5,Stuttgart,2024-06-23,21:00,634830,Scotland 0 - 1 Hungary,Group A,[ 2.  9.  5.  8. 11.  4.  6.  6.  2.  1.  1.  1.  1.],Scotland 0 - 1 Hungary,"[0.03508771929824561, 0.15789473684210525, 0.08771929824561403, 0.14035087719298245, 0.19298245614035087, 0.07017543859649122, 0.10526315789473684, 0.10526315789473684, 0.03508771929824561, 0.017543859649122806, 0.017543859649122806, 0.017543859649122806, 0.017543859649122806]"
6,Berlin,2024-06-15,18:00,3769000,Spain 3 - 0 Croatia,Group B,[35. 36. 54. 42. 49. 43. 37. 37. 41. 35. 25.  8.  7.],Spain 3 - 0 Croatia,"[0.0779510022271715, 0.0801781737193764, 0.12026726057906459, 0.0935412026726058, 0.1091314031180401, 0.0957683741648107, 0.08240534521158129, 0.08240534521158129, 0.09131403118040089, 0.0779510022271715, 0.0556792873051225, 0.017817371937639197, 0.015590200445434299]"
7,Dortmund,2024-06-15,21:00,588462,Italy 2 - 1 Albania,Group B,[13. 13. 26. 12. 30. 18.  3.  7. 12.  1.  7.  0.  0.],Italy 2 - 1 Albania,"[0.09154929577464789, 0.09154929577464789, 0.18309859154929578, 0.08450704225352113, 0.2112676056338028, 0.1267605633802817, 0.02112676056338028, 0.04929577464788732, 0.08450704225352113, 0.007042253521126761, 0.04929577464788732, 0.0, 0.0]"
8,Hamburg,2024-06-19,15:00,1841179,Croatia 2 - 2 Albania,Group B,[18. 12. 25. 24. 27. 27. 37. 50. 34. 11.  8.  7.  8.],Croatia 2 - 2 Albania,"[0.0625, 0.041666666666666664, 0.08680555555555555, 0.08333333333333333, 0.09375, 0.09375, 0.1284722222222222, 0.1736111111111111, 0.11805555555555555, 0.03819444444444445, 0.027777777777777776, 0.024305555555555556, 0.027777777777777776]"
9,Gelsenkirchen,2024-06-20,21:00,260000,Spain 1 - 0 Italy,Group B,[10. 11. 13.  9. 13. 31.  4.  6.  6.  3.  2.  1.  2.],Spain 1 - 0 Italy,"[0.09009009009009009, 0.0990990990990991, 0.11711711711711711, 0.08108108108108109, 0.11711711711711711, 0.27927927927927926, 0.036036036036036036, 0.05405405405405406, 0.05405405405405406, 0.02702702702702703, 0.018018018018018018, 0.009009009009009009, 0.018018018018018018]"
