day,city,contacts_city,contacts_stad,contact_to_baseline_city,contact_to_baseline_all
2024-04-29,Berlin,1206,0,1.052749719416386,1.052749719416386
2024-04-29,Dortmund,262,0,1.108827085852479,1.108827085852479
2024-04-29,Düsseldorf,204,0,0.9622641509433962,0.9622641509433962
2024-04-29,Frankfurt am Main,162,0,0.8649885583524027,0.8649885583524027
2024-04-29,Gelsenkirchen,446,0,1.6884802595997834,1.6884802595997834
2024-04-29,Hamburg,702,0,1.1221740123315826,1.1221740123315826
2024-04-29,Köln,304,0,1.1164742917103883,1.1164742917103883
2024-04-29,Leipzig,604,0,1.32125,1.32125
2024-04-29,München,100,0,0.8264462809917356,0.8264462809917356
2024-04-29,Stuttgart,146,0,0.8668363019508059,0.8668363019508059
2024-04-30,Berlin,1372,0,1.1129910766021556,1.1129910766021556
2024-04-30,Dortmund,378,0,1.4364820846905537,1.4364820846905537
2024-04-30,Düsseldorf,252,0,1.135135135135135,1.135135135135135
2024-04-30,Frankfurt am Main,244,0,1.19859649122807,1.19859649122807
2024-04-30,Gelsenkirchen,430,0,1.618279569892473,1.618279569892473
2024-04-30,Hamburg,754,0,1.11988117971568,1.11988117971568
2024-04-30,Köln,420,0,1.3731900980850071,1.3731900980850071
2024-04-30,Leipzig,646,0,1.2942186605609616,1.2942186605609616
2024-04-30,München,148,0,1.1224268689057422,1.1224268689057422
2024-04-30,Stuttgart,340,0,1.6391184573002755,1.6391184573002755
2024-05-01,Berlin,694,0,0.5797827903091061,0.5797827903091061
2024-05-01,Dortmund,256,22,1.0095774647887323,1.096338028169014
2024-05-01,Düsseldorf,120,0,0.5562913907284768,0.5562913907284768
2024-05-01,Frankfurt am Main,74,0,0.4150641025641026,0.4150641025641026
2024-05-01,Gelsenkirchen,204,0,0.7611940298507462,0.7611940298507462
2024-05-01,Hamburg,380,0,0.5439672801635992,0.5439672801635992
2024-05-01,Köln,164,0,0.5258818140174073,0.5258818140174073
2024-05-01,Leipzig,408,0,0.7852625790486665,0.7852625790486665
2024-05-01,München,66,0,0.4894067796610169,0.4894067796610169
2024-05-01,Stuttgart,134,0,0.5415704387990763,0.5415704387990763
2024-05-02,Berlin,1200,0,0.9446693657219973,0.9446693657219973
2024-05-02,Dortmund,284,0,1.1491329479768786,1.1491329479768786
2024-05-02,Düsseldorf,252,0,1.172093023255814,1.172093023255814
2024-05-02,Frankfurt am Main,138,0,0.6964671953857245,0.6964671953857245
2024-05-02,Gelsenkirchen,358,0,1.3024948024948027,1.3024948024948027
2024-05-02,Hamburg,736,0,1.0339153120610074,1.0339153120610074
2024-05-02,Köln,308,0,0.9940064545873676,0.9940064545873676
2024-05-02,Leipzig,562,0,1.1091062870031012,1.1091062870031012
2024-05-02,München,158,0,1.1803628601921023,1.1803628601921023
2024-05-02,Stuttgart,202,0,1.1012461059190033,1.1012461059190033
