day,contacts_germ,contacts_stad,contact_to_baseline_germ,contact_to_baseline_all
2024-04-29,109012,0,1.107901824279689,1.107901824279689
2024-04-30,132896,58,1.3240647434912067,1.3246426070470887
2024-05-01,78050,78,0.7614039879814258,0.7621649042025989
2024-05-02,109018,0,1.0274276543781655,1.0274276543781655
2024-05-03,119410,130,0.9707498699271592,0.9718067117585848
2024-05-04,108960,588,1.0187448409613644,1.0242424728123674
2024-05-05,77240,238,0.9350652944258916,0.9379465158147232
2024-05-06,106496,4,1.0823314192794349,1.0823720717516134
2024-05-07,107268,2,1.0687287571094297,1.0687486834389428
2024-05-08,143174,2,1.3967105006438523,1.39673001131619
2024-05-09,82472,144,0.7772479178839831,0.7786050293906192
2024-05-10,112236,134,0.912428459937565,0.9135178199791884
2024-05-11,106420,860,0.9949965673192768,1.0030373213870702
2024-05-12,103754,306,1.256043041919523,1.2597474694194495
2024-05-13,103334,2,1.0501956400223589,1.050215966258448
2024-05-14,103812,14,1.0342960597106696,1.034435544017262
2024-05-15,114894,0,1.120829593787802,1.120829593787802
2024-05-16,127630,0,1.2028343166108832,1.2028343166108832
2024-05-17,148988,256,1.2112057752341312,1.2132869406867846
2024-05-18,118852,966,1.1112322121690534,1.1202640359242726
2024-05-19,79984,532,0.9682840822030102,0.9747244594251047
2024-05-20,82538,8,0.8388434371665227,0.8389247421108796
2024-05-21,109358,212,1.0895517714506937,1.0916639623790898
2024-05-22,102162,0,0.996624653685566,0.996624653685566
2024-05-23,107846,32,1.0163822746158215,1.0166838549506296
2024-05-24,122154,88,0.9930573621227887,0.9937727627471384
2024-05-25,101464,300,0.9486593845751089,0.9514642987848043
2024-05-26,75032,386,0.9083353077597552,0.9130082130374403
2024-05-27,98058,98,0.9965750292189643,0.9975710147873368
2024-05-28,99232,0,0.9886647651255074,0.9886647651255074
2024-05-29,115444,4,1.1261950286806883,1.1262340500253638
2024-05-30,99544,0,0.9381410265040646,0.9381410265040646
2024-05-31,130570,38,1.061475676378772,1.0617845993756503
2024-06-01,109750,344,1.0261311150468955,1.0293474166740129
2024-06-02,90534,66,1.0960020891449205,1.0968010833115713
2024-06-03,99994,20,1.0162508257533411,1.0164540881142334
2024-06-04,97836,6,0.9747561871253138,0.9748159661138533
2024-06-05,103106,0,1.005833691028993,1.005833691028993
2024-06-06,111016,290,1.0462575765327415,1.0489906483169393
2024-06-07,121940,32,0.9913176378772113,0.9915777835587929
2024-06-08,104618,10,0.9781483826330398,0.978241879773363
2024-06-09,78224,88,0.9469775710923218,0.9480428966478562
2024-06-10,97208,0,0.9879363788810407,0.9879363788810407
2024-06-11,98818,2,0.984540014916281,0.984559941245794
2024-06-12,99190,188,0.9676317945916416,0.9694657977913919
2024-06-13,107766,46,1.0156283237788015,1.016061845510088
2024-06-14,122994,44,0.999886186264308,1.0002438865764829
2024-06-15,98518,162,0.9211151270359003,0.9226297807091357
2024-06-16,78768,56,0.9535632199810801,0.954241154425511
2024-06-17,96452,80,0.9802530616393109,0.9810661110828802
2024-06-18,95350,74,0.9499877595404419,0.9507250337324292
2024-06-19,97048,80,0.9467358645178913,0.947516291411402
2024-06-20,107742,36,1.0154021385276955,1.0157414164043546
2024-06-21,122668,368,0.9972359521331946,1.000227627471384
2024-06-22,101588,934,0.9498187491151163,0.9585513820213013
2024-06-23,77944,88,0.9435878988701669,0.9446532244257013
2024-06-24,95626,60,0.9718583261344581,0.972468113217135
2024-06-25,93332,62,0.929882093061652,0.9304998092765603
2024-06-26,95550,94,0.9321223709369025,0.9330393725367776
2024-06-27,104580,0,0.9856022316944776,0.9856022316944776
2024-06-28,127456,0,1.0361602497398543,1.0361602497398543
2024-06-29,106612,248,0.9967917124134817,0.9991104414934966
2024-06-30,75380,152,0.9125481860930049,0.9143882938707463
2024-07-01,105448,70,1.0716804715686772,1.0723918898318003
2024-07-02,100488,172,1.001178500059779,1.0028921643979116
2024-07-03,99294,0,0.9686463495532056,0.9686463495532056
2024-07-04,113842,2,1.0728908898504754,1.0729097386214008
2024-07-05,121172,358,0.9850741415192508,0.9879845213319459
2024-07-06,103718,136,0.9697336400039536,0.9710052011123489
2024-07-07,85998,2,1.0410893991460102,1.041113611090454
2024-07-08,99004,2,1.0061893388891712,1.0062096651252603
2024-07-09,93910,10,0.9356408022909586,0.9357404339385244
2024-07-10,96992,20,0.9461895656924337,0.9463846724158115
2024-07-11,108436,204,1.0219426620388445,1.0238652366732457
2024-07-12,124674,476,1.0135438345473464,1.017413501560874
2024-07-13,115650,532,1.0812944278375713,1.0862684757027645
2024-07-14,84258,64,1.0200250074797614,1.0207997897019683
2024-07-15,97452,2,0.990416179683927,0.9904365059200163
2024-07-16,95660,102,0.9530763406149835,0.9540925834201551
2024-07-17,101276,248,0.9879814258399344,0.9904007492098178
2024-07-18,103898,192,0.9791748008088815,0.9809842828177296
2024-07-19,117398,660,0.9543932101977107,0.959758714880333
