day,city,event,ncontacts_hoststad,ncontacts_hostcity,ncontacts_germany
2024-04-30,München,UEFA Champions League,,742.1208745950579,33.6627214557435
2024-05-01,Dortmund,UEFA Champions League,1992.9203543701342,643.2330370089168,24.2546801796649
2024-05-03,Düsseldorf,Bundesliga,,472.3690710647662,29.825319435078953
2024-05-03,Hamburg,Bundesliga,2326.8053891215905,699.88635327664,29.825319435078953
2024-05-04,Köln,Bundesliga,1978.7856483458638,1168.533639149771,31.43163508322408
2024-05-04,Dortmund,Bundesliga,2027.9770816165085,1175.910395781926,31.43163508322408
2024-05-04,Stuttgart,Bundesliga,1797.4559456205425,1705.2990309843885,31.43163508322408
2024-05-05,Berlin,S25 Berlin,,442.68308048770774,23.78094099130097
2024-05-05,Frankfurt am Main,Bundesliga,,455.0802896195244,23.78094099130097
2024-05-05,Berlin,Bundesliga,,442.68308048770774,23.78094099130097
2024-05-07,Dortmund,B2Run,,778.915005752985,28.036305616471676
2024-05-09,Köln,DFB Pokal,1638.057590910842,485.2042792317388,26.445809827379914
2024-05-11,Gelsenkirchen,Bundesliga,1257.9074229358205,797.2870619583268,31.38888798293296
2024-05-11,Leipzig,Bundesliga,1505.2700777384205,794.764541893685,31.38888798293296
2024-05-11,Berlin,Bundesliga,2062.003069260909,553.9332787254564,31.38888798293296
2024-05-11,Köln,Bundesliga,1617.9326871117605,954.2350824890862,31.38888798293296
2024-05-12,Hamburg,Bundesliga,,778.7197062556021,28.617589316230518
2024-05-12,München,Bundesliga,4096.554619226326,732.092214127557,28.617589316230518
2024-05-17,Gelsenkirchen,AC/DC,3039.5670129297737,1342.7992622456031,36.193535637360775
2024-05-18,Stuttgart,Bundesliga,,900.0189330195383,35.703712808048266
2024-05-18,Frankfurt am Main,Bundesliga,,661.2885458533713,35.703712808048266
2024-05-18,Dortmund,Bundesliga,3678.25404146067,834.1928448709391,35.703712808048266
2024-05-18,Berlin,Bundesliga,,632.7355024771949,35.703712808048266
2024-05-19,Hamburg,Bundesliga,1357.0247479781729,440.31311785810584,28.932031474003136
2024-05-19,Düsseldorf,Bundesliga,,561.285602088722,28.932031474003136
2024-05-21,Gelsenkirchen,AC/DC,2485.9617780570225,844.4948485216488,29.09316236237095
2024-05-24,Köln,H Carpendale,,1411.13577876564,31.971829869214748
2024-05-24,München,Metallica,1809.2816837788885,1203.4392561000939,31.971829869214748
2024-05-25,Berlin,DFB Pokal,1224.447876436058,585.222396979823,30.53527643265103
2024-05-25,Hamburg,RLiga (f),,984.4555298836253,30.53527643265103
2024-05-25,Frankfurt am Main,HLiga,,682.6204344292867,30.53527643265103
2024-05-26,München,Metallica,,1103.1526514250859,23.812580236382118
2024-05-27,Düsseldorf,Bundesliga relegation,2436.153659303732,705.7749650026507,27.47156202084859
