Date,Time,City,Population,Result,NormalizedResult
2024-05-13,15:00,Berlin,3769495,[377. 361. 321. 382. 364. 423. 598. 514. 429. 296. 187. 168.  99.],"[0.08342553662314671, 0.0798849302943129, 0.07103341447222837, 0.08453197610090728, 0.08054879398096924, 0.09360477981854393, 0.13233016154016375, 0.11374197831378624, 0.0949325071918566, 0.06550121708342553, 0.04138083646824519, 0.03717636645275504, 0.021907501659659216]"
2024-05-13,18:00,Berlin,3769495,[382. 364. 423. 598. 514. 429. 296. 187. 168.  99.  95.  40.  16.],"[0.10578787039601219, 0.10080310163389643, 0.1171420659097203, 0.16560509554140126, 0.1423428413181944, 0.11880365549709222, 0.08197175297701467, 0.051786208806424816, 0.04652450844641374, 0.027416228191636666, 0.026308501800055388, 0.011077263915812794, 0.004430905566325118]"
2024-05-13,21:00,Berlin,3769495,[598. 514. 429. 296. 187. 168.  99.  95.  40.  16.  10.   5.   3.],"[0.24308943089430896, 0.20894308943089432, 0.174390243902439, 0.12032520325203253, 0.07601626016260163, 0.06829268292682927, 0.04024390243902439, 0.03861788617886179, 0.016260162601626018, 0.0065040650406504065, 0.0040650406504065045, 0.0020325203252032522, 0.0012195121951219512]"
2024-05-14,15:00,Berlin,3769495,[367. 334. 376. 460. 391. 424. 570. 559. 462. 359. 260. 128.  90.],"[0.07677824267782427, 0.0698744769874477, 0.07866108786610879, 0.09623430962343096, 0.08179916317991631, 0.0887029288702929, 0.1192468619246862, 0.11694560669456067, 0.09665271966527196, 0.07510460251046025, 0.05439330543933055, 0.026778242677824266, 0.01882845188284519]"
2024-05-14,18:00,Berlin,3769495,[460. 391. 424. 570. 559. 462. 359. 260. 128.  90.  90.  52.  21.],"[0.11898603207449561, 0.10113812726332126, 0.10967408173823073, 0.14743921365752716, 0.144593895499224, 0.11950336264873254, 0.09286083807553026, 0.06725297465080186, 0.03310915675116399, 0.023279875840662184, 0.023279875840662184, 0.013450594930160372, 0.005431971029487843]"
2024-05-14,21:00,Berlin,3769495,[570. 559. 462. 359. 260. 128.  90.  90.  52.  21.  14.  10.   6.],"[0.21747424647081268, 0.21327737504769173, 0.17626859977107975, 0.13697062190003814, 0.09919877909194964, 0.048836322014498286, 0.0343380389164441, 0.0343380389164441, 0.019839755818389926, 0.008012209080503624, 0.00534147272033575, 0.0038153376573826785, 0.002289202594429607]"
2024-05-15,15:00,Berlin,3769495,[389. 316. 326. 446. 384. 426. 684. 497. 486. 323. 236. 149. 134.],"[0.0811092577147623, 0.0658882402001668, 0.06797331109257715, 0.09299416180150125, 0.08006672226855713, 0.08882402001668056, 0.14261884904086738, 0.10362802335279399, 0.10133444537114263, 0.06734778982485405, 0.04920767306088407, 0.031067556296914094, 0.02793994995829858]"
2024-05-15,18:00,Berlin,3769495,[446. 384. 426. 684. 497. 486. 323. 236. 149. 134.  96.  45.  27.],"[0.11339944063056191, 0.09763539282990084, 0.10831426392067124, 0.17391304347826086, 0.12636664124078312, 0.12356979405034325, 0.0821256038647343, 0.06000508517670989, 0.03788456648868548, 0.03407068395626748, 0.02440884820747521, 0.011441647597254004, 0.006864988558352402]"
2024-05-15,21:00,Berlin,3769495,[684. 497. 486. 323. 236. 149. 134.  96.  45.  27.  13.   4.   8.],"[0.2531458179126573, 0.18393782383419688, 0.17986676535899335, 0.11954108068097706, 0.08734270910436713, 0.055144337527757215, 0.049592894152479645, 0.03552923760177646, 0.016654330125832718, 0.00999259807549963, 0.0048112509252405625, 0.0014803849000740192, 0.0029607698001480384]"
2024-05-16,15:00,Berlin,3769495,[495. 442. 376. 439. 408. 611. 711. 726. 473. 388. 213. 123. 109.],"[0.0897714907508161, 0.08015959376133479, 0.06819006166122597, 0.07961552412042075, 0.07399347116430903, 0.1108088501994922, 0.12894450489662676, 0.13166485310119697, 0.0857816467174465, 0.07036634022488211, 0.03862894450489663, 0.022306855277475515, 0.019767863619876678]"
