,Date,Time,City,Population,Result,NormalizedResult
0,2024-05-13,15:00,Berlin,3769495,[185. 207. 145. 167. 160. 227. 292. 303. 181. 136.  84.  76.  62.],"[0.08314606741573034, 0.09303370786516854, 0.0651685393258427, 0.0750561797752809, 0.07191011235955057, 0.10202247191011236, 0.13123595505617977, 0.13617977528089886, 0.08134831460674158, 0.06112359550561798, 0.03775280898876404, 0.03415730337078652, 0.027865168539325844]"
1,2024-05-13,18:00,Berlin,3769495,[167. 160. 227. 292. 303. 181. 136.  84.  76.  62.  46.  21.  10.],"[0.09461756373937677, 0.0906515580736544, 0.12861189801699716, 0.16543909348441926, 0.171671388101983, 0.10254957507082153, 0.07705382436260623, 0.04759206798866856, 0.04305949008498584, 0.03512747875354107, 0.026062322946175637, 0.01189801699716714, 0.0056657223796034]"
2,2024-05-13,21:00,Berlin,3769495,[292. 303. 181. 136.  84.  76.  62.  46.  21.  10.   3.   3.   4.],"[0.23914823914823916, 0.24815724815724816, 0.14823914823914824, 0.11138411138411139, 0.0687960687960688, 0.062244062244062245, 0.050778050778050775, 0.03767403767403767, 0.0171990171990172, 0.00819000819000819, 0.002457002457002457, 0.002457002457002457, 0.003276003276003276]"
3,2024-05-14,15:00,Berlin,3769495,[209. 152. 136. 182. 184. 234. 336. 300. 248. 182. 128.  88.  51.],"[0.0860082304526749, 0.06255144032921811, 0.05596707818930041, 0.07489711934156379, 0.0757201646090535, 0.0962962962962963, 0.1382716049382716, 0.12345679012345678, 0.10205761316872428, 0.07489711934156379, 0.05267489711934156, 0.03621399176954732, 0.020987654320987655]"
4,2024-05-14,18:00,Berlin,3769495,[182. 184. 234. 336. 300. 248. 182. 128.  88.  51.  34.  35.   8.],"[0.09054726368159204, 0.09154228855721393, 0.11641791044776119, 0.16716417910447762, 0.14925373134328357, 0.12338308457711443, 0.09054726368159204, 0.06368159203980099, 0.04378109452736319, 0.025373134328358207, 0.01691542288557214, 0.017412935323383085, 0.003980099502487562]"
5,2024-05-14,21:00,Berlin,3769495,[336. 300. 248. 182. 128.  88.  51.  34.  35.   8.   6.   3.   3.],"[0.23628691983122363, 0.2109704641350211, 0.17440225035161744, 0.1279887482419128, 0.090014064697609, 0.06188466947960619, 0.035864978902953586, 0.02390998593530239, 0.02461322081575246, 0.005625879043600563, 0.004219409282700422, 0.002109704641350211, 0.002109704641350211]"
6,2024-05-15,15:00,Berlin,3769495,[196. 191. 146. 198. 182. 214. 386. 309. 269. 237. 136.  89.  78.],"[0.07449638920562524, 0.072595971113645, 0.05549220828582288, 0.07525655644241733, 0.06917521854808058, 0.08133789433675409, 0.1467122767008742, 0.11744583808437856, 0.10224249334853668, 0.09007981755986318, 0.05169137210186241, 0.0338274420372482, 0.029646522234891677]"
7,2024-05-15,18:00,Berlin,3769495,[198. 182. 214. 386. 309. 269. 237. 136.  89.  78.  41.  21.  16.],"[0.09099264705882353, 0.08363970588235294, 0.09834558823529412, 0.17738970588235295, 0.14200367647058823, 0.12362132352941177, 0.10891544117647059, 0.0625, 0.04090073529411765, 0.035845588235294115, 0.01884191176470588, 0.009650735294117647, 0.007352941176470588]"
8,2024-05-15,21:00,Berlin,3769495,[386. 309. 269. 237. 136.  89.  78.  41.  21.  16.   5.   2.   2.],"[0.2426147077309868, 0.19421747328724073, 0.16907605279698304, 0.14896291640477688, 0.08548082966687617, 0.05593966059082338, 0.04902576995600252, 0.025769956002514142, 0.013199245757385292, 0.01005656819610308, 0.0031426775612822125, 0.001257071024512885, 0.001257071024512885]"
9,2024-05-16,15:00,Berlin,3769495,[237. 255. 159. 216. 150. 342. 443. 462. 277. 233. 168.  84.  83.],"[0.07623029913155356, 0.08201994210357028, 0.05114184625281441, 0.0694757156642007, 0.04824702476680605, 0.11000321646831779, 0.1424895464779672, 0.14860083628176263, 0.08909617240270183, 0.07494371180443872, 0.05403666773882277, 0.027018333869411385, 0.02669668703763268]"
