City,Date,Time,Population,Match,Group,Result,MatchLabel,NormalizedResult
München,2024-06-14,21:00,1471508,Germany 5 - 1 Scotland,Group A,[26. 20. 16. 20. 33. 43.  9. 13.  9. 11.  1.  0.  0.],Germany 5 - 1 Scotland,"[0.12935323383084577, 0.09950248756218906, 0.07960199004975124, 0.09950248756218906, 0.16417910447761194, 0.21393034825870647, 0.04477611940298507, 0.06467661691542288, 0.04477611940298507, 0.05472636815920398, 0.004975124378109453, 0.0, 0.0]"
Köln,2024-06-15,15:00,1085664,Hungary 1 - 3 Switzerland,Group A,[32. 30. 37. 46. 63. 59. 45. 23. 40. 34. 27. 24. 14.],Hungary 1 - 3 Switzerland,"[0.06751054852320675, 0.06329113924050633, 0.07805907172995781, 0.0970464135021097, 0.13291139240506328, 0.12447257383966245, 0.0949367088607595, 0.04852320675105485, 0.08438818565400844, 0.07172995780590717, 0.056962025316455694, 0.05063291139240506, 0.029535864978902954]"
Stuttgart,2024-06-19,18:00,634830,Germany 2 - 0 Hungary,Group A,[ 14.  25.  59.  35. 218. 183.  56.  64.  57.  23.   7.   3.   0.],Germany 2 - 0 Hungary,"[0.01881720430107527, 0.033602150537634407, 0.0793010752688172, 0.04704301075268817, 0.29301075268817206, 0.24596774193548387, 0.07526881720430108, 0.08602150537634409, 0.07661290322580645, 0.030913978494623656, 0.009408602150537635, 0.004032258064516129, 0.0]"
Köln,2024-06-19,21:00,1085664,Scotland 1 - 1 Switzerland,Group A,[90. 91. 64. 21.  4. 14.  7.  6.  9.  5.  1.  1.  1.],Scotland 1 - 1 Switzerland,"[0.28662420382165604, 0.2898089171974522, 0.20382165605095542, 0.06687898089171974, 0.012738853503184714, 0.044585987261146494, 0.022292993630573247, 0.01910828025477707, 0.028662420382165606, 0.01592356687898089, 0.0031847133757961785, 0.0031847133757961785, 0.0031847133757961785]"
Frankfurt am Main,2024-06-23,21:00,753056,Switzerland 1 - 1 Germany,Group A,[ 19.  42.  28.  57. 108.  54.  38.  42.  20.   7.   0.   2.   3.],Switzerland 1 - 1 Germany,"[0.04523809523809524, 0.1, 0.06666666666666667, 0.1357142857142857, 0.2571428571428571, 0.12857142857142856, 0.09047619047619047, 0.1, 0.047619047619047616, 0.016666666666666666, 0.0, 0.004761904761904762, 0.007142857142857143]"
Stuttgart,2024-06-23,21:00,634830,Scotland 0 - 1 Hungary,Group A,[13. 39. 25. 29. 23. 28. 15. 11.  9.  2.  3.  2.  2.],Scotland 0 - 1 Hungary,"[0.06467661691542288, 0.19402985074626866, 0.12437810945273632, 0.14427860696517414, 0.11442786069651742, 0.13930348258706468, 0.07462686567164178, 0.05472636815920398, 0.04477611940298507, 0.009950248756218905, 0.014925373134328358, 0.009950248756218905, 0.009950248756218905]"
Berlin,2024-06-15,18:00,3769000,Spain 3 - 0 Croatia,Group B,[174. 158. 263. 190. 167. 201. 126. 128. 112.  90.  59.  40.  24.],Spain 3 - 0 Croatia,"[0.10046189376443418, 0.09122401847575058, 0.15184757505773672, 0.10969976905311778, 0.0964203233256351, 0.11605080831408776, 0.07274826789838337, 0.07390300230946882, 0.06466512702078522, 0.05196304849884527, 0.034064665127020784, 0.023094688221709007, 0.013856812933025405]"
Dortmund,2024-06-15,21:00,588462,Italy 2 - 1 Albania,Group B,[49. 56. 71. 47. 69. 32. 16. 13. 24.  7.  5.  8.  0.],Italy 2 - 1 Albania,"[0.12342569269521411, 0.14105793450881612, 0.17884130982367757, 0.11838790931989925, 0.17380352644836272, 0.08060453400503778, 0.04030226700251889, 0.0327455919395466, 0.060453400503778336, 0.017632241813602016, 0.012594458438287154, 0.020151133501259445, 0.0]"
Hamburg,2024-06-19,15:00,1841179,Croatia 2 - 2 Albania,Group B,[ 94.  60.  84.  97.  94. 129. 179. 223. 144.  42.  29.  29.  16.],Croatia 2 - 2 Albania,"[0.07704918032786885, 0.04918032786885246, 0.06885245901639345, 0.07950819672131147, 0.07704918032786885, 0.10573770491803279, 0.14672131147540984, 0.18278688524590164, 0.1180327868852459, 0.03442622950819672, 0.023770491803278688, 0.023770491803278688, 0.013114754098360656]"
Gelsenkirchen,2024-06-20,21:00,260000,Spain 1 - 0 Italy,Group B,[56. 60. 51. 34. 46. 93. 20. 12. 19.  7.  3.  2.  2.],Spain 1 - 0 Italy,"[0.1382716049382716, 0.14814814814814814, 0.1259259259259259, 0.08395061728395062, 0.11358024691358025, 0.22962962962962963, 0.04938271604938271, 0.02962962962962963, 0.04691358024691358, 0.01728395061728395, 0.007407407407407408, 0.0049382716049382715, 0.0049382716049382715]"
Leipzig,2024-06-24,21:00,597493,Croatia 1 - 1 Italy,Group B,[ 79. 106.  90.  65.  34.  24.  19.  10.  14.   3.   2.   0.   1.],Croatia 1 - 1 Italy,"[0.1767337807606264, 0.2371364653243848, 0.20134228187919462, 0.14541387024608501, 0.07606263982102908, 0.053691275167785234, 0.042505592841163314, 0.02237136465324385, 0.03131991051454139, 0.006711409395973154, 0.0044742729306487695, 0.0, 0.0022371364653243847]"
Düsseldorf,2024-06-24,21:00,619294,Albania 0 - 1 Spain,Group B,[43. 94. 44. 44. 43. 64. 22.  7. 22.  3.  3.  4.  2.],Albania 0 - 1 Spain,"[0.10886075949367088, 0.2379746835443038, 0.11139240506329114, 0.11139240506329114, 0.10886075949367088, 0.1620253164556962, 0.05569620253164557, 0.017721518987341773, 0.05569620253164557, 0.007594936708860759, 0.007594936708860759, 0.010126582278481013, 0.005063291139240506]"
Stuttgart,2024-06-16,18:00,634830,Slovenia 1 - 1 Denmark,Group C,[20. 34. 21. 26. 30. 64. 15. 15.  9. 11.  1.  1.  0.],Slovenia 1 - 1 Denmark,"[0.08097165991902834, 0.13765182186234817, 0.08502024291497975, 0.10526315789473684, 0.1214574898785425, 0.2591093117408907, 0.06072874493927125, 0.06072874493927125, 0.03643724696356275, 0.044534412955465584, 0.004048582995951417, 0.004048582995951417, 0.0]"
Gelsenkirchen,2024-06-16,21:00,260000,Serbia 0 - 1 England,Group C,[44. 20. 21. 38. 30. 44. 10.  8. 10.  5.  7.  5.  2.],Serbia 0 - 1 England,"[0.18032786885245902, 0.08196721311475409, 0.0860655737704918, 0.1557377049180328, 0.12295081967213115, 0.18032786885245902, 0.040983606557377046, 0.03278688524590164, 0.040983606557377046, 0.020491803278688523, 0.028688524590163935, 0.020491803278688523, 0.00819672131147541]"
München,2024-06-20,15:00,1472000,Slovenia 1 - 1 Serbia,Group C,[30. 17. 29. 23. 29. 28. 39. 33. 28. 21. 11.  4.  4.],Slovenia 1 - 1 Serbia,"[0.10135135135135136, 0.057432432432432436, 0.09797297297297297, 0.0777027027027027, 0.09797297297297297, 0.0945945945945946, 0.13175675675675674, 0.11148648648648649, 0.0945945945945946, 0.07094594594594594, 0.037162162162162164, 0.013513513513513514, 0.013513513513513514]"
