0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
4.0,0.0,1.0,0.0,0.0,2.0,4.0,6.0,17.0,11.0,19.0,24.0,17.0,12.0,20.0,9.0,17.0,15.0,7.0,7.0,1.0,1.0,1.0,0.0
1.0,0.0,0.0,3.0,16.0,31.0,40.0,16.0,18.0,12.0,21.0,12.0,26.0,38.0,41.0,52.0,27.0,13.0,9.0,10.0,3.0,3.0,0.0,0.0
2.0,2.0,0.0,7.0,9.0,13.0,21.0,18.0,31.0,29.0,35.0,39.0,36.0,53.0,75.0,46.0,25.0,21.0,6.0,11.0,16.0,4.0,2.0,2.0
3.0,2.0,0.0,0.0,2.0,3.0,10.0,19.0,27.0,21.0,29.0,57.0,55.0,23.0,51.0,114.0,92.0,86.0,66.0,52.0,40.0,41.0,11.0,2.0
3.0,0.0,4.0,1.0,1.0,3.0,6.0,12.0,20.0,15.0,25.0,32.0,23.0,16.0,23.0,26.0,23.0,19.0,15.0,8.0,4.0,7.0,0.0,1.0
1.0,0.0,3.0,7.0,15.0,19.0,44.0,21.0,24.0,15.0,20.0,23.0,48.0,38.0,40.0,35.0,21.0,11.0,3.0,3.0,5.0,2.0,0.0,1.0
1.0,2.0,3.0,3.0,17.0,27.0,30.0,27.0,12.0,17.0,20.0,21.0,31.0,32.0,40.0,22.0,34.0,10.0,7.0,2.0,3.0,1.0,2.0,1.0
0.0,1.0,4.0,9.0,15.0,19.0,39.0,17.0,17.0,20.0,23.0,41.0,48.0,60.0,95.0,57.0,63.0,29.0,11.0,11.0,5.0,4.0,0.0,2.0
2.0,0.0,1.0,1.0,2.0,3.0,3.0,13.0,23.0,16.0,29.0,37.0,49.0,81.0,44.0,35.0,34.0,19.0,12.0,6.0,5.0,4.0,1.0,1.0
2.0,2.0,3.0,6.0,4.0,9.0,12.0,33.0,33.0,23.0,30.0,32.0,40.0,37.0,17.0,27.0,41.0,15.0,20.0,6.0,12.0,5.0,5.0,2.0
5.0,1.0,2.0,2.0,0.0,6.0,9.0,20.0,21.0,25.0,36.0,32.0,62.0,99.0,65.0,55.0,56.0,57.0,45.0,50.0,21.0,8.0,10.0,3.0
8.0,2.0,3.0,2.0,2.0,1.0,7.0,10.0,12.0,26.0,33.0,35.0,34.0,35.0,35.0,25.0,36.0,14.0,13.0,18.0,5.0,2.0,3.0,2.0
1.0,0.0,7.0,7.0,16.0,23.0,32.0,29.0,32.0,28.0,15.0,21.0,29.0,33.0,35.0,23.0,27.0,18.0,33.0,22.0,6.0,3.0,2.0,1.0
1.0,0.0,3.0,5.0,18.0,39.0,44.0,20.0,28.0,31.0,21.0,23.0,33.0,49.0,37.0,43.0,20.0,8.0,5.0,6.0,6.0,6.0,4.0,1.0
2.0,3.0,3.0,5.0,13.0,19.0,37.0,16.0,23.0,14.0,31.0,21.0,22.0,35.0,66.0,31.0,21.0,17.0,6.0,6.0,0.0,3.0,0.0,1.0
1.0,3.0,1.0,8.0,28.0,35.0,44.0,16.0,21.0,11.0,19.0,25.0,26.0,61.0,57.0,72.0,50.0,25.0,10.0,8.0,4.0,4.0,2.0,1.0
2.0,0.0,2.0,5.0,9.0,14.0,31.0,30.0,28.0,35.0,33.0,77.0,58.0,55.0,65.0,53.0,37.0,27.0,31.0,6.0,9.0,3.0,1.0,2.0
2.0,1.0,3.0,0.0,1.0,1.0,10.0,13.0,21.0,35.0,63.0,33.0,32.0,35.0,18.0,20.0,11.0,41.0,35.0,52.0,15.0,8.0,4.0,1.0
1.0,2.0,0.0,0.0,5.0,1.0,2.0,10.0,11.0,15.0,18.0,20.0,26.0,27.0,24.0,26.0,41.0,62.0,72.0,51.0,47.0,10.0,1.0,3.0
1.0,0.0,1.0,1.0,4.0,2.0,5.0,12.0,15.0,22.0,22.0,25.0,36.0,38.0,30.0,23.0,16.0,9.0,16.0,6.0,1.0,1.0,2.0,0.0
1.0,1.0,1.0,7.0,19.0,13.0,40.0,25.0,20.0,26.0,20.0,39.0,60.0,41.0,66.0,75.0,45.0,21.0,16.0,9.0,4.0,4.0,1.0,5.0
1.0,1.0,0.0,4.0,14.0,33.0,35.0,28.0,13.0,22.0,16.0,23.0,26.0,62.0,50.0,35.0,20.0,15.0,15.0,13.0,4.0,2.0,0.0,0.0
3.0,0.0,0.0,5.0,23.0,27.0,32.0,28.0,13.0,27.0,26.0,24.0,29.0,48.0,59.0,40.0,18.0,8.0,5.0,8.0,4.0,0.0,3.0,1.0
2.0,0.0,1.0,5.0,5.0,20.0,36.0,17.0,29.0,28.0,31.0,36.0,35.0,49.0,55.0,58.0,42.0,69.0,116.0,96.0,91.0,6.0,1.0,5.0
7.0,4.0,1.0,0.0,3.0,7.0,11.0,19.0,14.0,26.0,22.0,53.0,32.0,46.0,34.0,33.0,43.0,113.0,31.0,56.0,80.0,7.0,6.0,2.0
7.0,3.0,2.0,2.0,1.0,3.0,6.0,12.0,9.0,24.0,41.0,29.0,29.0,21.0,20.0,29.0,26.0,18.0,10.0,6.0,0.0,2.0,2.0,1.0
0.0,1.0,1.0,4.0,7.0,26.0,30.0,23.0,12.0,16.0,14.0,13.0,25.0,48.0,28.0,17.0,12.0,6.0,4.0,6.0,0.0,0.0,2.0,1.0
3.0,2.0,2.0,3.0,25.0,22.0,31.0,20.0,16.0,13.0,29.0,24.0,36.0,36.0,45.0,51.0,31.0,12.0,7.0,9.0,1.0,2.0,1.0,0.0
2.0,0.0,1.0,5.0,9.0,23.0,31.0,43.0,19.0,35.0,24.0,40.0,55.0,55.0,91.0,70.0,38.0,25.0,18.0,10.0,10.0,3.0,8.0,2.0
2.0,1.0,1.0,0.0,0.0,2.0,7.0,8.0,20.0,22.0,12.0,23.0,13.0,10.0,17.0,13.0,45.0,97.0,54.0,44.0,35.0,3.0,0.0,0.0
1.0,0.0,2.0,2.0,4.0,10.0,11.0,35.0,33.0,23.0,47.0,32.0,27.0,32.0,41.0,21.0,18.0,21.0,8.0,10.0,5.0,4.0,2.0,3.0
8.0,1.0,0.0,4.0,1.0,4.0,8.0,13.0,16.0,33.0,32.0,45.0,43.0,22.0,25.0,37.0,32.0,27.0,21.0,16.0,5.0,6.0,3.0,0.0
1.0,2.0,1.0,1.0,1.0,2.0,2.0,8.0,14.0,16.0,18.0,34.0,46.0,40.0,17.0,38.0,29.0,17.0,10.0,3.0,4.0,2.0,2.0,2.0
3.0,1.0,1.0,7.0,9.0,17.0,19.0,11.0,22.0,10.0,21.0,23.0,17.0,19.0,40.0,23.0,18.0,14.0,4.0,3.0,3.0,4.0,1.0,1.0
2.0,1.0,4.0,11.0,23.0,38.0,31.0,25.0,11.0,23.0,15.0,22.0,12.0,38.0,37.0,31.0,25.0,9.0,1.0,4.0,2.0,2.0,2.0,1.0
