0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
7.0,2.0,1.0,0.0,5.0,6.0,21.0,17.0,24.0,18.0,14.0,26.0,22.0,21.0,13.0,32.0,37.0,48.0,52.0,33.0,12.0,6.0,2.0,2.0
2.0,2.0,5.0,4.0,16.0,36.0,38.0,40.0,33.0,37.0,38.0,35.0,50.0,42.0,65.0,58.0,36.0,35.0,27.0,16.0,16.0,5.0,3.0,1.0
2.0,1.0,0.0,9.0,14.0,26.0,23.0,42.0,45.0,41.0,35.0,54.0,52.0,77.0,63.0,41.0,61.0,36.0,24.0,30.0,15.0,10.0,4.0,2.0
6.0,1.0,1.0,3.0,5.0,17.0,26.0,26.0,52.0,59.0,58.0,58.0,85.0,47.0,58.0,41.0,58.0,49.0,34.0,28.0,22.0,8.0,9.0,4.0
1.0,2.0,0.0,2.0,2.0,2.0,9.0,12.0,22.0,26.0,25.0,23.0,37.0,31.0,38.0,37.0,43.0,28.0,25.0,9.0,10.0,3.0,0.0,2.0
1.0,0.0,3.0,11.0,26.0,44.0,40.0,32.0,42.0,40.0,35.0,29.0,44.0,55.0,64.0,53.0,42.0,24.0,11.0,12.0,12.0,4.0,1.0,1.0
2.0,0.0,0.0,12.0,27.0,46.0,39.0,39.0,30.0,37.0,31.0,31.0,51.0,53.0,69.0,49.0,35.0,24.0,16.0,13.0,6.0,2.0,2.0,1.0
2.0,2.0,4.0,9.0,22.0,33.0,31.0,27.0,19.0,40.0,53.0,45.0,98.0,52.0,77.0,62.0,62.0,87.0,114.0,54.0,27.0,10.0,2.0,2.0
2.0,1.0,1.0,3.0,2.0,4.0,8.0,25.0,17.0,23.0,14.0,28.0,26.0,23.0,22.0,17.0,18.0,17.0,19.0,9.0,6.0,5.0,2.0,5.0
3.0,0.0,1.0,3.0,2.0,17.0,20.0,34.0,41.0,54.0,41.0,71.0,71.0,55.0,65.0,41.0,44.0,39.0,24.0,25.0,10.0,6.0,1.0,2.0
1.0,0.0,2.0,4.0,3.0,6.0,15.0,37.0,49.0,59.0,42.0,78.0,274.0,245.0,254.0,165.0,49.0,21.0,17.0,18.0,7.0,1.0,10.0,1.0
3.0,1.0,0.0,1.0,3.0,2.0,13.0,16.0,30.0,26.0,27.0,23.0,30.0,29.0,29.0,33.0,51.0,13.0,24.0,16.0,11.0,2.0,0.0,0.0
1.0,1.0,1.0,10.0,29.0,50.0,44.0,38.0,40.0,29.0,36.0,36.0,44.0,65.0,64.0,37.0,30.0,20.0,14.0,21.0,10.0,6.0,8.0,0.0
0.0,3.0,5.0,11.0,20.0,36.0,23.0,39.0,35.0,47.0,42.0,38.0,41.0,41.0,51.0,42.0,40.0,11.0,16.0,17.0,5.0,6.0,4.0,1.0
2.0,0.0,1.0,8.0,16.0,27.0,22.0,25.0,27.0,30.0,42.0,34.0,35.0,82.0,50.0,74.0,48.0,119.0,63.0,70.0,62.0,11.0,6.0,1.0
2.0,2.0,2.0,7.0,19.0,41.0,47.0,43.0,29.0,46.0,27.0,44.0,54.0,57.0,86.0,78.0,46.0,35.0,43.0,35.0,30.0,10.0,8.0,5.0
4.0,4.0,1.0,13.0,24.0,33.0,24.0,35.0,43.0,58.0,65.0,46.0,92.0,98.0,81.0,82.0,65.0,50.0,55.0,31.0,16.0,17.0,7.0,9.0
3.0,2.0,2.0,1.0,4.0,7.0,17.0,23.0,31.0,59.0,66.0,50.0,62.0,80.0,70.0,61.0,80.0,45.0,42.0,21.0,27.0,8.0,9.0,6.0
3.0,1.0,6.0,2.0,3.0,6.0,7.0,11.0,29.0,18.0,40.0,49.0,82.0,65.0,58.0,57.0,50.0,42.0,29.0,32.0,18.0,12.0,4.0,9.0
3.0,2.0,1.0,2.0,2.0,3.0,3.0,18.0,25.0,35.0,23.0,27.0,36.0,32.0,41.0,28.0,30.0,24.0,19.0,19.0,8.0,6.0,4.0,2.0
2.0,1.0,3.0,15.0,33.0,31.0,30.0,36.0,51.0,50.0,52.0,40.0,46.0,58.0,72.0,48.0,48.0,28.0,15.0,12.0,11.0,3.0,2.0,3.0
3.0,0.0,0.0,18.0,21.0,44.0,19.0,29.0,31.0,33.0,40.0,31.0,55.0,76.0,71.0,58.0,32.0,19.0,12.0,13.0,8.0,7.0,2.0,0.0
0.0,1.0,4.0,15.0,18.0,35.0,26.0,43.0,36.0,30.0,34.0,48.0,55.0,78.0,56.0,69.0,40.0,32.0,24.0,18.0,18.0,1.0,2.0,4.0
3.0,1.0,1.0,10.0,14.0,28.0,32.0,27.0,28.0,35.0,39.0,62.0,39.0,79.0,72.0,52.0,50.0,45.0,20.0,15.0,14.0,6.0,5.0,4.0
3.0,1.0,3.0,6.0,4.0,3.0,13.0,34.0,40.0,52.0,54.0,43.0,41.0,58.0,50.0,35.0,38.0,21.0,13.0,17.0,12.0,12.0,1.0,10.0
3.0,0.0,1.0,3.0,3.0,1.0,5.0,19.0,21.0,40.0,37.0,38.0,18.0,22.0,16.0,29.0,31.0,30.0,13.0,18.0,11.0,4.0,1.0,1.0
2.0,0.0,0.0,8.0,28.0,34.0,44.0,45.0,39.0,30.0,27.0,27.0,52.0,47.0,35.0,49.0,30.0,12.0,19.0,24.0,11.0,5.0,4.0,0.0
0.0,2.0,3.0,7.0,20.0,29.0,37.0,43.0,33.0,34.0,29.0,31.0,64.0,43.0,70.0,41.0,45.0,16.0,32.0,21.0,6.0,4.0,2.0,1.0
1.0,1.0,0.0,7.0,11.0,28.0,24.0,36.0,17.0,29.0,32.0,31.0,25.0,61.0,47.0,48.0,27.0,14.0,9.0,12.0,15.0,4.0,0.0,3.0
0.0,1.0,0.0,10.0,23.0,33.0,33.0,43.0,28.0,41.0,36.0,31.0,56.0,59.0,76.0,43.0,37.0,31.0,30.0,18.0,16.0,4.0,0.0,3.0
2.0,2.0,0.0,5.0,21.0,27.0,26.0,38.0,38.0,49.0,43.0,52.0,67.0,82.0,73.0,59.0,72.0,60.0,56.0,50.0,43.0,23.0,6.0,3.0
3.0,1.0,3.0,2.0,5.0,8.0,19.0,23.0,46.0,57.0,49.0,46.0,69.0,55.0,66.0,56.0,67.0,29.0,40.0,15.0,12.0,11.0,5.0,5.0
7.0,2.0,4.0,2.0,3.0,7.0,8.0,12.0,21.0,18.0,29.0,38.0,57.0,58.0,50.0,51.0,44.0,28.0,25.0,12.0,15.0,2.0,4.0,2.0
1.0,2.0,5.0,7.0,22.0,41.0,26.0,28.0,28.0,36.0,36.0,28.0,39.0,58.0,65.0,47.0,40.0,18.0,13.0,11.0,11.0,10.0,3.0,2.0
0.0,2.0,1.0,15.0,25.0,31.0,34.0,24.0,28.0,32.0,38.0,31.0,25.0,62.0,62.0,53.0,61.0,90.0,51.0,59.0,19.0,3.0,3.0,1.0
1.0,4.0,1.0,14.0,18.0,46.0,25.0,30.0,27.0,25.0,38.0,30.0,68.0,51.0,67.0,65.0,43.0,46.0,19.0,15.0,7.0,8.0,2.0,2.0
4.0,2.0,3.0,8.0,36.0,38.0,35.0,64.0,39.0,33.0,33.0,31.0,48.0,67.0,73.0,62.0,53.0,50.0,24.0,46.0,15.0,5.0,2.0,0.0
