,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2024-05-01,16.0,10.0,12.0,20.0,41.0,67.0,156.0,155.0,221.0,192.0,189.0,268.0,207.0,160.0,184.0,264.0,216.0,143.0,134.0,80.0,52.0,23.0,19.0
2024-05-02,13.0,27.0,70.0,197.0,287.0,315.0,330.0,358.0,321.0,439.0,405.0,416.0,568.0,543.0,497.0,454.0,219.0,149.0,66.0,79.0,46.0,20.0,9.0
2024-05-03,7.0,14.0,100.0,122.0,263.0,376.0,358.0,323.0,366.0,504.0,476.0,502.0,528.0,611.0,429.0,416.0,260.0,154.0,115.0,84.0,67.0,43.0,22.0
2024-05-04,7.0,21.0,20.0,37.0,51.0,136.0,235.0,248.0,341.0,424.0,446.0,350.0,415.0,455.0,582.0,686.0,450.0,233.0,391.0,169.0,143.0,70.0,27.0
2024-05-05,14.0,15.0,18.0,20.0,36.0,60.0,132.0,176.0,233.0,249.0,285.0,435.0,267.0,329.0,294.0,267.0,180.0,107.0,86.0,52.0,24.0,21.0,12.0
2024-05-06,9.0,26.0,104.0,148.0,256.0,414.0,320.0,300.0,372.0,430.0,392.0,467.0,570.0,530.0,450.0,351.0,184.0,135.0,95.0,64.0,38.0,12.0,6.0
2024-05-07,4.0,17.0,97.0,184.0,294.0,316.0,350.0,384.0,374.0,374.0,369.0,492.0,540.0,626.0,520.0,374.0,298.0,156.0,91.0,76.0,35.0,20.0,10.0
2024-05-08,6.0,11.0,84.0,197.0,250.0,293.0,393.0,345.0,364.0,564.0,542.0,543.0,679.0,747.0,625.0,480.0,285.0,235.0,135.0,77.0,71.0,21.0,14.0
2024-05-09,9.0,12.0,19.0,24.0,33.0,61.0,165.0,172.0,234.0,256.0,231.0,194.0,184.0,198.0,205.0,204.0,173.0,122.0,92.0,59.0,52.0,23.0,11.0
2024-05-10,11.0,22.0,56.0,54.0,100.0,163.0,228.0,370.0,403.0,453.0,328.0,360.0,352.0,420.0,302.0,292.0,187.0,138.0,81.0,94.0,58.0,38.0,17.0
