,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2024-05-01,24.0,22.0,9.0,11.0,12.0,21.0,26.0,48.0,58.0,67.0,72.0,62.0,80.0,67.0,90.0,156.0,297.0,283.0,270.0,213.0,80.0,16.0,4.0
2024-05-02,1.0,8.0,24.0,45.0,88.0,96.0,85.0,84.0,76.0,70.0,110.0,140.0,102.0,130.0,130.0,68.0,38.0,32.0,17.0,9.0,7.0,4.0,2.0
2024-05-03,2.0,2.0,20.0,34.0,77.0,108.0,58.0,71.0,69.0,76.0,89.0,171.0,110.0,98.0,160.0,91.0,53.0,30.0,30.0,13.0,8.0,10.0,1.0
2024-05-04,6.0,3.0,3.0,5.0,19.0,28.0,59.0,119.0,150.0,209.0,279.0,684.0,1083.0,1015.0,777.0,194.0,87.0,73.0,62.0,33.0,21.0,6.0,11.0
2024-05-05,4.0,3.0,2.0,12.0,10.0,14.0,47.0,46.0,80.0,81.0,100.0,101.0,76.0,89.0,70.0,62.0,63.0,56.0,51.0,26.0,9.0,3.0,2.0
2024-05-06,4.0,5.0,18.0,47.0,82.0,91.0,90.0,92.0,97.0,94.0,92.0,88.0,107.0,173.0,113.0,70.0,84.0,34.0,38.0,20.0,9.0,4.0,3.0
2024-05-07,4.0,4.0,18.0,53.0,113.0,136.0,85.0,93.0,88.0,114.0,82.0,88.0,174.0,134.0,126.0,87.0,48.0,33.0,14.0,13.0,9.0,3.0,3.0
2024-05-08,0.0,3.0,16.0,41.0,90.0,114.0,79.0,81.0,76.0,91.0,119.0,140.0,181.0,206.0,142.0,107.0,59.0,54.0,40.0,14.0,11.0,5.0,6.0
2024-05-09,3.0,4.0,1.0,6.0,10.0,21.0,43.0,41.0,49.0,101.0,82.0,92.0,52.0,54.0,56.0,35.0,31.0,32.0,17.0,17.0,6.0,2.0,1.0
2024-05-10,4.0,3.0,5.0,13.0,28.0,46.0,64.0,137.0,125.0,160.0,126.0,151.0,100.0,96.0,79.0,123.0,71.0,52.0,47.0,26.0,15.0,2.0,7.0
2024-05-11,1.0,0.0,2.0,5.0,13.0,24.0,52.0,69.0,77.0,108.0,58.0,85.0,89.0,97.0,83.0,59.0,47.0,36.0,30.0,11.0,14.0,12.0,11.0
2024-05-12,3.0,4.0,1.0,2.0,5.0,20.0,28.0,38.0,60.0,60.0,78.0,50.0,65.0,75.0,79.0,51.0,47.0,30.0,18.0,10.0,10.0,2.0,1.0
2024-05-13,1.0,8.0,21.0,29.0,70.0,106.0,86.0,59.0,66.0,73.0,85.0,62.0,93.0,191.0,104.0,41.0,40.0,14.0,20.0,7.0,5.0,2.0,1.0
2024-05-14,2.0,4.0,14.0,61.0,94.0,93.0,87.0,64.0,57.0,87.0,83.0,130.0,128.0,155.0,127.0,67.0,34.0,19.0,22.0,8.0,2.0,1.0,3.0
