,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2024-05-01,1.0,3.0,4.0,5.0,8.0,6.0,20.0,35.0,29.0,52.0,49.0,66.0,44.0,70.0,46.0,40.0,18.0,16.0,17.0,11.0,3.0,1.0,3.0
2024-05-02,11.0,7.0,7.0,36.0,63.0,60.0,60.0,76.0,51.0,100.0,82.0,109.0,154.0,159.0,112.0,69.0,26.0,15.0,14.0,9.0,2.0,4.0,0.0
2024-05-03,2.0,5.0,12.0,32.0,67.0,59.0,70.0,52.0,87.0,97.0,113.0,126.0,99.0,118.0,158.0,243.0,225.0,136.0,25.0,16.0,5.0,11.0,7.0
2024-05-04,2.0,4.0,5.0,3.0,12.0,20.0,25.0,69.0,50.0,87.0,81.0,61.0,68.0,74.0,68.0,43.0,40.0,27.0,21.0,19.0,6.0,10.0,1.0
2024-05-05,3.0,6.0,6.0,9.0,7.0,14.0,19.0,24.0,45.0,52.0,54.0,50.0,74.0,66.0,49.0,53.0,20.0,19.0,12.0,12.0,4.0,2.0,1.0
2024-05-06,2.0,14.0,15.0,55.0,67.0,100.0,105.0,87.0,86.0,100.0,63.0,104.0,112.0,154.0,134.0,68.0,23.0,19.0,13.0,9.0,6.0,1.0,2.0
2024-05-07,6.0,2.0,7.0,43.0,108.0,108.0,86.0,65.0,99.0,59.0,69.0,112.0,117.0,176.0,94.0,57.0,35.0,26.0,16.0,9.0,6.0,5.0,0.0
2024-05-08,1.0,4.0,6.0,51.0,79.0,80.0,84.0,81.0,89.0,105.0,97.0,120.0,121.0,164.0,120.0,89.0,43.0,37.0,24.0,12.0,13.0,10.0,1.0
2024-05-09,0.0,5.0,10.0,6.0,10.0,5.0,18.0,41.0,35.0,53.0,44.0,42.0,32.0,32.0,40.0,61.0,23.0,26.0,18.0,9.0,4.0,4.0,4.0
2024-05-10,4.0,6.0,8.0,9.0,27.0,26.0,53.0,77.0,74.0,105.0,88.0,83.0,82.0,110.0,81.0,75.0,43.0,36.0,14.0,16.0,20.0,6.0,2.0
2024-05-11,5.0,5.0,3.0,3.0,8.0,23.0,44.0,51.0,84.0,91.0,95.0,116.0,55.0,70.0,103.0,84.0,73.0,61.0,75.0,45.0,38.0,22.0,9.0
2024-05-12,7.0,14.0,5.0,9.0,14.0,12.0,41.0,39.0,53.0,69.0,94.0,64.0,74.0,66.0,51.0,59.0,38.0,30.0,19.0,9.0,7.0,5.0,2.0
2024-05-13,4.0,2.0,13.0,38.0,92.0,91.0,50.0,63.0,67.0,74.0,84.0,61.0,123.0,104.0,72.0,57.0,25.0,20.0,12.0,18.0,13.0,2.0,0.0
2024-05-14,0.0,6.0,10.0,52.0,86.0,73.0,45.0,32.0,52.0,77.0,62.0,52.0,83.0,144.0,129.0,67.0,18.0,17.0,12.0,7.0,4.0,4.0,1.0
2024-05-15,9.0,7.0,17.0,45.0,74.0,72.0,63.0,56.0,66.0,95.0,76.0,89.0,126.0,162.0,103.0,85.0,52.0,20.0,14.0,10.0,4.0,3.0,3.0
2024-05-16,1.0,5.0,13.0,30.0,54.0,67.0,68.0,63.0,80.0,89.0,90.0,79.0,97.0,139.0,103.0,67.0,29.0,22.0,19.0,13.0,4.0,3.0,3.0
2024-05-17,7.0,6.0,3.0,34.0,59.0,66.0,75.0,62.0,67.0,85.0,137.0,90.0,93.0,96.0,98.0,109.0,51.0,34.0,23.0,22.0,13.0,8.0,5.0
2024-05-18,1.0,4.0,5.0,9.0,7.0,33.0,53.0,62.0,88.0,110.0,147.0,106.0,79.0,80.0,79.0,55.0,25.0,48.0,23.0,31.0,13.0,12.0,9.0
2024-05-19,3.0,3.0,2.0,8.0,9.0,17.0,24.0,21.0,67.0,74.0,86.0,277.0,358.0,292.0,270.0,78.0,36.0,36.0,25.0,24.0,10.0,4.0,0.0
2024-05-20,1.0,0.0,0.0,5.0,3.0,13.0,30.0,38.0,42.0,38.0,61.0,32.0,37.0,49.0,44.0,52.0,33.0,17.0,14.0,11.0,9.0,5.0,3.0
2024-05-21,6.0,19.0,21.0,47.0,77.0,98.0,66.0,77.0,60.0,77.0,78.0,87.0,122.0,86.0,92.0,58.0,28.0,15.0,17.0,9.0,4.0,2.0,2.0
2024-05-22,0.0,8.0,15.0,60.0,111.0,100.0,61.0,78.0,69.0,67.0,56.0,79.0,139.0,115.0,115.0,63.0,27.0,24.0,18.0,10.0,3.0,2.0,1.0
2024-05-23,5.0,5.0,29.0,42.0,133.0,91.0,53.0,74.0,82.0,88.0,85.0,93.0,123.0,177.0,139.0,118.0,45.0,36.0,20.0,8.0,10.0,5.0,2.0
2024-05-24,1.0,4.0,11.0,26.0,80.0,80.0,61.0,71.0,97.0,93.0,127.0,129.0,160.0,96.0,80.0,90.0,51.0,28.0,24.0,13.0,14.0,6.0,3.0
2024-05-25,1.0,11.0,9.0,7.0,8.0,23.0,44.0,41.0,103.0,120.0,152.0,86.0,56.0,54.0,70.0,103.0,44.0,41.0,32.0,18.0,10.0,7.0,8.0
2024-05-26,5.0,8.0,4.0,3.0,2.0,10.0,19.0,42.0,58.0,69.0,74.0,37.0,38.0,54.0,45.0,37.0,37.0,19.0,10.0,10.0,5.0,2.0,2.0
2024-05-27,1.0,3.0,12.0,48.0,76.0,70.0,68.0,89.0,54.0,83.0,68.0,76.0,102.0,154.0,121.0,92.0,209.0,282.0,200.0,202.0,114.0,12.0,4.0
2024-05-28,3.0,6.0,14.0,35.0,92.0,119.0,86.0,76.0,80.0,93.0,102.0,96.0,125.0,153.0,132.0,81.0,47.0,29.0,7.0,12.0,2.0,3.0,4.0
2024-05-29,1.0,6.0,13.0,23.0,83.0,62.0,58.0,76.0,77.0,115.0,65.0,91.0,173.0,183.0,166.0,156.0,45.0,47.0,18.0,14.0,20.0,7.0,3.0
2024-05-30,0.0,4.0,9.0,4.0,4.0,17.0,34.0,37.0,30.0,50.0,49.0,51.0,60.0,34.0,31.0,44.0,28.0,18.0,22.0,15.0,3.0,3.0,1.0
2024-05-31,0.0,2.0,9.0,24.0,33.0,54.0,76.0,77.0,121.0,167.0,126.0,100.0,126.0,117.0,97.0,113.0,31.0,39.0,20.0,19.0,10.0,4.0,2.0
2024-06-01,7.0,5.0,4.0,8.0,12.0,15.0,59.0,89.0,178.0,276.0,378.0,342.0,353.0,390.0,363.0,387.0,227.0,264.0,127.0,118.0,125.0,86.0,11.0
2024-06-02,4.0,5.0,6.0,3.0,11.0,9.0,21.0,21.0,35.0,62.0,44.0,58.0,93.0,48.0,52.0,57.0,50.0,21.0,19.0,9.0,6.0,2.0,3.0
2024-06-03,6.0,4.0,11.0,45.0,110.0,88.0,95.0,75.0,78.0,74.0,69.0,75.0,100.0,97.0,65.0,58.0,28.0,23.0,16.0,14.0,9.0,3.0,3.0
2024-06-04,1.0,11.0,19.0,45.0,95.0,83.0,63.0,66.0,64.0,97.0,94.0,80.0,115.0,159.0,88.0,113.0,35.0,27.0,19.0,9.0,9.0,3.0,0.0
2024-06-05,0.0,5.0,16.0,45.0,107.0,80.0,55.0,77.0,66.0,59.0,77.0,92.0,155.0,166.0,111.0,77.0,27.0,32.0,16.0,9.0,2.0,2.0,0.0
2024-06-06,1.0,2.0,17.0,68.0,93.0,70.0,77.0,78.0,67.0,100.0,62.0,77.0,112.0,147.0,103.0,61.0,44.0,17.0,15.0,12.0,4.0,5.0,3.0
2024-06-07,4.0,4.0,10.0,40.0,69.0,59.0,75.0,75.0,78.0,103.0,117.0,91.0,116.0,86.0,68.0,68.0,27.0,34.0,16.0,21.0,26.0,5.0,1.0
2024-06-08,5.0,7.0,15.0,10.0,14.0,8.0,46.0,68.0,66.0,117.0,114.0,126.0,130.0,87.0,78.0,70.0,102.0,57.0,43.0,60.0,32.0,27.0,6.0
2024-06-09,6.0,5.0,9.0,5.0,11.0,13.0,34.0,40.0,44.0,50.0,79.0,57.0,64.0,58.0,44.0,39.0,23.0,19.0,9.0,7.0,7.0,5.0,0.0
2024-06-10,4.0,13.0,13.0,52.0,129.0,108.0,72.0,62.0,64.0,84.0,62.0,83.0,123.0,131.0,110.0,36.0,51.0,17.0,15.0,10.0,7.0,4.0,1.0
2024-06-11,6.0,26.0,16.0,59.0,95.0,112.0,77.0,63.0,82.0,118.0,93.0,96.0,76.0,112.0,112.0,92.0,41.0,16.0,18.0,11.0,11.0,4.0,4.0
2024-06-12,5.0,4.0,25.0,44.0,114.0,106.0,88.0,60.0,58.0,85.0,90.0,84.0,119.0,168.0,84.0,71.0,45.0,20.0,20.0,12.0,8.0,2.0,2.0
