,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2024-05-01,3.0,4.0,11.0,4.0,20.0,28.0,48.0,34.0,35.0,45.0,49.0,32.0,28.0,27.0,28.0,33.0,15.0,10.0,15.0,3.0,4.0,3.0,2.0
2024-05-02,3.0,3.0,9.0,12.0,39.0,67.0,53.0,39.0,48.0,60.0,61.0,69.0,93.0,69.0,64.0,63.0,36.0,20.0,11.0,9.0,8.0,6.0,1.0
2024-05-03,2.0,2.0,16.0,21.0,44.0,47.0,63.0,59.0,67.0,77.0,94.0,59.0,59.0,64.0,56.0,60.0,43.0,23.0,18.0,12.0,4.0,3.0,1.0
2024-05-04,4.0,3.0,8.0,3.0,11.0,36.0,31.0,50.0,61.0,77.0,54.0,77.0,75.0,67.0,45.0,47.0,39.0,27.0,28.0,16.0,10.0,19.0,4.0
2024-05-05,7.0,4.0,3.0,2.0,5.0,11.0,25.0,41.0,36.0,57.0,59.0,56.0,67.0,154.0,270.0,205.0,103.0,26.0,14.0,11.0,6.0,1.0,0.0
2024-05-06,0.0,3.0,12.0,22.0,64.0,95.0,80.0,43.0,80.0,58.0,39.0,56.0,83.0,77.0,72.0,31.0,43.0,18.0,12.0,7.0,4.0,2.0,2.0
2024-05-07,0.0,0.0,10.0,30.0,54.0,73.0,56.0,66.0,61.0,73.0,69.0,56.0,100.0,79.0,74.0,76.0,38.0,21.0,15.0,7.0,7.0,1.0,2.0
2024-05-08,3.0,0.0,6.0,16.0,51.0,82.0,78.0,50.0,73.0,66.0,69.0,83.0,92.0,100.0,126.0,97.0,49.0,36.0,24.0,16.0,10.0,7.0,4.0
2024-05-09,2.0,1.0,3.0,4.0,14.0,19.0,25.0,38.0,60.0,47.0,43.0,34.0,28.0,25.0,40.0,48.0,36.0,17.0,20.0,12.0,9.0,5.0,0.0
2024-05-10,0.0,2.0,2.0,10.0,18.0,66.0,61.0,70.0,74.0,60.0,59.0,70.0,82.0,80.0,57.0,48.0,42.0,25.0,18.0,27.0,11.0,5.0,7.0
2024-05-11,7.0,1.0,3.0,3.0,11.0,17.0,59.0,60.0,68.0,47.0,61.0,57.0,62.0,78.0,72.0,43.0,65.0,21.0,15.0,16.0,12.0,12.0,5.0
2024-05-12,4.0,2.0,6.0,6.0,8.0,17.0,27.0,35.0,47.0,42.0,73.0,64.0,49.0,53.0,69.0,41.0,35.0,24.0,26.0,10.0,6.0,0.0,0.0
2024-05-13,3.0,6.0,13.0,23.0,39.0,68.0,97.0,78.0,56.0,71.0,53.0,55.0,88.0,75.0,95.0,62.0,22.0,6.0,22.0,8.0,10.0,5.0,1.0
2024-05-14,2.0,2.0,5.0,34.0,54.0,78.0,95.0,52.0,58.0,43.0,49.0,46.0,79.0,91.0,124.0,39.0,39.0,20.0,13.0,14.0,2.0,1.0,2.0
2024-05-15,2.0,0.0,1.0,19.0,69.0,58.0,75.0,51.0,40.0,48.0,47.0,48.0,54.0,77.0,75.0,69.0,24.0,18.0,17.0,19.0,10.0,4.0,1.0
2024-05-16,0.0,4.0,11.0,17.0,71.0,103.0,79.0,54.0,62.0,51.0,51.0,74.0,72.0,83.0,116.0,46.0,31.0,30.0,18.0,11.0,5.0,2.0,1.0
2024-05-17,0.0,1.0,7.0,27.0,44.0,99.0,69.0,45.0,87.0,113.0,119.0,128.0,99.0,98.0,98.0,73.0,46.0,25.0,10.0,21.0,9.0,6.0,3.0
2024-05-18,3.0,4.0,8.0,9.0,26.0,30.0,43.0,48.0,69.0,105.0,110.0,178.0,257.0,191.0,204.0,99.0,49.0,38.0,25.0,21.0,6.0,6.0,4.0
2024-05-19,1.0,4.0,2.0,4.0,5.0,11.0,20.0,38.0,23.0,30.0,52.0,48.0,47.0,34.0,28.0,27.0,22.0,19.0,15.0,15.0,7.0,4.0,4.0
2024-05-20,1.0,1.0,3.0,1.0,6.0,12.0,12.0,24.0,53.0,23.0,68.0,42.0,61.0,71.0,37.0,78.0,72.0,46.0,35.0,19.0,3.0,3.0,1.0
2024-05-21,0.0,1.0,15.0,35.0,40.0,71.0,92.0,73.0,53.0,64.0,53.0,65.0,83.0,119.0,92.0,65.0,20.0,16.0,5.0,16.0,7.0,3.0,1.0
2024-05-22,1.0,3.0,10.0,26.0,57.0,96.0,78.0,48.0,70.0,39.0,40.0,56.0,73.0,177.0,89.0,66.0,37.0,18.0,15.0,17.0,13.0,3.0,2.0
