,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2024-05-01,2.0,7.0,4.0,7.0,11.0,29.0,36.0,38.0,56.0,55.0,64.0,82.0,68.0,51.0,50.0,35.0,30.0,34.0,31.0,8.0,1.0,4.0,3.0
2024-05-02,0.0,1.0,17.0,34.0,77.0,72.0,60.0,63.0,69.0,59.0,67.0,73.0,165.0,162.0,123.0,73.0,29.0,44.0,23.0,10.0,8.0,1.0,2.0
2024-05-03,2.0,4.0,9.0,17.0,71.0,69.0,69.0,42.0,57.0,77.0,80.0,66.0,123.0,128.0,101.0,75.0,61.0,21.0,24.0,14.0,7.0,2.0,3.0
2024-05-04,2.0,3.0,4.0,5.0,14.0,33.0,60.0,54.0,96.0,120.0,86.0,56.0,69.0,77.0,83.0,64.0,42.0,53.0,21.0,31.0,13.0,9.0,1.0
2024-05-05,5.0,3.0,2.0,7.0,10.0,11.0,24.0,18.0,22.0,40.0,37.0,62.0,32.0,30.0,54.0,69.0,49.0,34.0,17.0,12.0,8.0,0.0,1.0
2024-05-06,0.0,3.0,7.0,32.0,53.0,69.0,91.0,90.0,50.0,82.0,50.0,66.0,143.0,107.0,93.0,60.0,28.0,27.0,25.0,12.0,7.0,4.0,0.0
2024-05-07,2.0,4.0,17.0,22.0,55.0,63.0,54.0,62.0,57.0,50.0,64.0,104.0,93.0,110.0,116.0,69.0,41.0,23.0,35.0,11.0,5.0,6.0,5.0
2024-05-08,2.0,3.0,20.0,14.0,75.0,82.0,69.0,68.0,57.0,61.0,105.0,106.0,77.0,204.0,125.0,105.0,71.0,34.0,25.0,19.0,10.0,8.0,3.0
2024-05-09,3.0,2.0,3.0,11.0,12.0,11.0,37.0,37.0,43.0,60.0,42.0,44.0,52.0,43.0,38.0,41.0,37.0,36.0,14.0,7.0,9.0,5.0,4.0
2024-05-10,4.0,4.0,2.0,11.0,38.0,44.0,71.0,67.0,108.0,80.0,105.0,80.0,85.0,117.0,86.0,92.0,52.0,52.0,28.0,8.0,5.0,12.0,2.0
2024-05-11,5.0,1.0,1.0,6.0,20.0,29.0,59.0,112.0,298.0,626.0,412.0,434.0,369.0,142.0,87.0,65.0,43.0,24.0,46.0,23.0,19.0,9.0,3.0
2024-05-12,4.0,1.0,2.0,1.0,7.0,13.0,23.0,30.0,43.0,44.0,38.0,33.0,42.0,54.0,58.0,61.0,56.0,28.0,23.0,16.0,5.0,4.0,2.0
2024-05-13,4.0,8.0,18.0,28.0,67.0,38.0,58.0,58.0,35.0,55.0,64.0,85.0,105.0,139.0,85.0,72.0,46.0,48.0,18.0,11.0,6.0,5.0,1.0
2024-05-14,1.0,4.0,17.0,40.0,86.0,73.0,69.0,48.0,48.0,71.0,55.0,82.0,105.0,105.0,92.0,93.0,56.0,37.0,41.0,17.0,11.0,6.0,6.0
