,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2024-05-01,2.0,6.0,7.0,9.0,19.0,29.0,82.0,105.0,115.0,113.0,107.0,161.0,136.0,108.0,139.0,111.0,75.0,62.0,48.0,23.0,7.0,3.0,3.0
2024-05-02,3.0,4.0,47.0,119.0,276.0,241.0,247.0,207.0,208.0,249.0,187.0,211.0,287.0,409.0,301.0,195.0,125.0,98.0,77.0,40.0,17.0,8.0,1.0
2024-05-03,1.0,6.0,43.0,121.0,168.0,140.0,147.0,167.0,196.0,297.0,257.0,358.0,304.0,337.0,404.0,556.0,416.0,330.0,110.0,54.0,57.0,11.0,11.0
2024-05-04,4.0,6.0,9.0,21.0,52.0,68.0,164.0,153.0,173.0,223.0,312.0,285.0,280.0,228.0,223.0,195.0,189.0,85.0,71.0,73.0,44.0,19.0,10.0
2024-05-05,4.0,3.0,7.0,8.0,13.0,35.0,59.0,119.0,151.0,132.0,156.0,201.0,165.0,163.0,134.0,136.0,49.0,59.0,26.0,16.0,9.0,5.0,6.0
2024-05-06,11.0,11.0,86.0,142.0,192.0,180.0,227.0,177.0,149.0,172.0,207.0,170.0,260.0,287.0,315.0,179.0,99.0,62.0,40.0,36.0,17.0,13.0,5.0
2024-05-07,5.0,8.0,37.0,82.0,185.0,217.0,246.0,162.0,248.0,199.0,203.0,185.0,298.0,327.0,226.0,209.0,95.0,45.0,41.0,30.0,16.0,6.0,3.0
2024-05-08,8.0,4.0,80.0,127.0,156.0,179.0,140.0,155.0,198.0,241.0,218.0,326.0,371.0,523.0,436.0,396.0,219.0,194.0,80.0,75.0,47.0,8.0,5.0
2024-05-09,6.0,9.0,14.0,25.0,16.0,58.0,110.0,115.0,109.0,204.0,181.0,188.0,214.0,253.0,255.0,195.0,166.0,87.0,58.0,61.0,26.0,10.0,2.0
2024-05-10,4.0,9.0,42.0,38.0,72.0,115.0,174.0,197.0,255.0,323.0,334.0,351.0,355.0,281.0,371.0,246.0,254.0,280.0,294.0,260.0,67.0,23.0,19.0
2024-05-11,8.0,6.0,9.0,15.0,36.0,57.0,101.0,234.0,288.0,370.0,319.0,360.0,303.0,456.0,430.0,428.0,377.0,232.0,191.0,179.0,136.0,44.0,19.0
