,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2024-05-01,1.0,2.0,4.0,4.0,9.0,19.0,42.0,86.0,63.0,64.0,113.0,81.0,63.0,83.0,39.0,72.0,45.0,34.0,30.0,4.0,5.0,6.0,1.0
2024-05-02,1.0,2.0,17.0,86.0,101.0,178.0,71.0,99.0,70.0,87.0,107.0,117.0,172.0,166.0,174.0,113.0,53.0,40.0,29.0,11.0,7.0,0.0,0.0
2024-05-03,4.0,6.0,19.0,39.0,60.0,115.0,99.0,126.0,122.0,138.0,170.0,190.0,243.0,256.0,173.0,112.0,86.0,25.0,38.0,36.0,13.0,7.0,2.0
2024-05-04,4.0,1.0,3.0,6.0,18.0,40.0,90.0,125.0,123.0,133.0,220.0,190.0,158.0,186.0,448.0,344.0,201.0,187.0,107.0,94.0,102.0,17.0,9.0
2024-05-05,3.0,5.0,4.0,6.0,13.0,23.0,67.0,82.0,67.0,113.0,161.0,98.0,86.0,103.0,122.0,86.0,88.0,42.0,25.0,21.0,9.0,3.0,2.0
2024-05-06,4.0,7.0,42.0,80.0,98.0,158.0,80.0,92.0,86.0,91.0,100.0,184.0,155.0,151.0,148.0,85.0,44.0,22.0,12.0,14.0,9.0,1.0,2.0
2024-05-07,3.0,9.0,21.0,64.0,107.0,143.0,98.0,58.0,90.0,94.0,108.0,124.0,176.0,173.0,118.0,123.0,47.0,29.0,12.0,11.0,8.0,5.0,3.0
2024-05-08,1.0,10.0,31.0,100.0,94.0,164.0,76.0,79.0,86.0,103.0,132.0,193.0,206.0,362.0,187.0,266.0,117.0,52.0,37.0,27.0,12.0,7.0,3.0
2024-05-09,4.0,1.0,7.0,15.0,16.0,26.0,81.0,99.0,86.0,107.0,156.0,206.0,329.0,220.0,184.0,200.0,77.0,42.0,29.0,21.0,8.0,6.0,6.0
2024-05-10,4.0,6.0,17.0,37.0,31.0,47.0,137.0,106.0,104.0,141.0,171.0,167.0,204.0,105.0,114.0,124.0,61.0,69.0,31.0,31.0,23.0,15.0,6.0
2024-05-11,5.0,2.0,5.0,5.0,22.0,44.0,75.0,78.0,118.0,139.0,167.0,300.0,372.0,237.0,273.0,194.0,192.0,121.0,105.0,58.0,42.0,25.0,11.0
2024-05-12,4.0,7.0,3.0,3.0,6.0,19.0,46.0,71.0,130.0,103.0,135.0,160.0,147.0,164.0,135.0,129.0,54.0,37.0,46.0,22.0,11.0,9.0,4.0
2024-05-13,3.0,10.0,26.0,73.0,122.0,149.0,137.0,86.0,110.0,68.0,101.0,91.0,144.0,120.0,112.0,108.0,94.0,107.0,63.0,20.0,8.0,5.0,1.0
2024-05-14,3.0,6.0,30.0,77.0,147.0,181.0,72.0,84.0,134.0,62.0,102.0,134.0,167.0,176.0,166.0,100.0,27.0,26.0,19.0,15.0,9.0,4.0,2.0
2024-05-15,8.0,15.0,22.0,52.0,110.0,166.0,89.0,107.0,78.0,136.0,111.0,102.0,159.0,225.0,125.0,109.0,50.0,24.0,16.0,10.0,6.0,5.0,1.0
2024-05-16,3.0,4.0,29.0,105.0,118.0,152.0,78.0,77.0,82.0,77.0,86.0,142.0,226.0,258.0,235.0,196.0,83.0,28.0,36.0,29.0,10.0,5.0,3.0
2024-05-17,3.0,6.0,29.0,51.0,74.0,125.0,125.0,135.0,131.0,170.0,247.0,230.0,230.0,223.0,216.0,165.0,105.0,93.0,34.0,32.0,16.0,6.0,7.0
2024-05-18,3.0,8.0,4.0,7.0,18.0,38.0,71.0,90.0,132.0,193.0,131.0,158.0,140.0,92.0,87.0,79.0,115.0,95.0,82.0,49.0,14.0,16.0,7.0
2024-05-19,2.0,5.0,3.0,9.0,5.0,13.0,27.0,44.0,70.0,71.0,77.0,111.0,76.0,89.0,108.0,139.0,144.0,108.0,82.0,90.0,28.0,4.0,4.0
2024-05-20,0.0,2.0,1.0,9.0,5.0,16.0,23.0,58.0,78.0,79.0,120.0,125.0,131.0,119.0,106.0,85.0,55.0,77.0,47.0,17.0,8.0,6.0,1.0
2024-05-21,1.0,3.0,26.0,111.0,65.0,181.0,101.0,97.0,102.0,91.0,132.0,184.0,204.0,272.0,265.0,165.0,74.0,49.0,28.0,18.0,6.0,9.0,6.0
