,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2024-05-01,2.0,2.0,1.0,22.0,34.0,61.0,81.0,78.0,66.0,64.0,75.0,85.0,97.0,68.0,117.0,127.0,129.0,84.0,74.0,40.0,17.0,5.0,5.0
2024-05-02,6.0,10.0,30.0,62.0,143.0,152.0,166.0,150.0,170.0,165.0,181.0,203.0,226.0,307.0,228.0,139.0,124.0,92.0,66.0,37.0,20.0,15.0,5.0
2024-05-03,5.0,7.0,37.0,64.0,105.0,121.0,187.0,154.0,183.0,169.0,233.0,228.0,290.0,306.0,165.0,265.0,137.0,102.0,71.0,45.0,28.0,18.0,10.0
2024-05-04,7.0,6.0,15.0,21.0,46.0,105.0,121.0,243.0,211.0,260.0,234.0,299.0,191.0,206.0,183.0,174.0,164.0,120.0,86.0,79.0,40.0,38.0,9.0
2024-05-05,4.0,3.0,2.0,12.0,11.0,41.0,55.0,94.0,111.0,76.0,108.0,140.0,119.0,124.0,112.0,158.0,77.0,66.0,35.0,35.0,17.0,5.0,4.0
2024-05-06,4.0,6.0,41.0,97.0,184.0,173.0,186.0,170.0,165.0,157.0,138.0,221.0,227.0,278.0,207.0,136.0,88.0,68.0,51.0,21.0,17.0,7.0,6.0
2024-05-07,4.0,4.0,37.0,122.0,184.0,173.0,152.0,175.0,148.0,138.0,160.0,217.0,279.0,249.0,237.0,154.0,72.0,66.0,41.0,24.0,10.0,9.0,4.0
2024-05-08,5.0,10.0,38.0,74.0,179.0,150.0,152.0,124.0,154.0,192.0,176.0,340.0,261.0,336.0,290.0,198.0,226.0,184.0,103.0,69.0,35.0,15.0,10.0
2024-05-09,5.0,3.0,7.0,14.0,20.0,45.0,80.0,76.0,89.0,49.0,63.0,75.0,92.0,89.0,96.0,52.0,50.0,70.0,48.0,30.0,18.0,6.0,20.0
2024-05-10,2.0,5.0,22.0,28.0,65.0,72.0,166.0,179.0,208.0,212.0,251.0,274.0,277.0,244.0,198.0,198.0,139.0,85.0,64.0,47.0,38.0,22.0,12.0
2024-05-11,3.0,12.0,16.0,12.0,40.0,66.0,124.0,222.0,217.0,174.0,291.0,850.0,911.0,822.0,642.0,246.0,115.0,59.0,52.0,31.0,24.0,29.0,7.0
2024-05-12,6.0,0.0,6.0,10.0,15.0,52.0,72.0,115.0,115.0,91.0,100.0,131.0,119.0,119.0,116.0,163.0,70.0,61.0,45.0,35.0,10.0,2.0,5.0
2024-05-13,6.0,6.0,39.0,124.0,187.0,158.0,169.0,189.0,146.0,148.0,142.0,199.0,308.0,263.0,180.0,133.0,95.0,48.0,58.0,35.0,15.0,17.0,3.0
2024-05-14,4.0,18.0,35.0,112.0,163.0,166.0,153.0,154.0,180.0,169.0,170.0,191.0,184.0,200.0,195.0,142.0,77.0,57.0,56.0,21.0,14.0,13.0,1.0
2024-05-15,4.0,6.0,46.0,71.0,121.0,138.0,151.0,131.0,127.0,147.0,149.0,155.0,348.0,233.0,277.0,187.0,261.0,109.0,134.0,146.0,46.0,24.0,6.0
2024-05-16,3.0,8.0,29.0,91.0,160.0,168.0,195.0,157.0,156.0,189.0,185.0,228.0,281.0,307.0,278.0,235.0,200.0,130.0,97.0,82.0,25.0,20.0,12.0
2024-05-17,7.0,5.0,38.0,82.0,138.0,128.0,157.0,189.0,247.0,253.0,271.0,322.0,329.0,344.0,260.0,251.0,186.0,145.0,72.0,52.0,46.0,25.0,16.0
2024-05-18,6.0,7.0,9.0,17.0,36.0,51.0,116.0,166.0,218.0,259.0,202.0,265.0,281.0,250.0,247.0,233.0,187.0,143.0,95.0,70.0,32.0,28.0,25.0
2024-05-19,1.0,12.0,8.0,7.0,13.0,29.0,52.0,65.0,82.0,143.0,197.0,232.0,228.0,195.0,202.0,179.0,139.0,85.0,93.0,71.0,29.0,30.0,27.0
2024-05-20,5.0,2.0,5.0,11.0,11.0,28.0,61.0,94.0,100.0,106.0,89.0,130.0,127.0,147.0,113.0,94.0,75.0,70.0,62.0,28.0,20.0,9.0,5.0
2024-05-21,4.0,14.0,51.0,104.0,143.0,152.0,177.0,220.0,184.0,185.0,174.0,222.0,259.0,328.0,206.0,194.0,90.0,65.0,35.0,32.0,9.0,8.0,5.0
2024-05-22,1.0,7.0,51.0,96.0,177.0,127.0,134.0,141.0,157.0,193.0,149.0,231.0,278.0,268.0,215.0,146.0,80.0,42.0,43.0,37.0,18.0,10.0,5.0
2024-05-23,6.0,13.0,46.0,84.0,140.0,147.0,156.0,147.0,132.0,145.0,154.0,209.0,298.0,222.0,219.0,186.0,105.0,84.0,64.0,54.0,17.0,8.0,10.0
2024-05-24,2.0,5.0,36.0,73.0,129.0,160.0,142.0,134.0,174.0,182.0,244.0,236.0,317.0,306.0,209.0,199.0,147.0,84.0,49.0,59.0,43.0,17.0,17.0
2024-05-25,4.0,9.0,13.0,16.0,26.0,52.0,132.0,141.0,186.0,190.0,187.0,197.0,226.0,188.0,172.0,113.0,91.0,74.0,59.0,58.0,40.0,14.0,20.0
2024-05-26,5.0,4.0,8.0,9.0,13.0,25.0,53.0,100.0,115.0,132.0,119.0,90.0,82.0,79.0,127.0,113.0,95.0,56.0,51.0,34.0,17.0,8.0,3.0
