,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2024-05-01,0.0,4.0,1.0,0.0,3.0,4.0,17.0,30.0,25.0,25.0,16.0,24.0,20.0,17.0,28.0,22.0,15.0,9.0,13.0,3.0,2.0,0.0,2.0
2024-05-02,1.0,2.0,3.0,6.0,24.0,38.0,34.0,17.0,38.0,34.0,41.0,43.0,69.0,54.0,70.0,48.0,22.0,4.0,6.0,2.0,3.0,1.0,1.0
2024-05-03,0.0,2.0,6.0,8.0,26.0,22.0,37.0,37.0,26.0,40.0,45.0,35.0,65.0,38.0,36.0,25.0,14.0,16.0,4.0,10.0,2.0,3.0,6.0
2024-05-04,1.0,2.0,0.0,6.0,7.0,13.0,32.0,38.0,68.0,46.0,71.0,57.0,57.0,38.0,30.0,42.0,15.0,15.0,16.0,12.0,5.0,9.0,4.0
2024-05-05,0.0,1.0,4.0,2.0,5.0,9.0,17.0,27.0,27.0,25.0,37.0,22.0,19.0,38.0,23.0,22.0,8.0,14.0,7.0,9.0,7.0,3.0,3.0
2024-05-06,0.0,1.0,7.0,21.0,35.0,43.0,49.0,25.0,30.0,25.0,29.0,44.0,44.0,46.0,40.0,26.0,17.0,15.0,5.0,4.0,4.0,2.0,1.0
2024-05-07,2.0,1.0,5.0,19.0,53.0,52.0,27.0,32.0,22.0,45.0,31.0,28.0,52.0,46.0,75.0,37.0,19.0,8.0,9.0,4.0,2.0,1.0,1.0
2024-05-08,0.0,0.0,4.0,10.0,35.0,62.0,44.0,36.0,31.0,35.0,28.0,39.0,46.0,110.0,135.0,54.0,20.0,21.0,12.0,5.0,8.0,4.0,1.0
2024-05-09,2.0,0.0,1.0,4.0,10.0,10.0,18.0,43.0,24.0,23.0,28.0,26.0,23.0,20.0,32.0,25.0,20.0,11.0,9.0,6.0,3.0,1.0,1.0
2024-05-10,0.0,4.0,3.0,10.0,24.0,29.0,50.0,26.0,58.0,61.0,51.0,48.0,59.0,52.0,59.0,44.0,28.0,14.0,8.0,16.0,6.0,3.0,0.0
2024-05-11,2.0,2.0,4.0,2.0,6.0,14.0,51.0,60.0,38.0,71.0,45.0,47.0,53.0,54.0,46.0,43.0,28.0,30.0,14.0,11.0,11.0,7.0,2.0
2024-05-12,1.0,1.0,2.0,2.0,5.0,8.0,17.0,25.0,31.0,32.0,36.0,31.0,83.0,198.0,188.0,152.0,128.0,35.0,22.0,13.0,1.0,0.0,0.0
2024-05-13,1.0,0.0,4.0,27.0,32.0,40.0,36.0,18.0,34.0,47.0,22.0,29.0,30.0,77.0,89.0,36.0,32.0,26.0,17.0,20.0,10.0,3.0,2.0
2024-05-14,1.0,4.0,0.0,13.0,53.0,40.0,51.0,31.0,48.0,46.0,38.0,40.0,64.0,59.0,62.0,28.0,17.0,20.0,12.0,6.0,4.0,1.0,1.0
2024-05-15,2.0,1.0,4.0,26.0,31.0,49.0,47.0,39.0,55.0,66.0,50.0,47.0,72.0,71.0,46.0,46.0,21.0,9.0,14.0,3.0,1.0,3.0,1.0
2024-05-16,1.0,2.0,5.0,26.0,33.0,58.0,67.0,49.0,56.0,33.0,64.0,48.0,66.0,101.0,97.0,60.0,19.0,24.0,11.0,6.0,2.0,1.0,0.0
2024-05-17,1.0,2.0,0.0,22.0,31.0,45.0,42.0,45.0,38.0,44.0,36.0,76.0,64.0,52.0,52.0,44.0,24.0,14.0,13.0,8.0,3.0,3.0,1.0
