,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2024-05-01,1.0,1.0,4.0,7.0,1.0,15.0,48.0,37.0,32.0,25.0,19.0,39.0,34.0,49.0,57.0,72.0,43.0,39.0,15.0,10.0,3.0,3.0,2.0
2024-05-02,0.0,1.0,11.0,20.0,68.0,61.0,56.0,66.0,41.0,42.0,53.0,79.0,71.0,72.0,67.0,45.0,55.0,31.0,15.0,21.0,8.0,0.0,1.0
2024-05-03,1.0,3.0,13.0,17.0,38.0,50.0,47.0,49.0,32.0,56.0,46.0,60.0,73.0,79.0,77.0,57.0,63.0,40.0,34.0,29.0,16.0,7.0,4.0
2024-05-04,0.0,4.0,5.0,10.0,7.0,25.0,42.0,57.0,62.0,72.0,161.0,304.0,315.0,292.0,334.0,202.0,190.0,75.0,76.0,48.0,41.0,24.0,4.0
2024-05-05,3.0,3.0,1.0,3.0,12.0,14.0,17.0,25.0,33.0,43.0,43.0,53.0,52.0,97.0,51.0,56.0,26.0,15.0,13.0,15.0,3.0,0.0,1.0
2024-05-06,4.0,2.0,18.0,21.0,64.0,64.0,44.0,47.0,45.0,52.0,48.0,51.0,69.0,71.0,65.0,55.0,21.0,16.0,35.0,8.0,1.0,3.0,1.0
2024-05-07,0.0,12.0,8.0,26.0,105.0,97.0,39.0,33.0,36.0,51.0,55.0,35.0,81.0,68.0,101.0,78.0,32.0,28.0,14.0,9.0,9.0,2.0,2.0
2024-05-08,1.0,1.0,14.0,19.0,70.0,65.0,41.0,34.0,56.0,59.0,75.0,73.0,110.0,116.0,181.0,145.0,90.0,62.0,44.0,33.0,9.0,7.0,1.0
2024-05-09,1.0,2.0,6.0,8.0,6.0,26.0,30.0,21.0,42.0,54.0,54.0,49.0,76.0,69.0,77.0,40.0,41.0,31.0,15.0,18.0,4.0,4.0,1.0
2024-05-10,1.0,6.0,10.0,13.0,19.0,28.0,50.0,74.0,67.0,76.0,93.0,118.0,100.0,80.0,105.0,109.0,105.0,78.0,49.0,45.0,20.0,5.0,4.0
2024-05-11,2.0,8.0,9.0,6.0,12.0,15.0,45.0,45.0,74.0,81.0,83.0,91.0,85.0,89.0,122.0,99.0,87.0,71.0,60.0,54.0,20.0,12.0,10.0
2024-05-12,6.0,0.0,5.0,6.0,6.0,15.0,39.0,36.0,44.0,50.0,52.0,51.0,54.0,78.0,70.0,69.0,52.0,56.0,30.0,37.0,2.0,2.0,1.0
2024-05-13,1.0,3.0,12.0,30.0,80.0,119.0,81.0,38.0,50.0,68.0,48.0,63.0,82.0,115.0,83.0,32.0,16.0,17.0,10.0,1.0,1.0,2.0,2.0
2024-05-14,1.0,3.0,13.0,40.0,74.0,102.0,76.0,54.0,41.0,67.0,66.0,54.0,71.0,115.0,98.0,49.0,29.0,21.0,23.0,16.0,4.0,1.0,0.0
2024-05-15,2.0,4.0,22.0,27.0,87.0,70.0,101.0,57.0,55.0,65.0,53.0,76.0,83.0,64.0,121.0,83.0,65.0,38.0,19.0,12.0,2.0,2.0,0.0
2024-05-16,0.0,4.0,23.0,31.0,70.0,73.0,74.0,48.0,42.0,62.0,64.0,71.0,119.0,125.0,69.0,90.0,38.0,29.0,18.0,7.0,1.0,2.0,1.0
2024-05-17,1.0,1.0,12.0,25.0,35.0,53.0,49.0,46.0,50.0,74.0,56.0,67.0,103.0,66.0,74.0,72.0,46.0,40.0,22.0,13.0,8.0,3.0,0.0
2024-05-18,3.0,6.0,3.0,4.0,13.0,28.0,49.0,77.0,84.0,153.0,132.0,230.0,324.0,358.0,481.0,284.0,54.0,36.0,29.0,16.0,23.0,8.0,5.0
2024-05-19,5.0,6.0,6.0,3.0,8.0,9.0,24.0,34.0,49.0,34.0,16.0,22.0,31.0,57.0,40.0,34.0,28.0,24.0,19.0,6.0,8.0,5.0,2.0
2024-05-20,2.0,3.0,0.0,2.0,4.0,10.0,17.0,12.0,36.0,40.0,43.0,29.0,28.0,37.0,40.0,34.0,28.0,25.0,7.0,7.0,2.0,2.0,2.0
2024-05-21,0.0,0.0,4.0,34.0,49.0,54.0,54.0,34.0,45.0,42.0,46.0,50.0,80.0,103.0,53.0,57.0,56.0,23.0,15.0,7.0,6.0,5.0,0.0
2024-05-22,1.0,0.0,10.0,34.0,48.0,41.0,32.0,57.0,29.0,36.0,47.0,34.0,96.0,103.0,67.0,47.0,26.0,9.0,11.0,4.0,3.0,1.0,0.0
2024-05-23,1.0,6.0,13.0,14.0,51.0,39.0,43.0,43.0,31.0,35.0,44.0,49.0,94.0,80.0,109.0,66.0,43.0,27.0,10.0,5.0,2.0,1.0,2.0
