0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
11.0,4.0,1.0,2.0,1.0,9.0,11.0,20.0,29.0,28.0,28.0,35.0,32.0,30.0,23.0,25.0,36.0,47.0,29.0,15.0,12.0,6.0,7.0,2.0
4.0,2.0,6.0,7.0,26.0,23.0,48.0,30.0,42.0,45.0,46.0,43.0,49.0,59.0,67.0,76.0,60.0,43.0,30.0,19.0,12.0,6.0,5.0,1.0
4.0,1.0,1.0,9.0,15.0,21.0,46.0,38.0,39.0,34.0,75.0,59.0,59.0,57.0,74.0,56.0,59.0,36.0,43.0,30.0,9.0,15.0,7.0,3.0
5.0,1.0,4.0,1.0,7.0,11.0,16.0,29.0,29.0,45.0,46.0,59.0,41.0,75.0,84.0,82.0,91.0,87.0,33.0,72.0,31.0,19.0,10.0,7.0
9.0,5.0,3.0,2.0,3.0,10.0,17.0,20.0,33.0,31.0,28.0,45.0,54.0,42.0,45.0,44.0,37.0,36.0,19.0,17.0,9.0,5.0,5.0,5.0
4.0,0.0,7.0,10.0,12.0,28.0,53.0,36.0,27.0,38.0,43.0,48.0,55.0,73.0,76.0,59.0,50.0,24.0,18.0,21.0,13.0,8.0,4.0,2.0
2.0,0.0,1.0,11.0,19.0,32.0,35.0,49.0,43.0,35.0,52.0,39.0,52.0,76.0,73.0,57.0,52.0,46.0,23.0,20.0,11.0,12.0,7.0,2.0
5.0,0.0,3.0,10.0,24.0,25.0,34.0,35.0,29.0,45.0,70.0,54.0,71.0,80.0,114.0,90.0,67.0,37.0,46.0,20.0,13.0,11.0,3.0,5.0
6.0,1.0,3.0,4.0,3.0,6.0,13.0,22.0,27.0,36.0,33.0,27.0,33.0,29.0,26.0,28.0,25.0,27.0,28.0,12.0,9.0,12.0,2.0,2.0
6.0,3.0,3.0,5.0,12.0,12.0,22.0,26.0,45.0,45.0,43.0,42.0,39.0,49.0,48.0,41.0,41.0,35.0,20.0,11.0,15.0,11.0,12.0,5.0
3.0,2.0,0.0,3.0,9.0,10.0,15.0,19.0,36.0,46.0,56.0,54.0,52.0,46.0,49.0,34.0,46.0,35.0,33.0,20.0,21.0,8.0,5.0,3.0
6.0,4.0,2.0,3.0,4.0,5.0,10.0,21.0,19.0,26.0,27.0,47.0,30.0,31.0,27.0,45.0,60.0,39.0,23.0,25.0,3.0,6.0,1.0,1.0
2.0,0.0,1.0,22.0,28.0,38.0,51.0,54.0,40.0,34.0,33.0,29.0,40.0,51.0,69.0,39.0,28.0,21.0,22.0,22.0,10.0,6.0,2.0,0.0
0.0,1.0,2.0,12.0,23.0,34.0,39.0,41.0,28.0,29.0,41.0,39.0,44.0,71.0,56.0,58.0,45.0,30.0,23.0,21.0,10.0,5.0,4.0,4.0
1.0,0.0,5.0,19.0,30.0,37.0,45.0,33.0,46.0,39.0,38.0,45.0,40.0,84.0,66.0,62.0,43.0,30.0,22.0,19.0,12.0,6.0,2.0,3.0
2.0,1.0,3.0,12.0,24.0,33.0,61.0,56.0,56.0,37.0,58.0,28.0,82.0,99.0,94.0,54.0,55.0,43.0,26.0,19.0,16.0,3.0,2.0,2.0
3.0,0.0,4.0,7.0,19.0,28.0,31.0,28.0,41.0,61.0,54.0,77.0,71.0,105.0,74.0,50.0,58.0,38.0,29.0,12.0,13.0,5.0,4.0,9.0
5.0,3.0,3.0,5.0,8.0,16.0,15.0,53.0,42.0,35.0,47.0,61.0,64.0,79.0,54.0,66.0,43.0,37.0,27.0,17.0,15.0,15.0,5.0,1.0
5.0,5.0,3.0,1.0,6.0,11.0,14.0,11.0,23.0,32.0,19.0,31.0,38.0,49.0,48.0,45.0,45.0,28.0,29.0,15.0,15.0,9.0,9.0,5.0
2.0,3.0,1.0,4.0,2.0,2.0,12.0,18.0,13.0,26.0,26.0,30.0,27.0,48.0,42.0,48.0,36.0,25.0,22.0,12.0,12.0,5.0,6.0,1.0
0.0,1.0,1.0,15.0,24.0,38.0,47.0,51.0,37.0,38.0,46.0,41.0,66.0,57.0,62.0,58.0,60.0,22.0,17.0,22.0,5.0,6.0,4.0,4.0
3.0,5.0,4.0,11.0,28.0,48.0,43.0,38.0,31.0,43.0,38.0,56.0,51.0,60.0,83.0,66.0,61.0,36.0,16.0,12.0,6.0,8.0,5.0,4.0
6.0,2.0,3.0,14.0,22.0,33.0,39.0,31.0,33.0,47.0,39.0,42.0,41.0,65.0,67.0,55.0,49.0,31.0,30.0,18.0,19.0,9.0,5.0,2.0
1.0,1.0,2.0,10.0,20.0,32.0,36.0,30.0,37.0,57.0,60.0,38.0,50.0,74.0,56.0,48.0,49.0,38.0,30.0,31.0,21.0,12.0,8.0,6.0
5.0,1.0,4.0,5.0,6.0,13.0,20.0,21.0,36.0,25.0,48.0,48.0,59.0,59.0,47.0,49.0,37.0,61.0,41.0,32.0,40.0,15.0,12.0,6.0
8.0,0.0,1.0,0.0,2.0,8.0,13.0,13.0,19.0,31.0,35.0,28.0,32.0,28.0,37.0,30.0,41.0,35.0,15.0,13.0,10.0,14.0,2.0,2.0
4.0,3.0,3.0,18.0,33.0,40.0,65.0,39.0,48.0,39.0,52.0,39.0,30.0,78.0,71.0,44.0,32.0,33.0,27.0,18.0,16.0,2.0,3.0,0.0
1.0,2.0,1.0,7.0,33.0,47.0,55.0,54.0,36.0,50.0,56.0,55.0,45.0,64.0,53.0,73.0,38.0,21.0,27.0,22.0,10.0,2.0,2.0,0.0
2.0,0.0,7.0,11.0,24.0,37.0,56.0,32.0,34.0,30.0,40.0,64.0,60.0,75.0,71.0,57.0,47.0,38.0,36.0,19.0,9.0,8.0,2.0,5.0
6.0,4.0,5.0,17.0,38.0,43.0,43.0,38.0,38.0,60.0,54.0,49.0,58.0,77.0,73.0,74.0,53.0,58.0,46.0,37.0,19.0,8.0,4.0,2.0
3.0,1.0,4.0,13.0,16.0,26.0,27.0,29.0,45.0,51.0,62.0,59.0,79.0,70.0,61.0,62.0,57.0,49.0,32.0,26.0,19.0,24.0,15.0,9.0
10.0,0.0,3.0,2.0,6.0,10.0,21.0,25.0,33.0,36.0,43.0,54.0,62.0,90.0,85.0,78.0,95.0,60.0,100.0,54.0,38.0,14.0,23.0,7.0
5.0,4.0,4.0,0.0,2.0,6.0,14.0,23.0,32.0,19.0,27.0,37.0,36.0,37.0,32.0,31.0,40.0,30.0,30.0,14.0,16.0,4.0,4.0,0.0
2.0,2.0,2.0,19.0,43.0,36.0,32.0,29.0,31.0,35.0,34.0,40.0,47.0,81.0,68.0,67.0,74.0,32.0,21.0,16.0,8.0,9.0,5.0,4.0
3.0,1.0,4.0,19.0,18.0,38.0,60.0,40.0,36.0,42.0,60.0,47.0,37.0,64.0,78.0,56.0,34.0,28.0,22.0,14.0,1.0,8.0,6.0,3.0
3.0,1.0,6.0,18.0,27.0,43.0,35.0,41.0,22.0,49.0,61.0,37.0,62.0,56.0,81.0,79.0,47.0,31.0,26.0,17.0,10.0,8.0,2.0,3.0
4.0,0.0,2.0,23.0,37.0,32.0,43.0,38.0,39.0,42.0,44.0,42.0,45.0,78.0,90.0,84.0,68.0,54.0,28.0,31.0,18.0,9.0,7.0,3.0
2.0,0.0,6.0,7.0,24.0,37.0,42.0,43.0,29.0,26.0,58.0,73.0,63.0,69.0,56.0,67.0,41.0,43.0,18.0,18.0,22.0,12.0,8.0,2.0
5.0,2.0,2.0,5.0,10.0,7.0,17.0,29.0,44.0,33.0,35.0,46.0,37.0,38.0,43.0,42.0,38.0,44.0,46.0,33.0,29.0,20.0,6.0,7.0
8.0,2.0,4.0,3.0,7.0,10.0,16.0,21.0,20.0,42.0,42.0,34.0,38.0,24.0,34.0,43.0,57.0,22.0,29.0,25.0,17.0,4.0,5.0,3.0
7.0,1.0,1.0,18.0,18.0,45.0,63.0,57.0,37.0,38.0,33.0,36.0,53.0,70.0,82.0,56.0,70.0,40.0,31.0,29.0,19.0,8.0,1.0,3.0
3.0,2.0,3.0,17.0,23.0,52.0,44.0,47.0,42.0,40.0,50.0,53.0,60.0,89.0,71.0,63.0,40.0,29.0,24.0,22.0,10.0,5.0,1.0,1.0
4.0,2.0,4.0,9.0,29.0,39.0,54.0,47.0,41.0,35.0,32.0,51.0,47.0,72.0,74.0,67.0,51.0,38.0,17.0,20.0,13.0,10.0,5.0,2.0
3.0,3.0,2.0,22.0,20.0,47.0,33.0,39.0,33.0,37.0,49.0,36.0,59.0,66.0,71.0,63.0,50.0,31.0,30.0,15.0,9.0,6.0,2.0,2.0
2.0,4.0,2.0,5.0,16.0,24.0,26.0,35.0,34.0,46.0,59.0,74.0,62.0,77.0,67.0,51.0,55.0,66.0,30.0,26.0,17.0,19.0,3.0,9.0
1.0,4.0,4.0,3.0,7.0,8.0,20.0,26.0,34.0,38.0,35.0,36.0,54.0,42.0,49.0,43.0,37.0,37.0,41.0,35.0,25.0,8.0,7.0,6.0
1.0,2.0,0.0,8.0,6.0,8.0,16.0,7.0,23.0,24.0,22.0,24.0,38.0,24.0,22.0,40.0,40.0,25.0,20.0,17.0,7.0,7.0,3.0,5.0
3.0,3.0,3.0,13.0,33.0,47.0,54.0,33.0,29.0,35.0,38.0,44.0,48.0,70.0,53.0,43.0,26.0,23.0,23.0,11.0,4.0,6.0,4.0,2.0
2.0,0.0,4.0,19.0,35.0,29.0,29.0,34.0,44.0,50.0,51.0,31.0,51.0,77.0,53.0,59.0,34.0,23.0,27.0,15.0,7.0,4.0,3.0,2.0
3.0,4.0,2.0,29.0,32.0,54.0,41.0,37.0,34.0,41.0,46.0,32.0,49.0,55.0,74.0,56.0,22.0,16.0,18.0,12.0,12.0,7.0,4.0,1.0
3.0,0.0,5.0,12.0,26.0,18.0,45.0,49.0,30.0,47.0,34.0,35.0,48.0,55.0,79.0,41.0,59.0,31.0,33.0,14.0,11.0,8.0,4.0,1.0
1.0,2.0,2.0,12.0,18.0,37.0,39.0,41.0,34.0,40.0,38.0,46.0,84.0,69.0,58.0,59.0,54.0,35.0,18.0,12.0,13.0,12.0,8.0,1.0
4.0,0.0,1.0,4.0,1.0,13.0,8.0,21.0,32.0,31.0,31.0,52.0,48.0,35.0,28.0,39.0,29.0,29.0,23.0,20.0,22.0,13.0,14.0,8.0
1.0,2.0,5.0,2.0,2.0,2.0,11.0,11.0,16.0,17.0,27.0,48.0,31.0,33.0,34.0,31.0,34.0,28.0,29.0,9.0,11.0,4.0,8.0,2.0
3.0,0.0,5.0,27.0,24.0,39.0,52.0,25.0,49.0,31.0,37.0,44.0,50.0,65.0,47.0,49.0,32.0,26.0,17.0,9.0,8.0,10.0,4.0,2.0
3.0,2.0,1.0,21.0,36.0,45.0,38.0,34.0,32.0,43.0,35.0,57.0,50.0,74.0,87.0,58.0,28.0,21.0,25.0,15.0,15.0,12.0,5.0,1.0
1.0,0.0,5.0,22.0,24.0,45.0,45.0,38.0,29.0,42.0,25.0,47.0,65.0,62.0,58.0,47.0,45.0,31.0,15.0,13.0,11.0,14.0,8.0,5.0
3.0,3.0,8.0,19.0,24.0,42.0,48.0,45.0,22.0,53.0,66.0,58.0,61.0,58.0,72.0,39.0,55.0,30.0,41.0,20.0,10.0,7.0,6.0,1.0
2.0,3.0,3.0,17.0,18.0,35.0,28.0,53.0,42.0,35.0,61.0,60.0,54.0,74.0,67.0,48.0,45.0,42.0,16.0,27.0,36.0,9.0,12.0,6.0
5.0,3.0,1.0,5.0,5.0,7.0,25.0,23.0,33.0,32.0,35.0,60.0,25.0,29.0,46.0,48.0,44.0,48.0,49.0,32.0,25.0,28.0,18.0,8.0
3.0,4.0,0.0,2.0,1.0,3.0,6.0,17.0,17.0,26.0,26.0,38.0,24.0,30.0,18.0,32.0,33.0,22.0,26.0,16.0,14.0,8.0,5.0,2.0
1.0,1.0,4.0,10.0,27.0,22.0,26.0,39.0,35.0,46.0,39.0,43.0,62.0,88.0,101.0,100.0,25.0,24.0,23.0,13.0,8.0,9.0,5.0,5.0
3.0,1.0,3.0,11.0,26.0,33.0,38.0,43.0,36.0,31.0,32.0,33.0,58.0,65.0,78.0,71.0,52.0,41.0,22.0,14.0,15.0,9.0,4.0,1.0
3.0,0.0,4.0,8.0,32.0,41.0,41.0,28.0,43.0,33.0,38.0,47.0,33.0,52.0,111.0,58.0,62.0,27.0,21.0,16.0,10.0,9.0,3.0,2.0
4.0,4.0,4.0,20.0,22.0,38.0,40.0,60.0,59.0,44.0,61.0,49.0,37.0,71.0,94.0,102.0,77.0,35.0,37.0,43.0,20.0,8.0,3.0,3.0
1.0,2.0,2.0,13.0,33.0,33.0,32.0,41.0,41.0,61.0,60.0,75.0,63.0,99.0,60.0,48.0,36.0,22.0,11.0,20.0,14.0,11.0,3.0,1.0
3.0,5.0,5.0,2.0,4.0,9.0,8.0,21.0,34.0,28.0,36.0,36.0,45.0,29.0,53.0,50.0,32.0,51.0,40.0,31.0,28.0,16.0,15.0,3.0
1.0,3.0,4.0,5.0,5.0,6.0,5.0,39.0,24.0,27.0,33.0,24.0,29.0,26.0,33.0,33.0,37.0,30.0,28.0,13.0,11.0,9.0,3.0,1.0
2.0,1.0,5.0,14.0,27.0,38.0,49.0,38.0,34.0,43.0,45.0,36.0,68.0,92.0,72.0,55.0,68.0,26.0,19.0,18.0,7.0,7.0,4.0,2.0
2.0,0.0,3.0,19.0,34.0,48.0,38.0,45.0,37.0,49.0,42.0,29.0,45.0,72.0,71.0,64.0,62.0,58.0,41.0,32.0,19.0,10.0,5.0,1.0
1.0,2.0,4.0,16.0,18.0,33.0,56.0,65.0,37.0,47.0,30.0,54.0,68.0,63.0,58.0,45.0,37.0,46.0,26.0,22.0,12.0,5.0,4.0,3.0
6.0,2.0,1.0,6.0,22.0,37.0,37.0,36.0,40.0,41.0,45.0,59.0,61.0,99.0,71.0,74.0,55.0,33.0,30.0,34.0,14.0,10.0,2.0,5.0
2.0,5.0,3.0,11.0,16.0,36.0,20.0,45.0,46.0,49.0,71.0,65.0,84.0,55.0,77.0,40.0,53.0,26.0,20.0,13.0,19.0,7.0,9.0,3.0
2.0,3.0,2.0,5.0,8.0,5.0,12.0,23.0,31.0,44.0,40.0,57.0,57.0,45.0,50.0,78.0,80.0,63.0,80.0,69.0,49.0,19.0,6.0,8.0
5.0,2.0,1.0,3.0,0.0,6.0,7.0,17.0,14.0,30.0,42.0,26.0,48.0,51.0,41.0,54.0,47.0,41.0,33.0,12.0,7.0,15.0,9.0,4.0
6.0,2.0,0.0,8.0,28.0,43.0,29.0,36.0,37.0,24.0,58.0,47.0,51.0,68.0,61.0,59.0,46.0,18.0,25.0,26.0,15.0,7.0,8.0,5.0
8.0,3.0,4.0,6.0,28.0,42.0,48.0,39.0,35.0,37.0,42.0,43.0,48.0,68.0,79.0,40.0,45.0,34.0,21.0,18.0,14.0,6.0,8.0,2.0
3.0,0.0,4.0,14.0,25.0,47.0,44.0,37.0,34.0,45.0,37.0,54.0,52.0,70.0,69.0,62.0,47.0,31.0,28.0,22.0,10.0,6.0,5.0,6.0
5.0,1.0,4.0,13.0,26.0,34.0,43.0,46.0,36.0,44.0,51.0,55.0,64.0,74.0,79.0,70.0,61.0,36.0,35.0,25.0,21.0,6.0,3.0,2.0
1.0,4.0,2.0,9.0,32.0,24.0,21.0,33.0,54.0,46.0,43.0,58.0,59.0,62.0,53.0,73.0,63.0,42.0,28.0,23.0,12.0,10.0,10.0,1.0
2.0,3.0,1.0,5.0,13.0,7.0,23.0,35.0,37.0,49.0,51.0,43.0,32.0,40.0,28.0,41.0,30.0,30.0,28.0,28.0,20.0,15.0,12.0,8.0
3.0,2.0,5.0,2.0,7.0,8.0,20.0,29.0,33.0,30.0,50.0,34.0,22.0,38.0,30.0,32.0,25.0,19.0,34.0,11.0,13.0,7.0,4.0,5.0
5.0,0.0,8.0,12.0,19.0,26.0,28.0,36.0,27.0,42.0,44.0,31.0,33.0,49.0,63.0,42.0,32.0,14.0,12.0,16.0,7.0,9.0,2.0,3.0
1.0,3.0,2.0,7.0,21.0,31.0,33.0,33.0,24.0,22.0,42.0,35.0,66.0,50.0,52.0,64.0,59.0,25.0,18.0,17.0,19.0,4.0,5.0,2.0
4.0,1.0,5.0,7.0,14.0,34.0,21.0,50.0,27.0,37.0,50.0,30.0,64.0,52.0,53.0,53.0,43.0,40.0,20.0,8.0,11.0,7.0,3.0,2.0
2.0,1.0,0.0,8.0,28.0,25.0,31.0,23.0,27.0,39.0,40.0,48.0,67.0,76.0,82.0,47.0,46.0,35.0,20.0,13.0,7.0,13.0,3.0,3.0
1.0,2.0,6.0,7.0,19.0,22.0,19.0,30.0,25.0,30.0,52.0,41.0,70.0,61.0,43.0,34.0,46.0,27.0,17.0,17.0,21.0,10.0,9.0,4.0
9.0,3.0,4.0,5.0,6.0,9.0,13.0,14.0,34.0,36.0,46.0,53.0,33.0,53.0,55.0,49.0,28.0,32.0,32.0,19.0,13.0,8.0,9.0,8.0
3.0,2.0,6.0,2.0,6.0,7.0,5.0,17.0,18.0,29.0,37.0,28.0,16.0,23.0,25.0,27.0,19.0,24.0,15.0,10.0,8.0,8.0,3.0,3.0
2.0,1.0,3.0,6.0,21.0,28.0,17.0,29.0,28.0,33.0,44.0,41.0,46.0,43.0,57.0,38.0,43.0,22.0,33.0,27.0,14.0,6.0,2.0,1.0
0.0,2.0,3.0,10.0,15.0,21.0,23.0,38.0,19.0,24.0,22.0,30.0,42.0,60.0,40.0,47.0,62.0,25.0,26.0,16.0,12.0,12.0,4.0,1.0
