0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
19.0,7.0,6.0,4.0,8.0,9.0,16.0,31.0,37.0,39.0,32.0,35.0,46.0,37.0,24.0,49.0,55.0,60.0,99.0,73.0,57.0,16.0,6.0,4.0
3.0,1.0,3.0,9.0,26.0,63.0,53.0,53.0,38.0,51.0,48.0,51.0,58.0,56.0,104.0,65.0,55.0,47.0,42.0,28.0,14.0,7.0,5.0,3.0
5.0,1.0,2.0,15.0,25.0,45.0,41.0,37.0,50.0,36.0,55.0,70.0,86.0,80.0,82.0,66.0,109.0,89.0,68.0,49.0,18.0,11.0,8.0,2.0
6.0,7.0,4.0,4.0,7.0,24.0,31.0,35.0,58.0,70.0,71.0,89.0,138.0,167.0,162.0,119.0,89.0,65.0,40.0,42.0,32.0,15.0,10.0,5.0
1.0,3.0,1.0,3.0,6.0,6.0,13.0,20.0,34.0,48.0,27.0,41.0,67.0,49.0,47.0,48.0,58.0,40.0,44.0,37.0,20.0,3.0,3.0,4.0
0.0,2.0,6.0,15.0,32.0,52.0,33.0,49.0,41.0,48.0,60.0,48.0,54.0,65.0,67.0,60.0,59.0,55.0,32.0,42.0,14.0,9.0,5.0,4.0
6.0,2.0,2.0,12.0,30.0,55.0,52.0,44.0,41.0,53.0,47.0,45.0,53.0,73.0,76.0,57.0,55.0,34.0,31.0,19.0,9.0,6.0,4.0,2.0
3.0,5.0,4.0,17.0,31.0,29.0,49.0,43.0,34.0,62.0,49.0,55.0,77.0,87.0,130.0,103.0,91.0,101.0,132.0,69.0,38.0,20.0,4.0,4.0
5.0,2.0,3.0,6.0,5.0,6.0,15.0,32.0,31.0,34.0,50.0,53.0,55.0,42.0,49.0,53.0,44.0,45.0,26.0,27.0,17.0,6.0,6.0,4.0
4.0,2.0,2.0,8.0,9.0,28.0,28.0,35.0,54.0,69.0,67.0,86.0,93.0,73.0,56.0,65.0,57.0,82.0,76.0,71.0,51.0,11.0,8.0,4.0
4.0,3.0,1.0,2.0,9.0,14.0,18.0,24.0,54.0,78.0,76.0,70.0,211.0,201.0,223.0,151.0,87.0,81.0,51.0,42.0,25.0,25.0,15.0,4.0
8.0,4.0,3.0,3.0,6.0,6.0,27.0,27.0,47.0,80.0,69.0,94.0,64.0,66.0,74.0,58.0,72.0,30.0,32.0,26.0,18.0,8.0,2.0,3.0
3.0,3.0,1.0,15.0,37.0,49.0,51.0,44.0,41.0,59.0,44.0,51.0,50.0,85.0,105.0,63.0,40.0,33.0,20.0,20.0,16.0,5.0,8.0,5.0
3.0,6.0,6.0,10.0,36.0,34.0,55.0,40.0,40.0,52.0,36.0,58.0,59.0,65.0,66.0,65.0,60.0,28.0,26.0,20.0,12.0,7.0,7.0,0.0
3.0,2.0,6.0,20.0,23.0,44.0,41.0,47.0,36.0,38.0,62.0,39.0,44.0,75.0,85.0,79.0,57.0,81.0,58.0,50.0,52.0,14.0,4.0,1.0
5.0,2.0,4.0,22.0,33.0,46.0,52.0,53.0,42.0,37.0,43.0,33.0,50.0,95.0,98.0,103.0,65.0,43.0,43.0,25.0,27.0,8.0,7.0,7.0
5.0,6.0,3.0,13.0,34.0,32.0,37.0,47.0,46.0,71.0,94.0,92.0,89.0,101.0,85.0,95.0,76.0,74.0,72.0,71.0,41.0,18.0,6.0,5.0
2.0,1.0,4.0,6.0,7.0,10.0,25.0,48.0,47.0,55.0,76.0,74.0,122.0,187.0,158.0,142.0,85.0,105.0,75.0,63.0,48.0,12.0,11.0,6.0
3.0,3.0,5.0,0.0,4.0,10.0,17.0,22.0,39.0,33.0,61.0,72.0,90.0,86.0,75.0,81.0,136.0,147.0,116.0,138.0,54.0,12.0,9.0,13.0
6.0,3.0,3.0,6.0,5.0,4.0,10.0,20.0,34.0,38.0,41.0,30.0,42.0,43.0,59.0,43.0,41.0,31.0,27.0,22.0,13.0,7.0,4.0,4.0
