0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
20.0,7.0,7.0,6.0,10.0,14.0,20.0,39.0,53.0,54.0,45.0,57.0,66.0,50.0,47.0,70.0,63.0,69.0,108.0,81.0,64.0,17.0,7.0,8.0
3.0,2.0,3.0,11.0,40.0,73.0,66.0,65.0,57.0,68.0,62.0,71.0,75.0,107.0,151.0,112.0,72.0,61.0,57.0,37.0,19.0,10.0,6.0,3.0
6.0,2.0,2.0,17.0,29.0,59.0,50.0,46.0,72.0,49.0,75.0,94.0,104.0,113.0,125.0,99.0,164.0,157.0,85.0,58.0,19.0,14.0,10.0,6.0
7.0,7.0,5.0,6.0,10.0,26.0,37.0,40.0,71.0,86.0,97.0,110.0,153.0,187.0,184.0,145.0,104.0,87.0,61.0,50.0,44.0,20.0,13.0,7.0
2.0,4.0,2.0,5.0,8.0,8.0,21.0,26.0,43.0,58.0,39.0,56.0,82.0,63.0,68.0,65.0,88.0,65.0,62.0,43.0,23.0,9.0,4.0,5.0
0.0,2.0,11.0,16.0,40.0,69.0,47.0,71.0,61.0,57.0,83.0,67.0,64.0,91.0,99.0,96.0,91.0,72.0,44.0,51.0,19.0,12.0,6.0,4.0
8.0,3.0,3.0,15.0,38.0,74.0,71.0,57.0,58.0,69.0,68.0,63.0,70.0,104.0,115.0,95.0,80.0,43.0,42.0,34.0,12.0,11.0,7.0,4.0
3.0,7.0,5.0,21.0,40.0,43.0,67.0,51.0,61.0,78.0,63.0,79.0,100.0,109.0,176.0,128.0,111.0,114.0,151.0,83.0,48.0,21.0,6.0,6.0
5.0,3.0,4.0,8.0,6.0,12.0,18.0,40.0,38.0,45.0,68.0,69.0,72.0,63.0,66.0,67.0,54.0,59.0,31.0,33.0,23.0,10.0,8.0,5.0
5.0,5.0,6.0,11.0,14.0,35.0,34.0,44.0,66.0,88.0,81.0,119.0,114.0,97.0,86.0,82.0,79.0,96.0,97.0,82.0,56.0,15.0,12.0,5.0
4.0,5.0,3.0,2.0,11.0,17.0,24.0,35.0,75.0,120.0,144.0,128.0,268.0,261.0,239.0,184.0,106.0,102.0,71.0,60.0,46.0,37.0,20.0,6.0
11.0,4.0,6.0,3.0,9.0,10.0,29.0,38.0,58.0,101.0,85.0,111.0,75.0,84.0,93.0,77.0,86.0,44.0,44.0,34.0,22.0,9.0,6.0,4.0
6.0,4.0,3.0,20.0,42.0,63.0,65.0,54.0,58.0,69.0,60.0,63.0,70.0,120.0,138.0,82.0,65.0,46.0,35.0,23.0,22.0,8.0,11.0,6.0
6.0,7.0,6.0,12.0,45.0,54.0,74.0,50.0,50.0,61.0,49.0,71.0,73.0,103.0,104.0,98.0,91.0,50.0,38.0,39.0,15.0,7.0,8.0,3.0
7.0,3.0,9.0,24.0,29.0,55.0,57.0,61.0,44.0,55.0,87.0,50.0,66.0,104.0,122.0,125.0,93.0,101.0,74.0,64.0,56.0,16.0,8.0,1.0
8.0,3.0,7.0,25.0,44.0,54.0,64.0,64.0,58.0,55.0,71.0,60.0,73.0,122.0,152.0,147.0,90.0,64.0,55.0,37.0,33.0,10.0,10.0,7.0
6.0,8.0,6.0,19.0,41.0,42.0,46.0,69.0,68.0,83.0,118.0,119.0,122.0,141.0,126.0,137.0,127.0,115.0,136.0,99.0,74.0,38.0,10.0,7.0
3.0,3.0,4.0,11.0,8.0,11.0,32.0,59.0,64.0,70.0,106.0,97.0,144.0,211.0,183.0,161.0,107.0,110.0,89.0,73.0,61.0,19.0,13.0,10.0
6.0,4.0,6.0,0.0,7.0,13.0,24.0,38.0,41.0,47.0,71.0,91.0,132.0,211.0,129.0,136.0,154.0,154.0,128.0,151.0,63.0,15.0,11.0,16.0
9.0,4.0,3.0,6.0,8.0,6.0,17.0,25.0,38.0,49.0,49.0,41.0,50.0,52.0,76.0,60.0,54.0,43.0,34.0,27.0,19.0,11.0,7.0,6.0
