0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
26.0,7.0,7.0,6.0,10.0,15.0,24.0,43.0,65.0,63.0,58.0,71.0,80.0,60.0,57.0,74.0,76.0,79.0,113.0,86.0,65.0,17.0,9.0,8.0
4.0,3.0,3.0,13.0,47.0,89.0,86.0,70.0,73.0,73.0,78.0,80.0,93.0,130.0,179.0,138.0,95.0,72.0,67.0,42.0,22.0,14.0,9.0,3.0
9.0,3.0,2.0,20.0,38.0,69.0,68.0,59.0,91.0,69.0,96.0,115.0,126.0,132.0,163.0,123.0,177.0,169.0,93.0,65.0,33.0,19.0,12.0,7.0
10.0,9.0,7.0,11.0,10.0,29.0,48.0,55.0,88.0,106.0,118.0,135.0,195.0,203.0,208.0,193.0,153.0,127.0,102.0,92.0,66.0,46.0,21.0,10.0
9.0,4.0,4.0,7.0,9.0,12.0,25.0,33.0,57.0,70.0,58.0,81.0,97.0,75.0,97.0,94.0,131.0,80.0,78.0,47.0,25.0,16.0,4.0,5.0
1.0,2.0,13.0,19.0,47.0,88.0,76.0,87.0,78.0,75.0,103.0,84.0,97.0,118.0,116.0,113.0,106.0,85.0,50.0,55.0,23.0,15.0,7.0,5.0
9.0,5.0,5.0,16.0,45.0,85.0,93.0,76.0,78.0,80.0,78.0,74.0,87.0,128.0,142.0,118.0,104.0,58.0,51.0,38.0,15.0,13.0,7.0,4.0
3.0,8.0,8.0,25.0,48.0,56.0,92.0,67.0,73.0,100.0,84.0,104.0,126.0,152.0,215.0,169.0,147.0,134.0,159.0,92.0,54.0,23.0,9.0,8.0
8.0,3.0,5.0,10.0,8.0,14.0,23.0,44.0,51.0,57.0,85.0,87.0,94.0,104.0,90.0,94.0,73.0,83.0,44.0,44.0,32.0,16.0,10.0,5.0
7.0,6.0,8.0,14.0,17.0,38.0,49.0,62.0,93.0,104.0,101.0,144.0,136.0,120.0,102.0,99.0,105.0,110.0,110.0,86.0,70.0,19.0,16.0,5.0
