0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
20.0,7.0,6.0,5.0,9.0,13.0,20.0,36.0,43.0,52.0,41.0,47.0,60.0,46.0,36.0,61.0,62.0,66.0,105.0,78.0,59.0,17.0,6.0,7.0
3.0,1.0,3.0,9.0,35.0,69.0,62.0,59.0,48.0,59.0,54.0,64.0,65.0,89.0,125.0,93.0,65.0,57.0,53.0,34.0,15.0,10.0,5.0,3.0
6.0,2.0,2.0,17.0,26.0,54.0,47.0,46.0,60.0,45.0,65.0,84.0,94.0,104.0,117.0,84.0,119.0,98.0,69.0,55.0,19.0,12.0,9.0,4.0
7.0,7.0,5.0,6.0,9.0,25.0,35.0,39.0,63.0,84.0,86.0,98.0,147.0,177.0,176.0,135.0,100.0,80.0,55.0,48.0,38.0,19.0,12.0,6.0
2.0,3.0,2.0,3.0,7.0,7.0,17.0,25.0,38.0,50.0,35.0,47.0,79.0,52.0,57.0,57.0,84.0,61.0,58.0,41.0,21.0,6.0,3.0,5.0
0.0,2.0,9.0,16.0,34.0,63.0,36.0,60.0,56.0,50.0,75.0,54.0,59.0,86.0,89.0,89.0,80.0,65.0,42.0,49.0,16.0,10.0,6.0,4.0
6.0,2.0,3.0,14.0,34.0,62.0,62.0,49.0,46.0,60.0,59.0,53.0,64.0,90.0,100.0,80.0,74.0,42.0,37.0,27.0,11.0,8.0,5.0,4.0
3.0,6.0,4.0,21.0,36.0,36.0,61.0,45.0,43.0,68.0,59.0,72.0,89.0,96.0,157.0,116.0,108.0,111.0,140.0,78.0,46.0,21.0,5.0,6.0
5.0,3.0,3.0,7.0,5.0,10.0,16.0,39.0,36.0,41.0,61.0,61.0,69.0,57.0,62.0,58.0,49.0,57.0,29.0,30.0,21.0,10.0,8.0,5.0
5.0,3.0,5.0,8.0,13.0,33.0,33.0,40.0,61.0,81.0,74.0,111.0,106.0,86.0,74.0,76.0,72.0,91.0,90.0,75.0,54.0,11.0,11.0,4.0
