0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
9.0,2.0,2.0,2.0,5.0,8.0,12.0,25.0,30.0,26.0,22.0,24.0,35.0,30.0,18.0,42.0,39.0,33.0,55.0,33.0,16.0,7.0,3.0,2.0
1.0,1.0,2.0,5.0,20.0,54.0,42.0,43.0,35.0,40.0,41.0,40.0,44.0,49.0,82.0,50.0,47.0,40.0,38.0,24.0,12.0,5.0,3.0,2.0
3.0,1.0,1.0,11.0,21.0,29.0,30.0,30.0,41.0,29.0,48.0,59.0,64.0,69.0,72.0,54.0,92.0,78.0,66.0,41.0,14.0,11.0,5.0,1.0
6.0,4.0,3.0,3.0,7.0,18.0,27.0,28.0,44.0,49.0,45.0,58.0,81.0,69.0,59.0,57.0,60.0,50.0,32.0,30.0,26.0,12.0,7.0,2.0
0.0,3.0,0.0,3.0,3.0,5.0,11.0,10.0,29.0,36.0,22.0,28.0,54.0,43.0,38.0,39.0,53.0,21.0,24.0,12.0,13.0,2.0,2.0,3.0
0.0,0.0,6.0,15.0,27.0,42.0,26.0,37.0,33.0,42.0,50.0,34.0,39.0,54.0,51.0,52.0,49.0,27.0,23.0,21.0,10.0,8.0,3.0,3.0
5.0,1.0,1.0,12.0,20.0,44.0,39.0,38.0,34.0,45.0,37.0,39.0,41.0,54.0,61.0,39.0,44.0,27.0,25.0,15.0,6.0,4.0,4.0,1.0
2.0,5.0,3.0,16.0,28.0,24.0,37.0,35.0,23.0,50.0,41.0,43.0,66.0,64.0,102.0,88.0,77.0,94.0,127.0,62.0,36.0,16.0,2.0,3.0
5.0,1.0,3.0,6.0,4.0,5.0,14.0,22.0,25.0,28.0,33.0,39.0,37.0,40.0,41.0,45.0,40.0,41.0,19.0,26.0,15.0,5.0,5.0,4.0
3.0,0.0,2.0,8.0,5.0,23.0,24.0,31.0,36.0,54.0,48.0,72.0,77.0,63.0,48.0,58.0,44.0,52.0,57.0,56.0,45.0,8.0,7.0,3.0
3.0,2.0,1.0,1.0,7.0,12.0,14.0,21.0,47.0,61.0,63.0,60.0,197.0,191.0,213.0,142.0,76.0,72.0,44.0,38.0,25.0,23.0,12.0,3.0
6.0,2.0,3.0,3.0,5.0,5.0,21.0,24.0,38.0,73.0,59.0,79.0,60.0,59.0,66.0,49.0,62.0,27.0,27.0,24.0,18.0,7.0,2.0,3.0
3.0,3.0,0.0,12.0,35.0,41.0,43.0,35.0,34.0,50.0,32.0,41.0,43.0,73.0,84.0,58.0,38.0,24.0,19.0,17.0,15.0,4.0,8.0,5.0
2.0,5.0,4.0,10.0,31.0,24.0,47.0,31.0,31.0,45.0,30.0,44.0,47.0,53.0,52.0,57.0,42.0,24.0,22.0,17.0,11.0,7.0,7.0,0.0
