0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
26.0,7.0,8.0,6.0,11.0,15.0,24.0,50.0,75.0,68.0,64.0,74.0,90.0,71.0,67.0,81.0,93.0,88.0,123.0,94.0,68.0,17.0,9.0,8.0
5.0,3.0,3.0,17.0,52.0,101.0,93.0,77.0,84.0,82.0,88.0,97.0,113.0,143.0,192.0,156.0,108.0,87.0,76.0,50.0,32.0,15.0,9.0,4.0
10.0,4.0,2.0,23.0,39.0,70.0,80.0,70.0,97.0,81.0,102.0,131.0,134.0,156.0,175.0,134.0,185.0,182.0,104.0,73.0,42.0,21.0,12.0,10.0
13.0,9.0,10.0,11.0,12.0,34.0,51.0,65.0,100.0,123.0,126.0,170.0,267.0,275.0,258.0,255.0,182.0,170.0,131.0,118.0,87.0,54.0,24.0,12.0
11.0,4.0,6.0,9.0,11.0,14.0,30.0,38.0,69.0,77.0,64.0,92.0,105.0,83.0,117.0,104.0,141.0,86.0,79.0,48.0,30.0,16.0,7.0,7.0
2.0,2.0,13.0,22.0,49.0,95.0,85.0,93.0,87.0,81.0,107.0,94.0,113.0,126.0,131.0,124.0,115.0,92.0,61.0,61.0,25.0,17.0,8.0,6.0
11.0,6.0,8.0,21.0,50.0,103.0,108.0,85.0,88.0,89.0,89.0,89.0,100.0,143.0,156.0,134.0,122.0,67.0,59.0,45.0,16.0,14.0,7.0,4.0
4.0,8.0,8.0,28.0,51.0,65.0,109.0,75.0,80.0,106.0,94.0,115.0,138.0,168.0,247.0,199.0,175.0,152.0,180.0,107.0,62.0,31.0,12.0,8.0
11.0,5.0,7.0,12.0,11.0,16.0,32.0,49.0,62.0,64.0,91.0,98.0,108.0,120.0,100.0,124.0,83.0,88.0,49.0,47.0,35.0,18.0,10.0,6.0
8.0,6.0,9.0,17.0,18.0,44.0,56.0,71.0,102.0,115.0,115.0,156.0,153.0,140.0,117.0,117.0,121.0,130.0,138.0,95.0,83.0,20.0,16.0,5.0
9.0,7.0,6.0,9.0,13.0,23.0,34.0,59.0,99.0,156.0,185.0,176.0,311.0,318.0,290.0,240.0,157.0,156.0,121.0,115.0,73.0,50.0,28.0,12.0
18.0,6.0,7.0,6.0,14.0,11.0,34.0,53.0,78.0,129.0,109.0,145.0,105.0,121.0,151.0,115.0,124.0,69.0,63.0,54.0,32.0,13.0,7.0,5.0
7.0,5.0,7.0,29.0,58.0,86.0,104.0,98.0,88.0,100.0,83.0,91.0,96.0,153.0,184.0,121.0,99.0,66.0,70.0,53.0,31.0,15.0,13.0,7.0
7.0,8.0,10.0,16.0,56.0,83.0,118.0,78.0,83.0,81.0,79.0,98.0,111.0,143.0,148.0,142.0,111.0,68.0,56.0,46.0,26.0,12.0,11.0,6.0
