0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
26.0,7.0,8.0,6.0,11.0,15.0,24.0,47.0,71.0,64.0,61.0,72.0,85.0,67.0,65.0,77.0,91.0,85.0,123.0,89.0,67.0,17.0,9.0,8.0
5.0,3.0,3.0,16.0,50.0,95.0,91.0,71.0,81.0,78.0,83.0,87.0,104.0,135.0,183.0,148.0,102.0,84.0,74.0,48.0,31.0,15.0,9.0,4.0
9.0,4.0,2.0,23.0,39.0,69.0,77.0,64.0,92.0,76.0,100.0,120.0,131.0,140.0,170.0,128.0,183.0,179.0,101.0,71.0,37.0,21.0,12.0,7.0
10.0,9.0,9.0,11.0,11.0,31.0,49.0,61.0,95.0,113.0,124.0,164.0,254.0,263.0,253.0,249.0,179.0,167.0,129.0,116.0,83.0,54.0,22.0,11.0
10.0,4.0,6.0,7.0,10.0,13.0,27.0,36.0,63.0,75.0,62.0,85.0,103.0,80.0,109.0,101.0,138.0,84.0,79.0,48.0,28.0,16.0,4.0,5.0
1.0,2.0,13.0,21.0,47.0,92.0,81.0,91.0,81.0,81.0,106.0,89.0,101.0,124.0,126.0,117.0,112.0,90.0,55.0,60.0,24.0,15.0,7.0,5.0
9.0,5.0,8.0,19.0,47.0,95.0,104.0,82.0,80.0,84.0,84.0,79.0,93.0,139.0,150.0,127.0,116.0,61.0,57.0,42.0,15.0,13.0,7.0,4.0
4.0,8.0,8.0,28.0,49.0,62.0,99.0,68.0,76.0,103.0,92.0,109.0,136.0,162.0,230.0,185.0,167.0,151.0,177.0,104.0,62.0,28.0,9.0,8.0
8.0,4.0,7.0,12.0,9.0,14.0,30.0,48.0,53.0,61.0,90.0,95.0,102.0,116.0,97.0,116.0,80.0,87.0,47.0,47.0,34.0,17.0,10.0,6.0
8.0,6.0,9.0,17.0,17.0,41.0,52.0,65.0,100.0,109.0,112.0,150.0,148.0,130.0,112.0,111.0,115.0,126.0,132.0,92.0,81.0,19.0,16.0,5.0
9.0,6.0,5.0,8.0,13.0,21.0,33.0,53.0,92.0,149.0,176.0,168.0,303.0,312.0,283.0,234.0,153.0,154.0,117.0,112.0,70.0,47.0,26.0,11.0
17.0,5.0,7.0,5.0,14.0,11.0,33.0,52.0,78.0,124.0,101.0,138.0,99.0,112.0,126.0,100.0,108.0,59.0,57.0,51.0,29.0,13.0,7.0,5.0
7.0,4.0,7.0,26.0,54.0,83.0,96.0,93.0,86.0,94.0,79.0,88.0,93.0,149.0,171.0,116.0,90.0,57.0,58.0,45.0,26.0,14.0,12.0,6.0
6.0,7.0,9.0,16.0,54.0,78.0,112.0,76.0,78.0,76.0,72.0,93.0,106.0,135.0,142.0,137.0,109.0,65.0,48.0,44.0,24.0,10.0,11.0,6.0
9.0,8.0,11.0,35.0,37.0,78.0,91.0,86.0,68.0,75.0,112.0,69.0,84.0,134.0,165.0,156.0,120.0,121.0,86.0,72.0,60.0,20.0,10.0,2.0
10.0,5.0,8.0,36.0,64.0,88.0,99.0,82.0,81.0,76.0,84.0,82.0,105.0,154.0,206.0,206.0,127.0,83.0,67.0,47.0,38.0,14.0,13.0,7.0
8.0,8.0,7.0,25.0,54.0,53.0,68.0,103.0,90.0,117.0,156.0,182.0,160.0,181.0,165.0,177.0,161.0,138.0,162.0,106.0,85.0,43.0,12.0,9.0
4.0,5.0,6.0,12.0,10.0,18.0,45.0,71.0,78.0,99.0,157.0,142.0,218.0,304.0,324.0,336.0,264.0,136.0,124.0,110.0,74.0,32.0,19.0,13.0
9.0,4.0,7.0,1.0,12.0,17.0,29.0,50.0,59.0,62.0,86.0,108.0,152.0,234.0,152.0,156.0,181.0,198.0,197.0,181.0,102.0,22.0,17.0,19.0
11.0,5.0,4.0,7.0,12.0,11.0,27.0,37.0,46.0,66.0,68.0,61.0,75.0,81.0,105.0,79.0,76.0,71.0,63.0,47.0,22.0,14.0,9.0,7.0
8.0,3.0,5.0,30.0,51.0,68.0,102.0,108.0,75.0,85.0,98.0,110.0,129.0,120.0,181.0,193.0,308.0,824.0,833.0,695.0,735.0,24.0,15.0,2.0
9.0,4.0,6.0,20.0,61.0,80.0,77.0,64.0,63.0,78.0,92.0,84.0,86.0,162.0,189.0,147.0,77.0,55.0,45.0,30.0,22.0,13.0,8.0,2.0
5.0,6.0,9.0,24.0,51.0,92.0,81.0,94.0,83.0,78.0,89.0,82.0,111.0,154.0,168.0,163.0,113.0,86.0,55.0,57.0,19.0,11.0,7.0,6.0
5.0,4.0,1.0,20.0,37.0,57.0,89.0,71.0,71.0,94.0,102.0,133.0,122.0,156.0,158.0,127.0,119.0,94.0,106.0,79.0,80.0,21.0,13.0,11.0
8.0,6.0,8.0,10.0,12.0,18.0,49.0,71.0,83.0,87.0,128.0,149.0,140.0,136.0,141.0,143.0,161.0,164.0,109.0,98.0,87.0,27.0,28.0,12.0
22.0,8.0,11.0,7.0,8.0,10.0,16.0,50.0,57.0,81.0,106.0,73.0,63.0,65.0,69.0,87.0,72.0,59.0,46.0,38.0,23.0,6.0,7.0,3.0
8.0,3.0,7.0,28.0,54.0,77.0,92.0,92.0,69.0,62.0,88.0,64.0,92.0,120.0,125.0,104.0,97.0,112.0,214.0,155.0,94.0,28.0,12.0,6.0
10.0,6.0,8.0,25.0,54.0,85.0,112.0,71.0,56.0,62.0,93.0,83.0,107.0,122.0,178.0,129.0,106.0,59.0,47.0,41.0,21.0,15.0,9.0,2.0
7.0,4.0,7.0,28.0,37.0,80.0,81.0,86.0,79.0,79.0,82.0,87.0,128.0,157.0,203.0,189.0,117.0,92.0,69.0,49.0,48.0,25.0,14.0,9.0
10.0,5.0,8.0,16.0,40.0,48.0,52.0,66.0,55.0,65.0,94.0,89.0,74.0,127.0,126.0,109.0,97.0,114.0,82.0,54.0,47.0,16.0,4.0,3.0
8.0,3.0,8.0,15.0,40.0,52.0,77.0,76.0,94.0,145.0,112.0,117.0,161.0,171.0,169.0,116.0,115.0,107.0,81.0,94.0,63.0,42.0,11.0,8.0
16.0,8.0,3.0,9.0,14.0,17.0,42.0,66.0,93.0,113.0,149.0,169.0,183.0,133.0,172.0,181.0,180.0,140.0,122.0,65.0,49.0,64.0,48.0,28.0
18.0,9.0,3.0,10.0,6.0,15.0,20.0,32.0,61.0,76.0,97.0,94.0,123.0,140.0,121.0,108.0,98.0,90.0,82.0,57.0,29.0,8.0,9.0,7.0
10.0,4.0,10.0,21.0,44.0,86.0,94.0,74.0,74.0,69.0,69.0,88.0,106.0,131.0,148.0,144.0,87.0,49.0,62.0,36.0,29.0,20.0,9.0,8.0
7.0,6.0,7.0,31.0,54.0,89.0,103.0,83.0,59.0,79.0,98.0,83.0,69.0,115.0,148.0,144.0,119.0,102.0,68.0,58.0,36.0,14.0,12.0,3.0
9.0,7.0,4.0,30.0,40.0,80.0,84.0,77.0,70.0,75.0,59.0,86.0,124.0,121.0,139.0,146.0,113.0,99.0,57.0,47.0,25.0,23.0,8.0,6.0
11.0,5.0,8.0,25.0,46.0,75.0,91.0,90.0,78.0,71.0,88.0,77.0,107.0,144.0,176.0,125.0,96.0,92.0,55.0,49.0,33.0,17.0,5.0,2.0
9.0,10.0,9.0,19.0,43.0,50.0,77.0,95.0,68.0,74.0,119.0,108.0,148.0,121.0,140.0,110.0,88.0,76.0,62.0,38.0,43.0,29.0,20.0,10.0
9.0,8.0,7.0,12.0,3.0,31.0,39.0,74.0,96.0,135.0,126.0,134.0,169.0,132.0,107.0,106.0,133.0,123.0,75.0,42.0,59.0,33.0,33.0,12.0
9.0,7.0,7.0,11.0,12.0,14.0,23.0,43.0,59.0,71.0,83.0,101.0,113.0,121.0,122.0,130.0,99.0,69.0,37.0,34.0,29.0,15.0,14.0,8.0
5.0,6.0,6.0,25.0,48.0,83.0,94.0,82.0,67.0,71.0,65.0,95.0,97.0,133.0,160.0,114.0,92.0,55.0,41.0,30.0,19.0,14.0,10.0,3.0
6.0,6.0,8.0,27.0,44.0,91.0,95.0,87.0,66.0,80.0,87.0,89.0,102.0,127.0,143.0,163.0,101.0,64.0,54.0,47.0,39.0,26.0,5.0,5.0
8.0,2.0,8.0,22.0,55.0,85.0,109.0,75.0,78.0,80.0,93.0,64.0,124.0,109.0,157.0,129.0,80.0,77.0,48.0,51.0,33.0,22.0,10.0,6.0
