0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
18.0,10.0,5.0,7.0,11.0,27.0,31.0,70.0,105.0,105.0,79.0,139.0,144.0,102.0,80.0,112.0,132.0,127.0,86.0,68.0,53.0,35.0,17.0,7.0
14.0,7.0,10.0,31.0,96.0,122.0,159.0,158.0,209.0,141.0,205.0,225.0,229.0,283.0,344.0,281.0,271.0,136.0,90.0,42.0,47.0,17.0,7.0,5.0
6.0,1.0,8.0,47.0,58.0,107.0,183.0,185.0,150.0,179.0,262.0,245.0,292.0,323.0,286.0,239.0,244.0,123.0,102.0,80.0,40.0,34.0,20.0,5.0
13.0,7.0,12.0,6.0,21.0,25.0,52.0,104.0,107.0,158.0,205.0,247.0,193.0,225.0,258.0,331.0,327.0,250.0,129.0,258.0,84.0,73.0,38.0,22.0
17.0,10.0,6.0,8.0,8.0,25.0,34.0,61.0,104.0,153.0,124.0,134.0,195.0,115.0,166.0,159.0,149.0,94.0,78.0,34.0,36.0,15.0,11.0,7.0
10.0,1.0,11.0,50.0,73.0,129.0,221.0,163.0,110.0,174.0,173.0,193.0,284.0,333.0,353.0,284.0,196.0,107.0,73.0,51.0,23.0,13.0,8.0,6.0
8.0,1.0,6.0,47.0,95.0,176.0,152.0,176.0,192.0,194.0,214.0,168.0,242.0,302.0,364.0,289.0,222.0,225.0,85.0,52.0,27.0,19.0,18.0,3.0
5.0,2.0,7.0,41.0,91.0,114.0,150.0,187.0,137.0,176.0,322.0,295.0,329.0,359.0,481.0,377.0,272.0,135.0,176.0,75.0,32.0,38.0,13.0,3.0
12.0,6.0,14.0,9.0,7.0,13.0,30.0,84.0,85.0,136.0,135.0,123.0,105.0,83.0,100.0,96.0,107.0,93.0,77.0,46.0,28.0,27.0,6.0,6.0
9.0,5.0,7.0,19.0,25.0,36.0,78.0,119.0,159.0,191.0,248.0,179.0,187.0,190.0,220.0,135.0,188.0,106.0,81.0,33.0,41.0,30.0,25.0,5.0
11.0,4.0,4.0,18.0,12.0,41.0,48.0,73.0,128.0,169.0,243.0,226.0,199.0,164.0,165.0,103.0,156.0,126.0,120.0,50.0,49.0,26.0,17.0,10.0
15.0,7.0,8.0,6.0,5.0,11.0,31.0,67.0,84.0,95.0,159.0,147.0,105.0,148.0,133.0,218.0,238.0,140.0,93.0,59.0,28.0,20.0,7.0,2.0
3.0,4.0,8.0,81.0,94.0,172.0,208.0,185.0,207.0,145.0,167.0,160.0,227.0,292.0,303.0,181.0,136.0,84.0,76.0,62.0,46.0,21.0,10.0,3.0
3.0,3.0,7.0,49.0,102.0,188.0,189.0,209.0,152.0,136.0,182.0,184.0,234.0,336.0,300.0,248.0,182.0,128.0,88.0,51.0,34.0,35.0,8.0,6.0
2.0,2.0,16.0,67.0,122.0,155.0,193.0,196.0,191.0,146.0,198.0,182.0,214.0,386.0,309.0,269.0,237.0,136.0,89.0,78.0,41.0,21.0,16.0,5.0
2.0,2.0,10.0,49.0,92.0,151.0,199.0,237.0,255.0,159.0,216.0,150.0,342.0,443.0,462.0,277.0,233.0,168.0,84.0,83.0,60.0,15.0,6.0,7.0
4.0,3.0,11.0,44.0,82.0,133.0,126.0,143.0,165.0,242.0,266.0,328.0,359.0,456.0,319.0,251.0,274.0,163.0,105.0,63.0,74.0,31.0,13.0,16.0
11.0,11.0,8.0,13.0,12.0,48.0,53.0,168.0,153.0,177.0,226.0,299.0,232.0,182.0,175.0,194.0,169.0,108.0,77.0,58.0,60.0,54.0,28.0,10.0
15.0,10.0,8.0,4.0,11.0,18.0,25.0,74.0,82.0,96.0,102.0,105.0,150.0,199.0,164.0,131.0,139.0,103.0,82.0,65.0,61.0,19.0,20.0,20.0
10.0,5.0,7.0,7.0,8.0,8.0,20.0,56.0,52.0,75.0,126.0,112.0,156.0,154.0,145.0,142.0,126.0,108.0,98.0,47.0,19.0,13.0,10.0,2.0
2.0,1.0,6.0,44.0,94.0,174.0,248.0,208.0,179.0,207.0,202.0,182.0,289.0,353.0,293.0,277.0,318.0,98.0,58.0,37.0,18.0,14.0,8.0,5.0
6.0,8.0,10.0,40.0,101.0,190.0,194.0,146.0,141.0,163.0,200.0,210.0,256.0,284.0,366.0,260.0,265.0,146.0,88.0,33.0,35.0,22.0,8.0,11.0
11.0,3.0,7.0,49.0,91.0,140.0,167.0,151.0,138.0,173.0,187.0,218.0,184.0,343.0,326.0,260.0,191.0,113.0,77.0,57.0,83.0,30.0,17.0,4.0
2.0,1.0,9.0,44.0,86.0,125.0,177.0,137.0,145.0,184.0,250.0,218.0,269.0,317.0,249.0,194.0,197.0,159.0,148.0,110.0,67.0,47.0,24.0,21.0
10.0,6.0,11.0,16.0,18.0,42.0,57.0,77.0,138.0,165.0,211.0,235.0,280.0,222.0,186.0,200.0,166.0,184.0,116.0,91.0,143.0,65.0,40.0,15.0
20.0,4.0,7.0,5.0,8.0,19.0,32.0,37.0,80.0,107.0,122.0,120.0,107.0,115.0,121.0,124.0,136.0,122.0,70.0,61.0,42.0,29.0,9.0,2.0
11.0,4.0,7.0,72.0,144.0,165.0,261.0,171.0,149.0,160.0,267.0,176.0,160.0,282.0,338.0,238.0,145.0,98.0,81.0,52.0,30.0,14.0,3.0,1.0
5.0,4.0,2.0,47.0,145.0,185.0,196.0,227.0,170.0,182.0,216.0,233.0,213.0,274.0,262.0,299.0,153.0,84.0,78.0,48.0,27.0,17.0,4.0,3.0
