0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
34.0,15.0,10.0,9.0,8.0,12.0,23.0,52.0,72.0,78.0,92.0,100.0,102.0,88.0,77.0,116.0,125.0,131.0,144.0,129.0,112.0,37.0,18.0,5.0
6.0,2.0,7.0,37.0,81.0,194.0,165.0,127.0,137.0,132.0,141.0,137.0,176.0,193.0,298.0,203.0,117.0,73.0,67.0,45.0,21.0,10.0,5.0,3.0
5.0,2.0,4.0,29.0,79.0,131.0,107.0,89.0,88.0,119.0,171.0,164.0,255.0,227.0,207.0,195.0,226.0,191.0,147.0,66.0,32.0,29.0,9.0,4.0
7.0,2.0,5.0,7.0,10.0,34.0,41.0,96.0,133.0,151.0,182.0,255.0,382.0,532.0,466.0,319.0,195.0,97.0,70.0,56.0,51.0,38.0,16.0,7.0
7.0,4.0,0.0,5.0,10.0,11.0,17.0,53.0,60.0,113.0,94.0,128.0,152.0,122.0,98.0,100.0,98.0,77.0,79.0,41.0,17.0,6.0,5.0,2.0
3.0,3.0,7.0,36.0,77.0,135.0,98.0,140.0,103.0,97.0,126.0,141.0,116.0,197.0,242.0,200.0,120.0,109.0,45.0,67.0,15.0,12.0,5.0,3.0
10.0,6.0,4.0,24.0,73.0,152.0,178.0,140.0,118.0,128.0,157.0,122.0,117.0,246.0,261.0,182.0,148.0,80.0,44.0,25.0,22.0,17.0,4.0,1.0
4.0,5.0,7.0,38.0,64.0,123.0,169.0,94.0,106.0,123.0,140.0,142.0,239.0,262.0,458.0,351.0,289.0,143.0,125.0,68.0,54.0,41.0,8.0,4.0
7.0,5.0,4.0,10.0,17.0,9.0,38.0,62.0,68.0,85.0,146.0,137.0,145.0,115.0,127.0,162.0,109.0,115.0,63.0,44.0,32.0,18.0,7.0,7.0
4.0,4.0,3.0,26.0,30.0,43.0,71.0,89.0,167.0,183.0,240.0,212.0,219.0,204.0,143.0,215.0,160.0,191.0,151.0,115.0,130.0,25.0,21.0,15.0
8.0,8.0,2.0,4.0,15.0,30.0,39.0,55.0,128.0,199.0,223.0,182.0,169.0,181.0,240.0,212.0,247.0,197.0,111.0,100.0,80.0,102.0,23.0,7.0
11.0,6.0,7.0,7.0,12.0,10.0,34.0,49.0,116.0,229.0,207.0,336.0,216.0,250.0,214.0,171.0,152.0,97.0,70.0,52.0,19.0,14.0,7.0,6.0
6.0,4.0,11.0,57.0,93.0,143.0,132.0,127.0,99.0,146.0,84.0,112.0,132.0,217.0,285.0,206.0,101.0,59.0,35.0,20.0,16.0,11.0,3.0,4.0
5.0,3.0,9.0,29.0,97.0,140.0,174.0,120.0,90.0,119.0,106.0,143.0,156.0,206.0,208.0,213.0,130.0,55.0,37.0,38.0,14.0,6.0,5.0,3.0
9.0,4.0,5.0,45.0,83.0,124.0,125.0,131.0,109.0,99.0,128.0,126.0,124.0,202.0,272.0,197.0,134.0,66.0,56.0,27.0,9.0,13.0,4.0,0.0
6.0,3.0,7.0,62.0,80.0,142.0,125.0,138.0,97.0,89.0,118.0,89.0,110.0,324.0,287.0,298.0,144.0,110.0,59.0,34.0,24.0,16.0,6.0,4.0
7.0,2.0,14.0,25.0,66.0,117.0,97.0,133.0,116.0,246.0,255.0,311.0,261.0,264.0,272.0,259.0,209.0,147.0,122.0,103.0,78.0,26.0,10.0,8.0
14.0,2.0,8.0,17.0,12.0,29.0,62.0,130.0,113.0,146.0,201.0,239.0,355.0,482.0,364.0,347.0,211.0,176.0,82.0,89.0,56.0,24.0,17.0,6.0
7.0,5.0,2.0,3.0,6.0,10.0,25.0,52.0,86.0,79.0,97.0,177.0,193.0,204.0,211.0,171.0,300.0,222.0,136.0,107.0,52.0,14.0,16.0,8.0
11.0,1.0,2.0,7.0,5.0,11.0,15.0,42.0,54.0,63.0,135.0,86.0,102.0,95.0,105.0,101.0,76.0,62.0,74.0,40.0,20.0,7.0,3.0,3.0
4.0,4.0,3.0,41.0,67.0,163.0,157.0,135.0,83.0,118.0,151.0,172.0,189.0,192.0,267.0,205.0,109.0,60.0,44.0,18.0,25.0,9.0,4.0,4.0
5.0,4.0,8.0,23.0,92.0,131.0,99.0,94.0,100.0,101.0,154.0,112.0,128.0,181.0,258.0,207.0,99.0,38.0,35.0,24.0,17.0,9.0,5.0,3.0
5.0,3.0,13.0,27.0,60.0,141.0,114.0,101.0,98.0,106.0,148.0,139.0,136.0,218.0,240.0,274.0,204.0,88.0,50.0,37.0,16.0,20.0,3.0,4.0
4.0,2.0,4.0,27.0,61.0,103.0,111.0,78.0,99.0,136.0,175.0,254.0,262.0,295.0,212.0,167.0,170.0,106.0,49.0,37.0,32.0,21.0,15.0,2.0
5.0,5.0,4.0,11.0,3.0,26.0,58.0,80.0,118.0,148.0,211.0,235.0,314.0,231.0,232.0,232.0,256.0,239.0,148.0,95.0,54.0,45.0,27.0,13.0
16.0,5.0,5.0,4.0,16.0,17.0,37.0,64.0,71.0,113.0,154.0,67.0,137.0,110.0,133.0,100.0,95.0,63.0,34.0,24.0,13.0,9.0,4.0,3.0
10.0,2.0,9.0,53.0,115.0,148.0,161.0,107.0,72.0,106.0,93.0,108.0,132.0,230.0,246.0,172.0,116.0,74.0,39.0,26.0,19.0,11.0,3.0,2.0
4.0,9.0,10.0,41.0,98.0,218.0,180.0,112.0,66.0,74.0,104.0,118.0,112.0,217.0,226.0,208.0,127.0,44.0,25.0,24.0,14.0,6.0,4.0,4.0
5.0,4.0,10.0,43.0,82.0,148.0,162.0,97.0,103.0,108.0,138.0,134.0,216.0,256.0,322.0,281.0,187.0,117.0,48.0,50.0,55.0,16.0,9.0,4.0
8.0,4.0,7.0,38.0,81.0,113.0,116.0,130.0,102.0,94.0,151.0,188.0,171.0,297.0,295.0,248.0,166.0,90.0,53.0,27.0,23.0,16.0,3.0,3.0
