0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
41.0,15.0,15.0,13.0,14.0,23.0,41.0,80.0,112.0,117.0,146.0,162.0,185.0,146.0,149.0,159.0,163.0,162.0,161.0,154.0,119.0,40.0,20.0,9.0
7.0,4.0,10.0,46.0,113.0,255.0,225.0,180.0,214.0,173.0,209.0,204.0,256.0,392.0,472.0,383.0,192.0,112.0,129.0,65.0,30.0,14.0,7.0,3.0
6.0,3.0,4.0,38.0,97.0,183.0,137.0,136.0,138.0,197.0,254.0,256.0,364.0,361.0,380.0,348.0,411.0,373.0,224.0,97.0,36.0,36.0,13.0,8.0
9.0,2.0,8.0,11.0,15.0,39.0,63.0,130.0,182.0,226.0,302.0,368.0,430.0,591.0,545.0,417.0,262.0,149.0,112.0,76.0,70.0,47.0,27.0,10.0
11.0,10.0,1.0,9.0,13.0,20.0,29.0,71.0,80.0,141.0,158.0,180.0,230.0,161.0,153.0,149.0,188.0,142.0,116.0,58.0,25.0,9.0,9.0,5.0
5.0,3.0,14.0,45.0,112.0,202.0,186.0,214.0,176.0,146.0,198.0,216.0,181.0,306.0,381.0,344.0,233.0,142.0,87.0,91.0,25.0,23.0,5.0,4.0
13.0,8.0,10.0,31.0,97.0,236.0,250.0,184.0,176.0,187.0,215.0,173.0,220.0,357.0,435.0,310.0,246.0,118.0,72.0,66.0,33.0,23.0,8.0,3.0
5.0,8.0,11.0,49.0,94.0,195.0,241.0,144.0,175.0,194.0,224.0,239.0,356.0,381.0,679.0,465.0,393.0,191.0,168.0,89.0,68.0,45.0,11.0,6.0
10.0,7.0,6.0,13.0,22.0,22.0,42.0,79.0,108.0,121.0,205.0,205.0,201.0,170.0,160.0,206.0,146.0,154.0,88.0,59.0,40.0,23.0,13.0,11.0
6.0,9.0,7.0,30.0,46.0,74.0,102.0,140.0,231.0,250.0,326.0,331.0,301.0,303.0,289.0,328.0,234.0,257.0,208.0,131.0,140.0,29.0,28.0,19.0
10.0,12.0,12.0,6.0,22.0,36.0,58.0,102.0,206.0,383.0,532.0,384.0,383.0,358.0,333.0,315.0,334.0,258.0,154.0,142.0,113.0,122.0,34.0,8.0
16.0,8.0,14.0,8.0,16.0,18.0,52.0,76.0,145.0,291.0,275.0,419.0,285.0,317.0,262.0,253.0,207.0,145.0,109.0,69.0,27.0,23.0,8.0,8.0
9.0,6.0,14.0,72.0,122.0,218.0,197.0,183.0,146.0,180.0,145.0,180.0,218.0,354.0,398.0,285.0,184.0,101.0,74.0,35.0,29.0,17.0,10.0,5.0
9.0,5.0,9.0,42.0,145.0,249.0,252.0,165.0,127.0,159.0,170.0,201.0,209.0,332.0,367.0,354.0,235.0,141.0,65.0,96.0,19.0,8.0,10.0,8.0
13.0,9.0,11.0,62.0,117.0,197.0,188.0,182.0,166.0,151.0,222.0,177.0,203.0,339.0,426.0,367.0,292.0,127.0,109.0,52.0,17.0,15.0,9.0,1.0
9.0,5.0,12.0,71.0,120.0,191.0,182.0,178.0,152.0,159.0,200.0,173.0,234.0,466.0,579.0,523.0,250.0,202.0,100.0,58.0,38.0,20.0,9.0,6.0
8.0,7.0,24.0,40.0,102.0,181.0,127.0,210.0,191.0,320.0,371.0,423.0,390.0,422.0,433.0,437.0,401.0,328.0,304.0,173.0,195.0,105.0,32.0,12.0
20.0,7.0,8.0,24.0,15.0,42.0,92.0,174.0,187.0,225.0,297.0,330.0,447.0,564.0,423.0,407.0,283.0,204.0,116.0,118.0,78.0,38.0,24.0,14.0
14.0,7.0,6.0,6.0,15.0,17.0,37.0,85.0,97.0,130.0,133.0,250.0,343.0,540.0,340.0,345.0,355.0,249.0,176.0,137.0,73.0,23.0,21.0,12.0
16.0,2.0,3.0,8.0,10.0,18.0,27.0,59.0,80.0,93.0,163.0,127.0,142.0,146.0,143.0,157.0,110.0,95.0,97.0,57.0,34.0,14.0,7.0,5.0
8.0,8.0,9.0,53.0,93.0,210.0,233.0,195.0,144.0,171.0,201.0,241.0,288.0,281.0,442.0,386.0,686.0,1600.0,1310.0,997.0,1066.0,34.0,28.0,6.0
7.0,4.0,14.0,29.0,128.0,198.0,179.0,150.0,150.0,160.0,217.0,179.0,213.0,306.0,411.0,324.0,170.0,79.0,71.0,53.0,24.0,13.0,7.0,4.0
8.0,7.0,17.0,35.0,98.0,237.0,194.0,155.0,151.0,177.0,214.0,200.0,225.0,372.0,415.0,412.0,344.0,162.0,103.0,62.0,23.0,25.0,5.0,11.0
7.0,5.0,6.0,32.0,90.0,160.0,175.0,127.0,167.0,251.0,266.0,333.0,380.0,412.0,347.0,248.0,296.0,163.0,72.0,61.0,40.0,30.0,25.0,3.0
11.0,5.0,14.0,15.0,10.0,40.0,78.0,128.0,166.0,204.0,317.0,357.0,385.0,307.0,287.0,312.0,335.0,275.0,196.0,115.0,65.0,54.0,32.0,20.0
21.0,8.0,12.0,6.0,21.0,21.0,44.0,92.0,103.0,156.0,205.0,117.0,179.0,151.0,191.0,156.0,128.0,99.0,55.0,35.0,23.0,15.0,4.0,4.0
16.0,5.0,11.0,63.0,151.0,208.0,213.0,170.0,121.0,158.0,174.0,162.0,211.0,331.0,367.0,313.0,219.0,230.0,314.0,238.0,104.0,46.0,17.0,7.0
