0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
51.0,16.0,17.0,15.0,17.0,31.0,58.0,110.0,164.0,152.0,191.0,223.0,246.0,186.0,188.0,187.0,200.0,191.0,184.0,173.0,125.0,47.0,23.0,11.0
9.0,7.0,10.0,55.0,144.0,311.0,327.0,214.0,275.0,211.0,256.0,271.0,341.0,510.0,577.0,502.0,260.0,153.0,150.0,83.0,39.0,22.0,10.0,5.0
11.0,5.0,6.0,54.0,121.0,235.0,211.0,188.0,227.0,269.0,336.0,369.0,479.0,470.0,552.0,444.0,481.0,422.0,248.0,119.0,66.0,45.0,17.0,9.0
14.0,4.0,13.0,15.0,15.0,51.0,97.0,183.0,248.0,305.0,392.0,497.0,563.0,663.0,651.0,622.0,394.0,237.0,201.0,157.0,123.0,103.0,44.0,15.0
21.0,12.0,4.0,12.0,15.0,26.0,44.0,102.0,126.0,181.0,240.0,280.0,304.0,229.0,258.0,285.0,294.0,206.0,149.0,77.0,39.0,19.0,12.0,8.0
7.0,3.0,18.0,71.0,137.0,275.0,324.0,289.0,235.0,210.0,266.0,274.0,294.0,423.0,489.0,437.0,291.0,185.0,102.0,107.0,38.0,27.0,10.0,7.0
14.0,10.0,13.0,49.0,131.0,284.0,341.0,235.0,223.0,250.0,267.0,243.0,310.0,471.0,573.0,394.0,328.0,156.0,102.0,81.0,42.0,31.0,15.0,4.0
9.0,11.0,15.0,64.0,126.0,260.0,350.0,213.0,229.0,268.0,280.0,330.0,475.0,538.0,908.0,643.0,581.0,261.0,219.0,111.0,89.0,60.0,16.0,10.0
14.0,8.0,6.0,17.0,27.0,31.0,68.0,112.0,178.0,185.0,262.0,295.0,281.0,282.0,241.0,290.0,225.0,224.0,121.0,93.0,51.0,34.0,20.0,14.0
9.0,14.0,11.0,39.0,56.0,97.0,153.0,222.0,310.0,313.0,409.0,420.0,377.0,440.0,343.0,406.0,321.0,299.0,258.0,151.0,161.0,48.0,33.0,24.0
20.0,13.0,15.0,12.0,27.0,44.0,86.0,162.0,257.0,466.0,611.0,488.0,500.0,490.0,420.0,438.0,452.0,364.0,228.0,204.0,142.0,141.0,47.0,19.0
25.0,11.0,15.0,10.0,22.0,24.0,67.0,98.0,200.0,365.0,347.0,503.0,372.0,399.0,366.0,327.0,283.0,173.0,142.0,101.0,40.0,30.0,10.0,9.0
13.0,6.0,22.0,93.0,154.0,287.0,291.0,295.0,228.0,254.0,207.0,246.0,280.0,449.0,503.0,394.0,255.0,140.0,117.0,72.0,41.0,25.0,19.0,5.0
10.0,8.0,13.0,57.0,171.0,321.0,362.0,240.0,191.0,235.0,233.0,253.0,296.0,440.0,504.0,496.0,294.0,165.0,82.0,104.0,29.0,14.0,15.0,9.0
17.0,14.0,15.0,75.0,150.0,272.0,293.0,258.0,214.0,197.0,287.0,236.0,269.0,427.0,580.0,461.0,383.0,173.0,130.0,65.0,28.0,20.0,16.0,2.0
12.0,7.0,13.0,83.0,168.0,284.0,310.0,232.0,205.0,214.0,245.0,238.0,339.0,599.0,763.0,708.0,395.0,261.0,126.0,83.0,48.0,30.0,14.0,7.0
12.0,9.0,28.0,53.0,135.0,252.0,224.0,296.0,266.0,426.0,531.0,635.0,563.0,624.0,613.0,597.0,506.0,393.0,367.0,189.0,212.0,117.0,37.0,16.0
23.0,12.0,12.0,29.0,21.0,60.0,126.0,228.0,248.0,318.0,462.0,439.0,601.0,688.0,531.0,504.0,347.0,279.0,178.0,179.0,100.0,48.0,35.0,20.0
19.0,10.0,11.0,12.0,23.0,22.0,49.0,105.0,123.0,172.0,175.0,302.0,406.0,601.0,398.0,405.0,416.0,332.0,279.0,182.0,128.0,44.0,24.0,17.0
19.0,2.0,5.0,10.0,14.0,25.0,40.0,84.0,102.0,149.0,227.0,229.0,232.0,236.0,229.0,227.0,176.0,184.0,156.0,79.0,49.0,21.0,7.0,6.0
11.0,11.0,13.0,73.0,147.0,254.0,345.0,291.0,227.0,237.0,259.0,329.0,441.0,421.0,626.0,559.0,798.0,1636.0,1336.0,1012.0,1077.0,42.0,33.0,9.0
11.0,6.0,18.0,39.0,165.0,279.0,296.0,218.0,196.0,227.0,273.0,250.0,285.0,451.0,584.0,420.0,231.0,115.0,104.0,78.0,34.0,19.0,10.0,5.0
12.0,8.0,20.0,63.0,140.0,300.0,291.0,241.0,212.0,251.0,280.0,268.0,310.0,497.0,567.0,552.0,400.0,194.0,121.0,85.0,33.0,32.0,13.0,14.0
9.0,5.0,8.0,55.0,114.0,202.0,268.0,198.0,266.0,324.0,364.0,447.0,493.0,544.0,487.0,397.0,405.0,272.0,227.0,170.0,114.0,50.0,33.0,7.0
19.0,6.0,18.0,17.0,22.0,48.0,96.0,166.0,224.0,272.0,385.0,480.0,466.0,419.0,392.0,393.0,440.0,423.0,260.0,179.0,173.0,77.0,44.0,25.0
26.0,11.0,15.0,9.0,25.0,25.0,55.0,123.0,145.0,209.0,313.0,185.0,246.0,215.0,248.0,213.0,176.0,169.0,86.0,63.0,35.0,17.0,5.0,7.0
17.0,6.0,14.0,82.0,180.0,265.0,307.0,253.0,168.0,217.0,234.0,205.0,277.0,454.0,453.0,390.0,284.0,298.0,369.0,263.0,113.0,53.0,20.0,8.0
13.0,15.0,13.0,71.0,188.0,359.0,333.0,244.0,152.0,154.0,234.0,255.0,278.0,442.0,503.0,527.0,342.0,130.0,98.0,82.0,37.0,16.0,11.0,6.0
11.0,7.0,19.0,79.0,138.0,281.0,302.0,261.0,222.0,240.0,291.0,291.0,485.0,555.0,801.0,631.0,446.0,234.0,150.0,91.0,90.0,32.0,21.0,9.0
18.0,9.0,12.0,51.0,92.0,134.0,142.0,202.0,196.0,210.0,274.0,284.0,265.0,378.0,363.0,350.0,288.0,232.0,148.0,83.0,74.0,26.0,8.0,6.0
15.0,4.0,12.0,52.0,85.0,165.0,192.0,256.0,330.0,475.0,466.0,386.0,526.0,527.0,568.0,432.0,295.0,211.0,145.0,98.0,76.0,40.0,17.0,21.0
28.0,15.0,10.0,13.0,27.0,38.0,95.0,169.0,272.0,353.0,509.0,607.0,596.0,465.0,513.0,531.0,484.0,366.0,321.0,168.0,111.0,202.0,132.0,35.0
34.0,9.0,9.0,16.0,14.0,24.0,45.0,71.0,159.0,229.0,309.0,292.0,355.0,432.0,354.0,308.0,267.0,216.0,141.0,71.0,38.0,18.0,6.0,11.0
12.0,5.0,10.0,54.0,157.0,283.0,283.0,221.0,179.0,204.0,252.0,237.0,315.0,404.0,532.0,426.0,244.0,130.0,117.0,45.0,49.0,29.0,9.0,9.0
11.0,10.0,17.0,85.0,154.0,294.0,323.0,244.0,187.0,216.0,261.0,205.0,258.0,420.0,542.0,437.0,291.0,139.0,86.0,44.0,63.0,19.0,18.0,5.0
11.0,11.0,10.0,59.0,132.0,314.0,397.0,254.0,172.0,217.0,233.0,303.0,351.0,493.0,443.0,492.0,283.0,203.0,115.0,62.0,41.0,28.0,16.0,9.0
13.0,9.0,17.0,62.0,134.0,248.0,265.0,208.0,182.0,217.0,253.0,227.0,341.0,455.0,548.0,444.0,287.0,173.0,93.0,74.0,59.0,24.0,13.0,4.0
9.0,9.0,22.0,62.0,122.0,163.0,246.0,267.0,214.0,240.0,383.0,439.0,366.0,436.0,486.0,334.0,285.0,155.0,157.0,102.0,84.0,45.0,24.0,16.0
11.0,12.0,10.0,19.0,16.0,59.0,103.0,216.0,272.0,428.0,426.0,452.0,472.0,414.0,291.0,261.0,322.0,258.0,133.0,103.0,108.0,73.0,54.0,27.0
15.0,16.0,8.0,21.0,16.0,34.0,72.0,113.0,181.0,236.0,250.0,300.0,342.0,317.0,260.0,290.0,221.0,154.0,78.0,73.0,45.0,19.0,17.0,11.0
14.0,9.0,14.0,87.0,146.0,269.0,334.0,241.0,180.0,256.0,212.0,276.0,316.0,466.0,525.0,395.0,217.0,116.0,66.0,51.0,28.0,20.0,14.0,5.0
