0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
38.0,15.0,10.0,10.0,12.0,21.0,38.0,73.0,93.0,108.0,130.0,137.0,152.0,122.0,109.0,137.0,150.0,153.0,158.0,149.0,116.0,38.0,19.0,8.0
6.0,2.0,8.0,42.0,101.0,218.0,197.0,153.0,169.0,156.0,172.0,173.0,207.0,318.0,379.0,316.0,159.0,101.0,118.0,55.0,24.0,13.0,6.0,3.0
6.0,3.0,4.0,34.0,86.0,148.0,121.0,115.0,108.0,166.0,212.0,223.0,303.0,327.0,333.0,281.0,254.0,236.0,162.0,88.0,36.0,31.0,12.0,6.0
8.0,2.0,6.0,9.0,13.0,36.0,58.0,115.0,154.0,204.0,267.0,301.0,411.0,563.0,517.0,382.0,236.0,126.0,94.0,66.0,60.0,45.0,20.0,8.0
8.0,7.0,1.0,5.0,10.0,15.0,23.0,59.0,65.0,121.0,135.0,159.0,205.0,133.0,116.0,129.0,167.0,133.0,107.0,51.0,20.0,9.0,8.0,4.0
4.0,3.0,10.0,40.0,88.0,170.0,137.0,167.0,148.0,115.0,170.0,170.0,143.0,265.0,313.0,280.0,202.0,126.0,79.0,85.0,18.0,17.0,5.0,4.0
11.0,6.0,5.0,29.0,81.0,183.0,202.0,158.0,147.0,156.0,194.0,149.0,166.0,301.0,372.0,259.0,222.0,105.0,64.0,55.0,27.0,18.0,7.0,2.0
4.0,6.0,8.0,44.0,72.0,150.0,193.0,112.0,139.0,161.0,200.0,206.0,306.0,314.0,593.0,418.0,368.0,178.0,147.0,82.0,64.0,43.0,9.0,6.0
8.0,7.0,4.0,11.0,21.0,16.0,39.0,73.0,92.0,108.0,179.0,180.0,186.0,156.0,145.0,178.0,124.0,141.0,77.0,55.0,36.0,22.0,11.0,9.0
6.0,5.0,6.0,27.0,37.0,60.0,91.0,122.0,202.0,226.0,283.0,293.0,261.0,254.0,237.0,280.0,209.0,235.0,188.0,124.0,134.0,26.0,24.0,16.0
9.0,9.0,2.0,4.0,19.0,32.0,50.0,84.0,181.0,354.0,487.0,336.0,316.0,335.0,301.0,259.0,288.0,227.0,125.0,119.0,90.0,107.0,26.0,7.0
13.0,6.0,8.0,7.0,13.0,13.0,42.0,59.0,129.0,250.0,237.0,373.0,245.0,281.0,235.0,216.0,189.0,128.0,97.0,59.0,24.0,18.0,7.0,8.0
9.0,4.0,13.0,64.0,105.0,182.0,146.0,142.0,120.0,158.0,116.0,148.0,191.0,279.0,368.0,244.0,154.0,92.0,66.0,31.0,21.0,15.0,8.0,5.0
9.0,4.0,9.0,37.0,125.0,194.0,216.0,145.0,109.0,139.0,140.0,172.0,193.0,269.0,280.0,295.0,200.0,125.0,55.0,90.0,18.0,7.0,9.0,6.0
13.0,4.0,8.0,51.0,101.0,163.0,153.0,153.0,141.0,133.0,183.0,153.0,170.0,282.0,351.0,309.0,251.0,106.0,103.0,47.0,13.0,13.0,6.0,1.0
8.0,4.0,10.0,67.0,113.0,169.0,158.0,156.0,119.0,124.0,177.0,126.0,188.0,430.0,502.0,458.0,221.0,195.0,89.0,50.0,34.0,18.0,7.0,5.0
8.0,5.0,19.0,37.0,84.0,147.0,113.0,187.0,166.0,282.0,326.0,367.0,338.0,383.0,391.0,375.0,367.0,303.0,285.0,166.0,189.0,99.0,28.0,12.0
