0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
6.0,3.0,2.0,4.0,5.0,5.0,16.0,36.0,50.0,51.0,57.0,54.0,70.0,50.0,56.0,71.0,61.0,33.0,28.0,15.0,12.0,3.0,5.0,2.0
0.0,1.0,3.0,18.0,63.0,147.0,113.0,101.0,106.0,102.0,113.0,70.0,109.0,151.0,216.0,136.0,80.0,58.0,51.0,40.0,16.0,7.0,3.0,2.0
2.0,1.0,4.0,18.0,63.0,86.0,67.0,65.0,60.0,76.0,141.0,119.0,173.0,163.0,159.0,126.0,178.0,168.0,132.0,51.0,26.0,25.0,4.0,4.0
4.0,0.0,3.0,6.0,9.0,23.0,34.0,66.0,85.0,77.0,91.0,124.0,130.0,147.0,131.0,123.0,83.0,63.0,36.0,28.0,34.0,30.0,12.0,4.0
3.0,3.0,0.0,5.0,3.0,9.0,14.0,25.0,43.0,78.0,58.0,76.0,109.0,93.0,66.0,60.0,70.0,24.0,31.0,14.0,10.0,4.0,4.0,1.0
0.0,3.0,6.0,32.0,61.0,99.0,68.0,100.0,81.0,74.0,93.0,82.0,73.0,149.0,143.0,148.0,89.0,41.0,27.0,30.0,11.0,11.0,3.0,3.0
8.0,5.0,2.0,20.0,49.0,102.0,110.0,105.0,76.0,90.0,110.0,93.0,80.0,159.0,181.0,110.0,106.0,57.0,26.0,20.0,12.0,13.0,4.0,0.0
1.0,5.0,5.0,34.0,51.0,83.0,119.0,58.0,74.0,89.0,95.0,102.0,183.0,174.0,331.0,273.0,240.0,112.0,106.0,52.0,49.0,35.0,5.0,2.0
5.0,4.0,4.0,7.0,17.0,7.0,30.0,44.0,54.0,59.0,91.0,92.0,94.0,102.0,96.0,142.0,95.0,92.0,41.0,36.0,29.0,15.0,6.0,6.0
2.0,2.0,2.0,22.0,21.0,33.0,48.0,69.0,91.0,118.0,154.0,152.0,138.0,157.0,106.0,183.0,99.0,134.0,107.0,92.0,111.0,22.0,13.0,10.0
7.0,5.0,1.0,3.0,13.0,24.0,25.0,39.0,97.0,155.0,166.0,150.0,132.0,140.0,202.0,169.0,212.0,172.0,99.0,90.0,76.0,92.0,17.0,6.0
7.0,5.0,7.0,6.0,11.0,9.0,27.0,38.0,101.0,204.0,177.0,298.0,181.0,228.0,186.0,142.0,126.0,88.0,56.0,45.0,18.0,11.0,7.0,5.0
4.0,3.0,5.0,46.0,84.0,105.0,95.0,82.0,71.0,122.0,52.0,71.0,85.0,182.0,189.0,159.0,76.0,40.0,25.0,16.0,13.0,8.0,3.0,4.0
4.0,2.0,7.0,23.0,74.0,86.0,134.0,79.0,63.0,95.0,76.0,102.0,92.0,151.0,149.0,145.0,72.0,43.0,22.0,25.0,10.0,5.0,4.0,3.0
6.0,3.0,5.0,37.0,63.0,89.0,90.0,100.0,86.0,68.0,93.0,69.0,98.0,153.0,190.0,115.0,90.0,50.0,37.0,17.0,6.0,8.0,3.0,0.0
3.0,1.0,5.0,53.0,62.0,104.0,98.0,93.0,72.0,66.0,69.0,66.0,79.0,263.0,217.0,219.0,122.0,79.0,42.0,28.0,16.0,13.0,5.0,3.0
3.0,1.0,14.0,20.0,53.0,74.0,79.0,99.0,86.0,216.0,220.0,243.0,197.0,189.0,173.0,192.0,147.0,116.0,107.0,89.0,60.0,21.0,7.0,6.0
9.0,1.0,6.0,11.0,12.0,22.0,38.0,92.0,78.0,105.0,127.0,115.0,112.0,83.0,92.0,117.0,134.0,136.0,55.0,69.0,42.0,19.0,10.0,4.0
4.0,4.0,2.0,3.0,4.0,6.0,17.0,39.0,61.0,61.0,70.0,151.0,156.0,167.0,178.0,160.0,139.0,42.0,28.0,18.0,11.0,10.0,8.0,4.0
5.0,0.0,2.0,4.0,4.0,6.0,9.0,18.0,40.0,52.0,91.0,55.0,78.0,61.0,77.0,81.0,49.0,44.0,31.0,29.0,14.0,4.0,2.0,2.0
3.0,3.0,3.0,35.0,52.0,132.0,132.0,101.0,65.0,78.0,114.0,128.0,148.0,159.0,205.0,170.0,75.0,38.0,30.0,9.0,15.0,4.0,4.0,2.0
4.0,2.0,7.0,20.0,68.0,84.0,73.0,40.0,62.0,66.0,97.0,89.0,104.0,140.0,174.0,162.0,75.0,27.0,24.0,16.0,13.0,7.0,5.0,2.0
4.0,2.0,9.0,25.0,47.0,102.0,96.0,63.0,59.0,69.0,107.0,93.0,101.0,146.0,135.0,210.0,154.0,63.0,34.0,13.0,11.0,15.0,3.0,1.0
3.0,2.0,3.0,21.0,48.0,64.0,60.0,60.0,64.0,82.0,117.0,157.0,160.0,195.0,144.0,119.0,110.0,77.0,34.0,24.0,27.0,15.0,12.0,2.0
3.0,4.0,2.0,9.0,1.0,13.0,35.0,52.0,77.0,97.0,124.0,177.0,252.0,190.0,183.0,183.0,227.0,219.0,124.0,83.0,48.0,37.0,20.0,8.0
8.0,4.0,3.0,4.0,11.0,12.0,27.0,47.0,42.0,73.0,120.0,44.0,91.0,74.0,112.0,65.0,68.0,49.0,25.0,19.0,10.0,8.0,2.0,3.0
6.0,1.0,7.0,52.0,100.0,95.0,131.0,73.0,59.0,87.0,67.0,78.0,95.0,159.0,166.0,131.0,84.0,54.0,23.0,22.0,13.0,10.0,3.0,2.0
2.0,7.0,8.0,37.0,78.0,162.0,139.0,84.0,53.0,55.0,68.0,92.0,87.0,167.0,161.0,146.0,89.0,33.0,17.0,11.0,12.0,1.0,3.0,3.0
4.0,3.0,8.0,38.0,63.0,112.0,123.0,65.0,85.0,64.0,81.0,93.0,159.0,181.0,232.0,215.0,124.0,89.0,36.0,29.0,43.0,10.0,7.0,4.0
