0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
46.0,16.0,16.0,14.0,15.0,25.0,45.0,94.0,152.0,135.0,174.0,208.0,228.0,172.0,175.0,178.0,188.0,186.0,178.0,168.0,124.0,44.0,21.0,10.0
9.0,6.0,10.0,53.0,139.0,299.0,303.0,207.0,256.0,192.0,237.0,248.0,310.0,471.0,551.0,475.0,233.0,134.0,144.0,79.0,33.0,19.0,9.0,4.0
10.0,5.0,6.0,46.0,111.0,214.0,193.0,166.0,204.0,246.0,310.0,344.0,452.0,443.0,529.0,424.0,458.0,404.0,241.0,111.0,59.0,41.0,17.0,9.0
14.0,3.0,10.0,11.0,15.0,46.0,86.0,167.0,233.0,272.0,365.0,468.0,528.0,643.0,633.0,596.0,387.0,219.0,186.0,146.0,115.0,95.0,37.0,11.0
15.0,10.0,3.0,10.0,15.0,24.0,37.0,96.0,113.0,165.0,216.0,255.0,272.0,199.0,192.0,201.0,216.0,174.0,134.0,72.0,31.0,18.0,10.0,8.0
7.0,3.0,16.0,68.0,130.0,246.0,272.0,255.0,217.0,175.0,243.0,259.0,270.0,389.0,450.0,406.0,275.0,163.0,95.0,102.0,32.0,27.0,6.0,5.0
14.0,10.0,13.0,44.0,113.0,266.0,310.0,214.0,198.0,227.0,247.0,213.0,288.0,439.0,539.0,355.0,309.0,137.0,89.0,76.0,38.0,27.0,13.0,4.0
9.0,8.0,15.0,63.0,123.0,233.0,311.0,183.0,209.0,241.0,261.0,300.0,446.0,504.0,872.0,587.0,542.0,242.0,207.0,104.0,80.0,52.0,13.0,9.0
12.0,7.0,6.0,15.0,25.0,26.0,60.0,99.0,164.0,168.0,243.0,280.0,271.0,268.0,232.0,268.0,206.0,192.0,107.0,80.0,48.0,28.0,18.0,11.0
8.0,13.0,10.0,38.0,53.0,89.0,125.0,197.0,283.0,288.0,381.0,391.0,362.0,404.0,324.0,383.0,298.0,284.0,248.0,142.0,151.0,38.0,32.0,23.0
18.0,12.0,14.0,10.0,24.0,41.0,73.0,134.0,240.0,440.0,595.0,452.0,482.0,470.0,403.0,405.0,431.0,334.0,220.0,195.0,134.0,136.0,43.0,19.0
24.0,10.0,15.0,8.0,20.0,23.0,58.0,92.0,173.0,349.0,332.0,483.0,342.0,388.0,340.0,301.0,266.0,165.0,129.0,90.0,34.0,26.0,10.0,9.0
12.0,6.0,21.0,87.0,145.0,265.0,267.0,250.0,194.0,235.0,182.0,223.0,261.0,423.0,468.0,340.0,235.0,131.0,116.0,59.0,37.0,20.0,18.0,5.0
9.0,7.0,12.0,55.0,166.0,308.0,334.0,203.0,166.0,220.0,217.0,236.0,280.0,415.0,477.0,451.0,274.0,150.0,77.0,100.0,24.0,13.0,14.0,9.0
16.0,12.0,15.0,75.0,138.0,251.0,263.0,227.0,200.0,183.0,270.0,218.0,246.0,411.0,544.0,433.0,340.0,160.0,116.0,57.0,23.0,17.0,12.0,2.0
11.0,7.0,13.0,79.0,163.0,263.0,271.0,207.0,181.0,184.0,229.0,221.0,312.0,576.0,725.0,647.0,373.0,249.0,111.0,77.0,43.0,27.0,11.0,7.0
11.0,9.0,27.0,52.0,126.0,226.0,183.0,273.0,239.0,388.0,482.0,573.0,512.0,581.0,571.0,555.0,475.0,375.0,357.0,182.0,203.0,112.0,35.0,16.0
22.0,10.0,11.0,24.0,18.0,47.0,118.0,214.0,225.0,293.0,423.0,388.0,513.0,618.0,476.0,447.0,308.0,260.0,163.0,171.0,95.0,44.0,32.0,17.0
15.0,8.0,10.0,7.0,19.0,19.0,42.0,95.0,116.0,162.0,159.0,279.0,394.0,586.0,388.0,391.0,409.0,316.0,268.0,174.0,124.0,38.0,22.0,16.0
18.0,2.0,4.0,9.0,13.0,22.0,35.0,72.0,94.0,130.0,207.0,204.0,211.0,210.0,194.0,199.0,149.0,123.0,135.0,67.0,38.0,18.0,7.0,5.0
11.0,11.0,13.0,68.0,125.0,234.0,318.0,249.0,196.0,213.0,229.0,308.0,406.0,383.0,567.0,523.0,772.0,1629.0,1330.0,1007.0,1073.0,39.0,31.0,8.0
