0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
27.0,11.0,6.0,9.0,19.0,37.0,50.0,101.0,143.0,142.0,107.0,174.0,175.0,149.0,114.0,177.0,194.0,197.0,166.0,109.0,77.0,41.0,17.0,9.0
17.0,9.0,12.0,48.0,129.0,173.0,230.0,223.0,268.0,212.0,290.0,299.0,322.0,380.0,469.0,390.0,353.0,187.0,150.0,75.0,65.0,23.0,16.0,9.0
7.0,3.0,9.0,61.0,90.0,164.0,230.0,273.0,226.0,257.0,332.0,356.0,404.0,472.0,424.0,313.0,388.0,202.0,163.0,123.0,62.0,40.0,27.0,7.0
18.0,11.0,15.0,14.0,30.0,48.0,95.0,149.0,228.0,273.0,327.0,356.0,342.0,310.0,369.0,418.0,434.0,338.0,183.0,302.0,118.0,81.0,49.0,25.0
17.0,12.0,7.0,12.0,11.0,28.0,52.0,79.0,134.0,197.0,170.0,175.0,284.0,167.0,228.0,224.0,242.0,140.0,113.0,49.0,44.0,17.0,12.0,8.0
10.0,2.0,16.0,69.0,114.0,222.0,292.0,221.0,191.0,239.0,254.0,241.0,373.0,453.0,489.0,374.0,277.0,160.0,112.0,68.0,36.0,20.0,10.0,6.0
10.0,2.0,9.0,70.0,142.0,252.0,223.0,230.0,267.0,255.0,277.0,228.0,338.0,427.0,495.0,401.0,307.0,270.0,117.0,71.0,38.0,21.0,21.0,5.0
8.0,4.0,13.0,56.0,139.0,181.0,205.0,239.0,185.0,247.0,406.0,371.0,499.0,496.0,665.0,528.0,374.0,286.0,321.0,143.0,57.0,58.0,18.0,7.0
17.0,6.0,17.0,14.0,10.0,18.0,44.0,116.0,119.0,173.0,164.0,165.0,134.0,144.0,133.0,138.0,143.0,125.0,112.0,61.0,39.0,35.0,10.0,14.0
11.0,7.0,9.0,30.0,38.0,66.0,103.0,184.0,232.0,277.0,333.0,294.0,310.0,297.0,347.0,222.0,284.0,182.0,126.0,74.0,56.0,42.0,28.0,6.0
11.0,6.0,5.0,23.0,18.0,48.0,76.0,130.0,203.0,265.0,338.0,362.0,786.0,620.0,622.0,351.0,271.0,178.0,152.0,86.0,57.0,35.0,32.0,11.0
19.0,7.0,10.0,8.0,9.0,17.0,48.0,96.0,134.0,157.0,194.0,186.0,172.0,210.0,188.0,295.0,366.0,177.0,130.0,83.0,41.0,21.0,8.0,2.0
4.0,6.0,10.0,104.0,143.0,257.0,281.0,253.0,270.0,209.0,219.0,234.0,325.0,413.0,421.0,281.0,200.0,129.0,96.0,95.0,58.0,27.0,21.0,4.0
3.0,6.0,10.0,67.0,159.0,253.0,237.0,263.0,218.0,205.0,250.0,262.0,328.0,416.0,397.0,325.0,260.0,160.0,114.0,71.0,47.0,42.0,10.0,6.0
4.0,2.0,18.0,88.0,157.0,203.0,235.0,244.0,232.0,194.0,272.0,228.0,286.0,548.0,427.0,406.0,332.0,292.0,159.0,152.0,131.0,38.0,28.0,9.0
6.0,2.0,11.0,71.0,125.0,214.0,283.0,319.0,313.0,220.0,292.0,225.0,433.0,605.0,639.0,441.0,323.0,257.0,143.0,136.0,109.0,27.0,15.0,14.0
9.0,7.0,12.0,57.0,126.0,172.0,177.0,213.0,246.0,342.0,383.0,452.0,530.0,631.0,539.0,410.0,393.0,264.0,189.0,108.0,93.0,61.0,24.0,28.0
20.0,14.0,12.0,20.0,22.0,58.0,75.0,225.0,232.0,295.0,352.0,402.0,356.0,328.0,296.0,305.0,278.0,193.0,144.0,97.0,97.0,76.0,46.0,13.0
19.0,11.0,13.0,6.0,17.0,29.0,35.0,95.0,119.0,140.0,194.0,186.0,247.0,299.0,253.0,244.0,221.0,198.0,129.0,115.0,98.0,34.0,28.0,30.0
11.0,9.0,9.0,12.0,13.0,11.0,27.0,91.0,110.0,139.0,176.0,155.0,232.0,228.0,211.0,203.0,181.0,153.0,125.0,71.0,35.0,24.0,14.0,4.0
5.0,4.0,9.0,74.0,138.0,235.0,301.0,275.0,276.0,297.0,278.0,253.0,395.0,471.0,438.0,371.0,405.0,149.0,81.0,56.0,31.0,18.0,13.0,6.0
7.0,9.0,10.0,68.0,144.0,275.0,252.0,203.0,194.0,231.0,277.0,279.0,363.0,423.0,519.0,354.0,348.0,173.0,117.0,53.0,49.0,26.0,13.0,12.0
14.0,3.0,12.0,69.0,129.0,201.0,228.0,229.0,202.0,239.0,254.0,285.0,271.0,500.0,459.0,391.0,292.0,179.0,118.0,88.0,97.0,34.0,18.0,7.0
6.0,2.0,13.0,55.0,111.0,186.0,231.0,189.0,200.0,247.0,325.0,316.0,371.0,473.0,399.0,277.0,282.0,219.0,185.0,134.0,90.0,59.0,29.0,21.0
14.0,7.0,12.0,23.0,22.0,53.0,80.0,122.0,215.0,266.0,301.0,299.0,355.0,314.0,273.0,294.0,235.0,227.0,146.0,118.0,170.0,78.0,47.0,21.0
24.0,5.0,8.0,7.0,12.0,25.0,47.0,69.0,122.0,161.0,179.0,163.0,152.0,161.0,160.0,184.0,203.0,164.0,99.0,82.0,54.0,39.0,10.0,4.0
13.0,4.0,11.0,91.0,189.0,236.0,345.0,234.0,210.0,196.0,333.0,228.0,253.0,371.0,420.0,355.0,201.0,121.0,124.0,79.0,50.0,19.0,8.0,3.0
6.0,6.0,3.0,55.0,187.0,241.0,277.0,285.0,234.0,236.0,287.0,285.0,314.0,356.0,389.0,368.0,241.0,119.0,149.0,72.0,40.0,20.0,5.0,4.0
4.0,6.0,17.0,59.0,118.0,223.0,250.0,189.0,160.0,191.0,265.0,270.0,311.0,431.0,412.0,344.0,268.0,168.0,174.0,54.0,50.0,36.0,9.0,11.0
17.0,3.0,13.0,76.0,150.0,229.0,255.0,214.0,245.0,295.0,320.0,282.0,376.0,459.0,506.0,456.0,309.0,291.0,177.0,104.0,71.0,35.0,11.0,12.0
11.0,5.0,18.0,62.0,128.0,194.0,179.0,207.0,287.0,276.0,327.0,318.0,532.0,510.0,468.0,359.0,362.0,299.0,187.0,177.0,112.0,118.0,39.0,28.0
20.0,6.0,11.0,19.0,30.0,41.0,82.0,142.0,223.0,242.0,241.0,325.0,372.0,439.0,390.0,407.0,478.0,276.0,336.0,208.0,134.0,103.0,58.0,39.0
26.0,10.0,14.0,7.0,18.0,21.0,58.0,72.0,110.0,105.0,177.0,258.0,265.0,257.0,242.0,199.0,217.0,150.0,150.0,70.0,57.0,18.0,12.0,4.0
10.0,5.0,18.0,79.0,172.0,296.0,207.0,217.0,188.0,210.0,229.0,202.0,301.0,447.0,446.0,359.0,382.0,149.0,123.0,71.0,49.0,23.0,9.0,8.0
6.0,7.0,16.0,114.0,175.0,251.0,333.0,231.0,220.0,244.0,281.0,228.0,267.0,445.0,529.0,357.0,311.0,232.0,117.0,102.0,56.0,27.0,15.0,9.0
8.0,4.0,19.0,113.0,168.0,250.0,187.0,193.0,208.0,211.0,279.0,229.0,395.0,400.0,515.0,472.0,311.0,202.0,110.0,84.0,54.0,35.0,8.0,7.0
12.0,2.0,7.0,92.0,232.0,239.0,263.0,271.0,206.0,214.0,252.0,268.0,353.0,479.0,592.0,491.0,386.0,278.0,146.0,142.0,82.0,36.0,24.0,8.0
10.0,7.0,18.0,67.0,118.0,171.0,234.0,275.0,188.0,211.0,368.0,376.0,443.0,415.0,398.0,354.0,254.0,258.0,112.0,94.0,104.0,49.0,38.0,11.0
17.0,7.0,9.0,19.0,32.0,35.0,89.0,180.0,228.0,252.0,275.0,287.0,249.0,237.0,241.0,256.0,226.0,219.0,198.0,150.0,138.0,97.0,28.0,16.0
22.0,3.0,9.0,12.0,23.0,23.0,48.0,97.0,105.0,171.0,187.0,211.0,184.0,177.0,209.0,249.0,231.0,153.0,108.0,77.0,44.0,28.0,18.0,8.0
