0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
52.0,16.0,19.0,16.0,20.0,32.0,64.0,140.0,195.0,181.0,217.0,244.0,275.0,217.0,221.0,228.0,247.0,227.0,205.0,190.0,141.0,47.0,24.0,11.0
12.0,8.0,10.0,60.0,155.0,353.0,365.0,251.0,321.0,240.0,296.0,320.0,405.0,578.0,643.0,580.0,312.0,193.0,177.0,96.0,65.0,28.0,10.0,7.0
12.0,6.0,7.0,59.0,130.0,253.0,244.0,217.0,250.0,304.0,381.0,416.0,522.0,547.0,617.0,493.0,516.0,456.0,275.0,133.0,92.0,51.0,20.0,12.0
20.0,4.0,18.0,15.0,21.0,58.0,114.0,205.0,279.0,381.0,431.0,592.0,837.0,829.0,785.0,809.0,509.0,360.0,248.0,192.0,167.0,123.0,60.0,19.0
27.0,12.0,8.0,13.0,17.0,30.0,58.0,112.0,150.0,206.0,268.0,316.0,334.0,262.0,318.0,320.0,321.0,221.0,159.0,81.0,52.0,22.0,17.0,9.0
10.0,3.0,21.0,83.0,153.0,321.0,369.0,317.0,263.0,241.0,301.0,299.0,334.0,474.0,569.0,484.0,331.0,207.0,124.0,118.0,44.0,32.0,13.0,8.0
18.0,13.0,18.0,60.0,150.0,350.0,413.0,256.0,253.0,274.0,296.0,279.0,344.0,528.0,637.0,477.0,391.0,178.0,125.0,98.0,48.0,33.0,18.0,4.0
10.0,11.0,20.0,71.0,138.0,314.0,407.0,238.0,249.0,292.0,320.0,384.0,521.0,602.0,1060.0,813.0,699.0,306.0,256.0,138.0,110.0,71.0,22.0,13.0
20.0,10.0,11.0,22.0,31.0,38.0,85.0,126.0,222.0,210.0,295.0,349.0,315.0,331.0,299.0,347.0,251.0,256.0,142.0,102.0,65.0,41.0,20.0,16.0
11.0,16.0,14.0,44.0,63.0,112.0,172.0,265.0,353.0,365.0,466.0,472.0,435.0,519.0,395.0,473.0,397.0,374.0,298.0,180.0,188.0,52.0,34.0,24.0
24.0,14.0,22.0,20.0,31.0,51.0,103.0,192.0,297.0,517.0,691.0,554.0,558.0,538.0,499.0,525.0,514.0,422.0,275.0,246.0,177.0,157.0,51.0,26.0
30.0,15.0,15.0,15.0,27.0,31.0,71.0,115.0,227.0,402.0,387.0,548.0,414.0,474.0,468.0,427.0,363.0,238.0,180.0,129.0,56.0,31.0,11.0,10.0
15.0,7.0,22.0,103.0,181.0,336.0,363.0,336.0,247.0,280.0,241.0,278.0,313.0,497.0,597.0,465.0,288.0,164.0,138.0,87.0,49.0,29.0,21.0,5.0
11.0,8.0,15.0,62.0,186.0,379.0,440.0,294.0,230.0,257.0,274.0,297.0,345.0,495.0,580.0,583.0,330.0,194.0,110.0,119.0,42.0,16.0,15.0,9.0
20.0,16.0,18.0,87.0,172.0,330.0,352.0,340.0,265.0,233.0,353.0,268.0,322.0,476.0,658.0,557.0,458.0,212.0,149.0,79.0,39.0,21.0,16.0,2.0
13.0,9.0,14.0,94.0,191.0,341.0,355.0,293.0,246.0,258.0,292.0,288.0,394.0,684.0,894.0,801.0,510.0,300.0,141.0,100.0,55.0,32.0,19.0,8.0
12.0,10.0,29.0,60.0,161.0,275.0,283.0,337.0,299.0,453.0,566.0,701.0,636.0,698.0,671.0,649.0,561.0,420.0,395.0,203.0,219.0,122.0,38.0,18.0
27.0,13.0,16.0,32.0,26.0,72.0,154.0,247.0,298.0,390.0,582.0,561.0,748.0,895.0,838.0,804.0,615.0,309.0,214.0,193.0,110.0,60.0,40.0,25.0
21.0,14.0,14.0,14.0,29.0,29.0,59.0,115.0,151.0,212.0,202.0,325.0,444.0,634.0,438.0,434.0,442.0,348.0,298.0,193.0,139.0,49.0,29.0,17.0
21.0,5.0,7.0,13.0,20.0,29.0,50.0,94.0,117.0,175.0,256.0,253.0,265.0,263.0,260.0,261.0,199.0,207.0,172.0,88.0,55.0,23.0,8.0,8.0
18.0,12.0,14.0,74.0,164.0,280.0,389.0,346.0,270.0,279.0,292.0,354.0,473.0,472.0,714.0,604.0,846.0,1670.0,1353.0,1023.0,1082.0,43.0,37.0,9.0
11.0,7.0,20.0,47.0,182.0,314.0,319.0,240.0,235.0,253.0,298.0,283.0,312.0,522.0,660.0,480.0,273.0,140.0,120.0,100.0,41.0,25.0,12.0,5.0
13.0,9.0,24.0,74.0,167.0,326.0,314.0,277.0,244.0,269.0,311.0,299.0,340.0,563.0,638.0,623.0,440.0,218.0,139.0,94.0,41.0,34.0,15.0,16.0
11.0,5.0,9.0,63.0,129.0,212.0,290.0,228.0,280.0,343.0,426.0,489.0,534.0,612.0,563.0,495.0,502.0,338.0,291.0,239.0,178.0,126.0,51.0,10.0
19.0,9.0,27.0,21.0,27.0,51.0,115.0,192.0,256.0,333.0,465.0,546.0,527.0,466.0,439.0,437.0,485.0,465.0,286.0,192.0,189.0,81.0,58.0,32.0
39.0,14.0,19.0,12.0,28.0,30.0,74.0,135.0,166.0,249.0,355.0,220.0,292.0,265.0,314.0,312.0,262.0,332.0,233.0,127.0,72.0,81.0,17.0,10.0
19.0,7.0,15.0,97.0,214.0,298.0,332.0,279.0,197.0,250.0,256.0,235.0,305.0,488.0,514.0,431.0,306.0,319.0,380.0,273.0,118.0,56.0,22.0,9.0
14.0,16.0,14.0,82.0,202.0,394.0,363.0,260.0,165.0,188.0,284.0,285.0,309.0,488.0,565.0,578.0,388.0,162.0,112.0,98.0,43.0,18.0,13.0,7.0
12.0,7.0,22.0,88.0,152.0,306.0,327.0,279.0,244.0,266.0,327.0,345.0,516.0,596.0,866.0,699.0,511.0,265.0,166.0,113.0,96.0,45.0,23.0,9.0
18.0,9.0,12.0,55.0,98.0,139.0,149.0,221.0,211.0,238.0,306.0,317.0,296.0,411.0,393.0,371.0,308.0,260.0,161.0,94.0,77.0,30.0,9.0,8.0
17.0,4.0,14.0,54.0,96.0,170.0,215.0,283.0,363.0,524.0,520.0,439.0,582.0,592.0,617.0,487.0,330.0,294.0,184.0,144.0,104.0,49.0,22.0,25.0
31.0,16.0,11.0,17.0,32.0,44.0,112.0,192.0,284.0,395.0,543.0,653.0,651.0,516.0,552.0,565.0,527.0,400.0,344.0,180.0,126.0,211.0,141.0,40.0
