0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
52.0,16.0,18.0,16.0,19.0,32.0,61.0,136.0,176.0,170.0,205.0,233.0,266.0,206.0,217.0,218.0,239.0,220.0,199.0,182.0,135.0,47.0,24.0,11.0
11.0,7.0,10.0,60.0,151.0,339.0,346.0,236.0,310.0,226.0,277.0,299.0,371.0,546.0,611.0,534.0,282.0,178.0,170.0,92.0,61.0,26.0,10.0,6.0
11.0,6.0,6.0,59.0,126.0,245.0,235.0,205.0,237.0,291.0,359.0,392.0,511.0,510.0,600.0,469.0,504.0,449.0,270.0,132.0,81.0,51.0,18.0,9.0
14.0,4.0,16.0,15.0,19.0,53.0,104.0,195.0,269.0,345.0,417.0,568.0,799.0,799.0,770.0,787.0,496.0,349.0,242.0,185.0,155.0,123.0,56.0,19.0
22.0,12.0,7.0,13.0,16.0,29.0,48.0,107.0,135.0,195.0,256.0,297.0,326.0,250.0,301.0,310.0,312.0,215.0,157.0,80.0,50.0,21.0,14.0,9.0
9.0,3.0,19.0,80.0,146.0,300.0,350.0,303.0,252.0,232.0,289.0,291.0,310.0,457.0,545.0,466.0,313.0,201.0,114.0,117.0,42.0,29.0,11.0,7.0
14.0,10.0,18.0,57.0,143.0,322.0,389.0,246.0,237.0,261.0,280.0,266.0,329.0,509.0,604.0,444.0,374.0,170.0,122.0,91.0,44.0,32.0,18.0,4.0
10.0,11.0,17.0,70.0,134.0,296.0,376.0,221.0,239.0,283.0,301.0,369.0,510.0,581.0,977.0,743.0,667.0,300.0,249.0,132.0,107.0,68.0,18.0,12.0
15.0,9.0,10.0,21.0,29.0,34.0,78.0,119.0,189.0,199.0,288.0,338.0,306.0,317.0,286.0,328.0,242.0,243.0,136.0,98.0,61.0,39.0,20.0,16.0
11.0,15.0,12.0,44.0,58.0,104.0,161.0,242.0,341.0,341.0,442.0,445.0,418.0,487.0,376.0,445.0,365.0,361.0,288.0,175.0,179.0,51.0,34.0,24.0
23.0,13.0,20.0,18.0,31.0,47.0,95.0,173.0,272.0,495.0,650.0,526.0,539.0,518.0,465.0,493.0,500.0,408.0,265.0,237.0,173.0,154.0,50.0,26.0
28.0,14.0,15.0,14.0,26.0,26.0,67.0,112.0,217.0,382.0,368.0,529.0,395.0,421.0,403.0,365.0,313.0,191.0,160.0,113.0,47.0,31.0,11.0,9.0
13.0,7.0,22.0,99.0,172.0,320.0,342.0,324.0,245.0,266.0,226.0,267.0,302.0,484.0,554.0,434.0,265.0,150.0,121.0,77.0,42.0,25.0,19.0,5.0
10.0,8.0,14.0,62.0,183.0,352.0,419.0,275.0,207.0,248.0,251.0,280.0,321.0,462.0,551.0,546.0,313.0,183.0,96.0,112.0,39.0,14.0,15.0,9.0
17.0,15.0,16.0,85.0,166.0,309.0,326.0,312.0,247.0,215.0,321.0,248.0,294.0,457.0,622.0,519.0,429.0,202.0,144.0,73.0,34.0,20.0,16.0,2.0
12.0,7.0,14.0,92.0,179.0,322.0,338.0,264.0,231.0,231.0,271.0,262.0,366.0,657.0,834.0,742.0,457.0,280.0,134.0,92.0,53.0,31.0,18.0,7.0
12.0,9.0,28.0,60.0,148.0,261.0,259.0,317.0,283.0,442.0,553.0,675.0,590.0,675.0,639.0,627.0,541.0,409.0,384.0,199.0,218.0,120.0,38.0,18.0
25.0,12.0,16.0,31.0,24.0,65.0,139.0,240.0,274.0,356.0,539.0,496.0,709.0,862.0,806.0,789.0,600.0,295.0,201.0,186.0,104.0,56.0,39.0,23.0
21.0,13.0,13.0,14.0,26.0,29.0,56.0,111.0,135.0,192.0,192.0,313.0,420.0,613.0,425.0,420.0,434.0,337.0,290.0,190.0,132.0,47.0,27.0,17.0
21.0,4.0,6.0,11.0,16.0,27.0,45.0,91.0,105.0,165.0,249.0,250.0,251.0,252.0,243.0,239.0,188.0,195.0,168.0,83.0,55.0,22.0,7.0,6.0
11.0,11.0,13.0,74.0,158.0,268.0,374.0,312.0,238.0,258.0,277.0,342.0,463.0,457.0,682.0,591.0,834.0,1662.0,1344.0,1018.0,1081.0,43.0,37.0,9.0
11.0,6.0,19.0,43.0,177.0,304.0,310.0,230.0,225.0,239.0,288.0,267.0,295.0,501.0,639.0,454.0,255.0,128.0,106.0,87.0,37.0,20.0,11.0,5.0
12.0,8.0,23.0,69.0,155.0,314.0,308.0,263.0,229.0,261.0,296.0,283.0,322.0,531.0,611.0,608.0,428.0,205.0,134.0,91.0,38.0,34.0,13.0,14.0
9.0,5.0,9.0,62.0,127.0,204.0,278.0,215.0,272.0,332.0,393.0,464.0,514.0,567.0,505.0,422.0,428.0,289.0,234.0,181.0,116.0,54.0,34.0,7.0
19.0,9.0,23.0,20.0,26.0,49.0,110.0,182.0,243.0,294.0,412.0,508.0,499.0,434.0,412.0,411.0,458.0,437.0,274.0,183.0,177.0,78.0,55.0,31.0
37.0,12.0,19.0,12.0,25.0,27.0,59.0,130.0,155.0,230.0,336.0,205.0,272.0,233.0,267.0,233.0,193.0,175.0,94.0,72.0,37.0,19.0,8.0,8.0
19.0,7.0,14.0,94.0,209.0,289.0,320.0,264.0,179.0,233.0,245.0,220.0,296.0,473.0,482.0,409.0,296.0,310.0,375.0,272.0,116.0,54.0,22.0,9.0
14.0,15.0,13.0,81.0,195.0,384.0,350.0,251.0,161.0,168.0,263.0,271.0,295.0,468.0,544.0,560.0,369.0,155.0,106.0,93.0,41.0,17.0,12.0,6.0
11.0,7.0,20.0,87.0,150.0,302.0,317.0,274.0,231.0,252.0,307.0,322.0,504.0,579.0,840.0,671.0,485.0,259.0,162.0,105.0,94.0,42.0,22.0,9.0
18.0,9.0,12.0,54.0,98.0,137.0,147.0,212.0,202.0,225.0,289.0,304.0,281.0,401.0,380.0,362.0,301.0,244.0,159.0,88.0,77.0,27.0,8.0,6.0
16.0,4.0,13.0,53.0,93.0,170.0,206.0,272.0,346.0,500.0,498.0,416.0,555.0,565.0,594.0,466.0,318.0,281.0,178.0,143.0,96.0,48.0,19.0,22.0
30.0,15.0,11.0,15.0,30.0,42.0,105.0,181.0,278.0,371.0,522.0,633.0,625.0,504.0,535.0,551.0,513.0,392.0,342.0,178.0,118.0,209.0,141.0,40.0
36.0,10.0,9.0,18.0,14.0,25.0,48.0,77.0,171.0,246.0,321.0,300.0,375.0,461.0,399.0,326.0,292.0,234.0,153.0,76.0,40.0,18.0,7.0,13.0
13.0,5.0,11.0,60.0,172.0,321.0,313.0,242.0,191.0,219.0,276.0,260.0,328.0,433.0,580.0,457.0,254.0,135.0,127.0,52.0,54.0,29.0,9.0,11.0
12.0,10.0,18.0,86.0,170.0,323.0,362.0,275.0,209.0,233.0,285.0,225.0,274.0,466.0,594.0,505.0,322.0,158.0,91.0,50.0,63.0,22.0,18.0,5.0
11.0,11.0,11.0,63.0,146.0,333.0,428.0,268.0,194.0,235.0,252.0,314.0,368.0,535.0,489.0,549.0,309.0,218.0,125.0,64.0,45.0,39.0,16.0,10.0
13.0,11.0,21.0,64.0,146.0,279.0,300.0,238.0,198.0,226.0,283.0,241.0,366.0,491.0,592.0,466.0,297.0,193.0,106.0,82.0,68.0,30.0,14.0,6.0
10.0,11.0,23.0,67.0,132.0,179.0,268.0,289.0,232.0,258.0,398.0,462.0,394.0,484.0,512.0,366.0,306.0,169.0,170.0,108.0,87.0,52.0,28.0,16.0
12.0,12.0,10.0,20.0,18.0,63.0,112.0,236.0,293.0,438.0,453.0,488.0,510.0,442.0,317.0,301.0,346.0,271.0,141.0,106.0,114.0,76.0,63.0,27.0
17.0,18.0,10.0,23.0,17.0,37.0,73.0,116.0,189.0,252.0,272.0,321.0,353.0,337.0,286.0,310.0,228.0,166.0,92.0,77.0,48.0,21.0,17.0,11.0
14.0,9.0,15.0,93.0,156.0,298.0,358.0,252.0,199.0,265.0,226.0,301.0,337.0,511.0,567.0,423.0,244.0,136.0,73.0,56.0,30.0,26.0,14.0,5.0
9.0,9.0,30.0,81.0,164.0,328.0,348.0,263.0,195.0,194.0,262.0,258.0,324.0,397.0,510.0,536.0,353.0,161.0,112.0,93.0,67.0,38.0,10.0,8.0
13.0,5.0,20.0,81.0,209.0,316.0,354.0,300.0,203.0,203.0,272.0,255.0,336.0,466.0,593.0,490.0,305.0,195.0,90.0,97.0,57.0,27.0,14.0,8.0
20.0,7.0,12.0,94.0,184.0,306.0,339.0,248.0,249.0,250.0,298.0,279.0,461.0,453.0,620.0,545.0,276.0,156.0,121.0,82.0,60.0,29.0,19.0,5.0
15.0,8.0,17.0,73.0,121.0,204.0,235.0,234.0,282.0,338.0,438.0,542.0,579.0,558.0,533.0,432.0,375.0,170.0,102.0,92.0,51.0,57.0,45.0,12.0
20.0,13.0,13.0,12.0,23.0,29.0,87.0,155.0,205.0,303.0,397.0,362.0,417.0,312.0,294.0,299.0,243.0,215.0,163.0,100.0,83.0,60.0,39.0,35.0
32.0,12.0,26.0,20.0,27.0,31.0,52.0,123.0,130.0,184.0,231.0,312.0,296.0,300.0,264.0,255.0,215.0,197.0,168.0,81.0,53.0,28.0,26.0,21.0
7.0,7.0,13.0,70.0,174.0,311.0,302.0,211.0,173.0,225.0,263.0,223.0,232.0,410.0,434.0,419.0,191.0,143.0,89.0,81.0,28.0,33.0,14.0,8.0
9.0,5.0,20.0,71.0,147.0,279.0,334.0,201.0,179.0,218.0,294.0,271.0,310.0,396.0,535.0,509.0,318.0,185.0,199.0,130.0,65.0,38.0,9.0,5.0
10.0,3.0,13.0,57.0,171.0,343.0,296.0,239.0,214.0,238.0,254.0,267.0,418.0,487.0,722.0,629.0,207.0,145.0,179.0,85.0,47.0,38.0,21.0,11.0
11.0,9.0,17.0,55.0,148.0,268.0,350.0,250.0,216.0,248.0,262.0,325.0,321.0,547.0,590.0,465.0,308.0,183.0,228.0,114.0,56.0,53.0,22.0,14.0
13.0,5.0,15.0,50.0,160.0,237.0,196.0,275.0,235.0,264.0,424.0,475.0,539.0,567.0,514.0,423.0,272.0,119.0,130.0,76.0,73.0,47.0,27.0,17.0
16.0,9.0,14.0,19.0,27.0,53.0,112.0,215.0,223.0,373.0,393.0,420.0,372.0,410.0,393.0,403.0,277.0,166.0,224.0,115.0,80.0,54.0,48.0,28.0
21.0,16.0,17.0,16.0,30.0,25.0,61.0,114.0,123.0,217.0,318.0,292.0,268.0,226.0,251.0,277.0,285.0,265.0,204.0,103.0,82.0,57.0,32.0,15.0
16.0,4.0,20.0,91.0,207.0,301.0,298.0,232.0,216.0,247.0,237.0,268.0,313.0,491.0,551.0,391.0,233.0,132.0,145.0,75.0,39.0,45.0,15.0,9.0
15.0,5.0,19.0,50.0,157.0,268.0,307.0,228.0,209.0,223.0,212.0,223.0,273.0,412.0,458.0,538.0,290.0,166.0,140.0,144.0,41.0,29.0,22.0,11.0
9.0,6.0,12.0,68.0,155.0,233.0,290.0,234.0,215.0,232.0,216.0,252.0,323.0,521.0,642.0,544.0,333.0,229.0,206.0,98.0,76.0,52.0,29.0,13.0
14.0,5.0,15.0,76.0,152.0,258.0,291.0,261.0,235.0,251.0,305.0,304.0,308.0,477.0,508.0,454.0,317.0,169.0,107.0,69.0,57.0,21.0,15.0,10.0
13.0,8.0,13.0,57.0,117.0,188.0,222.0,288.0,306.0,365.0,442.0,502.0,700.0,707.0,645.0,584.0,341.0,252.0,187.0,118.0,76.0,62.0,26.0,26.0
17.0,15.0,18.0,21.0,21.0,73.0,137.0,235.0,380.0,467.0,575.0,673.0,678.0,514.0,444.0,410.0,402.0,441.0,359.0,164.0,182.0,109.0,84.0,25.0
35.0,9.0,8.0,12.0,17.0,27.0,56.0,141.0,180.0,364.0,463.0,435.0,466.0,442.0,407.0,437.0,340.0,184.0,145.0,73.0,55.0,34.0,22.0,8.0
13.0,13.0,10.0,67.0,199.0,278.0,305.0,289.0,250.0,228.0,271.0,287.0,414.0,497.0,606.0,523.0,305.0,231.0,168.0,114.0,77.0,51.0,21.0,13.0
14.0,6.0,18.0,68.0,174.0,361.0,338.0,330.0,214.0,257.0,266.0,235.0,346.0,520.0,670.0,529.0,212.0,120.0,99.0,55.0,41.0,46.0,18.0,14.0
9.0,13.0,9.0,66.0,168.0,318.0,299.0,227.0,217.0,208.0,315.0,306.0,395.0,456.0,623.0,580.0,357.0,182.0,110.0,52.0,54.0,25.0,9.0,9.0
13.0,5.0,14.0,46.0,170.0,292.0,300.0,229.0,217.0,303.0,300.0,337.0,425.0,608.0,713.0,613.0,350.0,230.0,115.0,117.0,49.0,30.0,6.0,9.0
14.0,6.0,16.0,72.0,122.0,221.0,210.0,271.0,246.0,273.0,505.0,588.0,625.0,637.0,655.0,647.0,202.0,147.0,122.0,152.0,99.0,72.0,47.0,23.0
34.0,13.0,15.0,19.0,21.0,68.0,113.0,169.0,252.0,292.0,430.0,434.0,420.0,408.0,351.0,320.0,221.0,185.0,143.0,92.0,72.0,78.0,64.0,26.0
43.0,17.0,19.0,16.0,29.0,31.0,64.0,131.0,169.0,230.0,273.0,261.0,279.0,234.0,204.0,219.0,217.0,175.0,139.0,65.0,59.0,29.0,12.0,3.0
11.0,12.0,21.0,86.0,184.0,287.0,299.0,264.0,256.0,245.0,292.0,248.0,292.0,436.0,497.0,383.0,258.0,103.0,68.0,50.0,43.0,21.0,14.0,6.0
6.0,10.0,22.0,70.0,181.0,245.0,317.0,261.0,173.0,247.0,303.0,258.0,318.0,479.0,524.0,347.0,285.0,125.0,102.0,58.0,50.0,23.0,12.0,10.0
10.0,9.0,12.0,71.0,205.0,214.0,274.0,269.0,226.0,255.0,312.0,368.0,320.0,400.0,529.0,415.0,270.0,159.0,105.0,84.0,50.0,46.0,26.0,11.0
13.0,9.0,16.0,59.0,170.0,240.0,252.0,259.0,232.0,248.0,297.0,298.0,414.0,519.0,654.0,511.0,361.0,296.0,146.0,126.0,128.0,75.0,30.0,12.0
13.0,4.0,28.0,53.0,116.0,164.0,205.0,209.0,274.0,339.0,414.0,496.0,594.0,580.0,468.0,492.0,594.0,422.0,282.0,323.0,267.0,155.0,48.0,25.0
21.0,20.0,15.0,23.0,36.0,57.0,92.0,179.0,258.0,334.0,424.0,495.0,502.0,443.0,421.0,390.0,452.0,401.0,278.0,342.0,278.0,191.0,67.0,28.0
33.0,14.0,14.0,25.0,21.0,38.0,68.0,157.0,166.0,254.0,276.0,318.0,370.0,276.0,271.0,257.0,292.0,163.0,118.0,98.0,42.0,28.0,14.0,10.0
10.0,10.0,14.0,79.0,149.0,241.0,264.0,227.0,214.0,274.0,226.0,239.0,364.0,392.0,530.0,485.0,327.0,229.0,105.0,158.0,61.0,31.0,15.0,9.0
12.0,8.0,9.0,72.0,157.0,291.0,266.0,289.0,231.0,299.0,289.0,286.0,325.0,376.0,611.0,408.0,404.0,188.0,150.0,151.0,62.0,20.0,12.0,7.0
11.0,5.0,14.0,59.0,156.0,256.0,244.0,216.0,196.0,285.0,355.0,280.0,354.0,476.0,553.0,529.0,524.0,323.0,339.0,234.0,197.0,92.0,29.0,11.0
10.0,12.0,15.0,68.0,162.0,221.0,245.0,225.0,176.0,240.0,262.0,204.0,376.0,413.0,589.0,463.0,465.0,257.0,222.0,140.0,98.0,62.0,22.0,8.0
9.0,13.0,11.0,44.0,146.0,173.0,191.0,275.0,223.0,275.0,403.0,456.0,506.0,452.0,430.0,406.0,485.0,382.0,236.0,222.0,202.0,131.0,44.0,30.0
13.0,16.0,9.0,13.0,42.0,77.0,187.0,331.0,326.0,296.0,400.0,427.0,343.0,269.0,322.0,349.0,341.0,332.0,284.0,212.0,156.0,142.0,59.0,46.0
27.0,8.0,14.0,14.0,23.0,29.0,98.0,127.0,211.0,230.0,388.0,415.0,313.0,334.0,264.0,305.0,290.0,195.0,198.0,109.0,66.0,51.0,17.0,10.0
18.0,9.0,19.0,88.0,151.0,287.0,220.0,237.0,197.0,280.0,282.0,285.0,312.0,407.0,488.0,381.0,204.0,114.0,73.0,61.0,33.0,23.0,11.0,6.0
12.0,8.0,12.0,49.0,118.0,219.0,200.0,189.0,169.0,191.0,214.0,221.0,297.0,397.0,532.0,467.0,351.0,235.0,168.0,137.0,75.0,88.0,32.0,7.0
13.0,10.0,18.0,55.0,147.0,230.0,188.0,176.0,181.0,261.0,286.0,263.0,343.0,419.0,476.0,421.0,258.0,144.0,128.0,83.0,66.0,31.0,22.0,6.0
10.0,4.0,14.0,57.0,120.0,186.0,171.0,219.0,210.0,283.0,283.0,264.0,359.0,507.0,481.0,378.0,315.0,189.0,151.0,80.0,61.0,37.0,13.0,9.0
12.0,7.0,12.0,51.0,91.0,115.0,124.0,183.0,252.0,329.0,291.0,427.0,398.0,379.0,404.0,376.0,476.0,313.0,271.0,314.0,264.0,107.0,45.0,25.0
23.0,13.0,14.0,15.0,19.0,54.0,99.0,170.0,266.0,312.0,429.0,485.0,410.0,416.0,445.0,467.0,497.0,455.0,328.0,310.0,243.0,182.0,92.0,20.0
17.0,19.0,10.0,15.0,22.0,33.0,72.0,117.0,165.0,270.0,352.0,276.0,398.0,237.0,286.0,222.0,258.0,160.0,119.0,80.0,54.0,25.0,16.0,13.0
8.0,10.0,17.0,37.0,109.0,189.0,199.0,215.0,224.0,209.0,240.0,219.0,312.0,363.0,527.0,463.0,398.0,275.0,312.0,267.0,209.0,80.0,38.0,9.0
5.0,4.0,8.0,44.0,134.0,183.0,188.0,253.0,194.0,232.0,234.0,271.0,289.0,430.0,499.0,437.0,272.0,249.0,233.0,232.0,155.0,83.0,29.0,10.0
