day,city,area_id,ncontacts_1,ncontacts_2
2024-05-06,Frankfurt am Main,64.0,18,0
2024-05-06,Frankfurt am Main,4.0,6,0
2024-05-06,Frankfurt am Main,-1.0,766,0
2024-05-06,Hamburg,25.0,2,0
2024-05-06,Hamburg,29.0,62,0
2024-05-06,Hamburg,-1.0,2678,0
2024-05-06,Dortmund,10.0,152,0
2024-05-06,Dortmund,-1.0,1100,0
2024-05-06,Dortmund,39.0,4,0
2024-05-06,Gelsenkirchen,28.0,30,0
2024-05-06,Gelsenkirchen,-1.0,1228,0
2024-05-06,Düsseldorf,24.0,2,2
2024-05-06,Düsseldorf,-1.0,1068,0
2024-05-06,Stuttgart,11.0,16,0
2024-05-06,Stuttgart,-1.0,662,0
2024-05-06,Köln,51.0,38,0
2024-05-06,Köln,-1.0,1462,0
2024-05-06,Köln,15.0,6,0
2024-05-06,Leipzig,3.0,20,0
2024-05-06,Leipzig,-1.0,2256,0
2024-05-06,Berlin,16.0,42,2
2024-05-06,Berlin,2.0,6,0
2024-05-06,Berlin,40.0,10,0
2024-05-06,Berlin,-1.0,5284,0
2024-05-06,München,1.0,8,0
2024-05-06,München,41.0,12,0
2024-05-06,München,45.0,14,0
2024-05-06,München,60.0,2,0
2024-05-06,München,-1.0,398,0
2024-05-07,Frankfurt am Main,64.0,24,0
2024-05-07,Frankfurt am Main,4.0,24,0
2024-05-07,Frankfurt am Main,-1.0,698,0
2024-05-07,Hamburg,25.0,14,0
2024-05-07,Hamburg,29.0,74,0
2024-05-07,Hamburg,-1.0,2820,0
2024-05-07,Dortmund,10.0,20,0
2024-05-07,Dortmund,-1.0,1326,0
2024-05-07,Dortmund,39.0,20,0
2024-05-07,Gelsenkirchen,28.0,16,0
2024-05-07,Gelsenkirchen,-1.0,1236,0
2024-05-07,Düsseldorf,24.0,2,2
2024-05-07,Düsseldorf,-1.0,1002,0
2024-05-07,Stuttgart,11.0,38,0
2024-05-07,Stuttgart,-1.0,786,0
2024-05-07,Köln,51.0,10,0
2024-05-07,Köln,-1.0,1360,0
2024-05-07,Köln,15.0,6,0
2024-05-07,Leipzig,3.0,16,0
2024-05-07,Leipzig,-1.0,2260,0
2024-05-07,Berlin,16.0,64,0
2024-05-07,Berlin,2.0,6,0
2024-05-07,Berlin,40.0,32,0
2024-05-07,Berlin,-1.0,5702,0
2024-05-07,München,1.0,6,0
2024-05-07,München,41.0,10,0
2024-05-07,München,45.0,6,0
2024-05-07,München,60.0,2,0
2024-05-07,München,-1.0,488,0
2024-05-08,Frankfurt am Main,64.0,12,0
2024-05-08,Frankfurt am Main,4.0,14,0
2024-05-08,Frankfurt am Main,-1.0,820,0
2024-05-08,Hamburg,25.0,134,0
2024-05-08,Hamburg,29.0,134,0
2024-05-08,Hamburg,-1.0,4206,0
2024-05-08,Dortmund,10.0,14,0
2024-05-08,Dortmund,-1.0,1450,0
2024-05-08,Dortmund,39.0,14,0
2024-05-08,Gelsenkirchen,28.0,38,0
2024-05-08,Gelsenkirchen,-1.0,1462,0
2024-05-08,Düsseldorf,-1.0,1090,0
2024-05-08,Stuttgart,11.0,112,0
2024-05-08,Stuttgart,-1.0,1088,0
2024-05-08,Köln,51.0,88,0
2024-05-08,Köln,-1.0,2252,0
2024-05-08,Köln,15.0,2,0
2024-05-08,Leipzig,3.0,580,0
2024-05-08,Leipzig,-1.0,2642,0
2024-05-08,Berlin,16.0,62,0
2024-05-08,Berlin,2.0,12,0
2024-05-08,Berlin,40.0,30,0
