day,city,area_id,ncontacts_1,ncontacts_2
2024-04-29,Hamburg,25.0,32,0
2024-04-29,Hamburg,29.0,10,0
2024-04-29,Hamburg,-1.0,660,0
2024-04-29,Düsseldorf,-1.0,204,0
2024-04-29,Köln,51.0,6,0
2024-04-29,Köln,-1.0,298,0
2024-04-29,München,-1.0,100,0
2024-04-29,Berlin,16.0,12,0
2024-04-29,Berlin,2.0,2,0
2024-04-29,Berlin,40.0,12,0
2024-04-29,Berlin,-1.0,1180,0
2024-04-29,Leipzig,3.0,2,0
2024-04-29,Leipzig,-1.0,602,0
2024-04-29,Dortmund,10.0,6,0
2024-04-29,Dortmund,-1.0,256,0
2024-04-29,Stuttgart,11.0,10,0
2024-04-29,Stuttgart,-1.0,136,0
2024-04-29,Gelsenkirchen,28.0,8,0
2024-04-29,Gelsenkirchen,-1.0,438,0
2024-04-29,Frankfurt am Main,64.0,4,0
2024-04-29,Frankfurt am Main,4.0,2,0
2024-04-29,Frankfurt am Main,-1.0,156,0
2024-04-30,Hamburg,25.0,2,0
2024-04-30,Hamburg,29.0,22,0
2024-04-30,Hamburg,-1.0,730,0
2024-04-30,Düsseldorf,-1.0,252,0
2024-04-30,Köln,51.0,14,0
2024-04-30,Köln,-1.0,406,0
2024-04-30,München,41.0,10,0
2024-04-30,München,-1.0,128,0
2024-04-30,München,1.0,10,0
2024-04-30,Berlin,16.0,14,0
2024-04-30,Berlin,2.0,2,0
2024-04-30,Berlin,40.0,8,0
2024-04-30,Berlin,-1.0,1348,0
2024-04-30,Leipzig,3.0,2,0
2024-04-30,Leipzig,-1.0,644,0
2024-04-30,Dortmund,10.0,40,0
2024-04-30,Dortmund,-1.0,338,0
2024-04-30,Stuttgart,11.0,120,0
2024-04-30,Stuttgart,-1.0,220,0
2024-04-30,Gelsenkirchen,28.0,10,0
2024-04-30,Gelsenkirchen,-1.0,420,0
2024-04-30,Frankfurt am Main,64.0,10,0
2024-04-30,Frankfurt am Main,4.0,4,0
2024-04-30,Frankfurt am Main,-1.0,230,0
2024-05-01,Hamburg,25.0,2,0
2024-05-01,Hamburg,29.0,18,0
2024-05-01,Hamburg,-1.0,360,0
2024-05-01,Düsseldorf,-1.0,120,0
2024-05-01,Köln,-1.0,164,0
2024-05-01,München,-1.0,66,0
2024-05-01,Berlin,16.0,4,0
2024-05-01,Berlin,40.0,2,0
2024-05-01,Berlin,-1.0,688,0
2024-05-01,Leipzig,3.0,120,0
2024-05-01,Leipzig,-1.0,288,0
2024-05-01,Dortmund,10.0,56,22
2024-05-01,Dortmund,-1.0,194,0
2024-05-01,Dortmund,39.0,6,0
2024-05-01,Stuttgart,11.0,26,0
2024-05-01,Stuttgart,-1.0,108,0
2024-05-01,Gelsenkirchen,28.0,4,0
2024-05-01,Gelsenkirchen,-1.0,200,0
2024-05-01,Frankfurt am Main,-1.0,74,0
2024-05-02,Hamburg,25.0,34,0
2024-05-02,Hamburg,29.0,22,0
2024-05-02,Hamburg,-1.0,680,0
2024-05-02,Düsseldorf,-1.0,252,0
2024-05-02,Köln,51.0,6,0
2024-05-02,Köln,-1.0,302,0
2024-05-02,München,41.0,6,0
2024-05-02,München,-1.0,152,0
2024-05-02,Berlin,16.0,2,0
2024-05-02,Berlin,2.0,2,0
2024-05-02,Berlin,40.0,10,0
2024-05-02,Berlin,-1.0,1186,0
2024-05-02,Leipzig,3.0,4,0
2024-05-02,Leipzig,-1.0,558,0
2024-05-02,Dortmund,10.0,2,0
2024-05-02,Dortmund,-1.0,282,0
2024-05-02,Stuttgart,11.0,36,0
2024-05-02,Stuttgart,-1.0,166,0
2024-05-02,Gelsenkirchen,28.0,8,0
2024-05-02,Gelsenkirchen,-1.0,350,0
2024-05-02,Frankfurt am Main,64.0,8,0
2024-05-02,Frankfurt am Main,4.0,2,0
2024-05-02,Frankfurt am Main,-1.0,128,0
2024-05-03,Hamburg,25.0,24,34
2024-05-03,Hamburg,29.0,24,0
2024-05-03,Hamburg,-1.0,680,0
2024-05-03,Düsseldorf,24.0,8,6
2024-05-03,Düsseldorf,-1.0,162,0
2024-05-03,Köln,51.0,10,0
2024-05-03,Köln,-1.0,374,0
2024-05-03,München,1.0,4,0
2024-05-03,München,-1.0,112,0
2024-05-03,Berlin,16.0,12,0
2024-05-03,Berlin,40.0,62,0
2024-05-03,Berlin,-1.0,1258,0
2024-05-03,Leipzig,3.0,8,0
2024-05-03,Leipzig,-1.0,650,0
2024-05-03,Dortmund,10.0,6,0
2024-05-03,Dortmund,-1.0,310,0
2024-05-03,Stuttgart,11.0,26,0
2024-05-03,Stuttgart,-1.0,150,0
2024-05-03,Gelsenkirchen,28.0,8,0
2024-05-03,Gelsenkirchen,-1.0,324,0
2024-05-03,Frankfurt am Main,64.0,4,0
2024-05-03,Frankfurt am Main,4.0,4,0
2024-05-03,Frankfurt am Main,-1.0,158,0
2024-05-04,Hamburg,25.0,6,0
2024-05-04,Hamburg,29.0,46,0
2024-05-04,Hamburg,-1.0,610,0
2024-05-04,Düsseldorf,-1.0,178,0
2024-05-04,Köln,51.0,6,0
2024-05-04,Köln,-1.0,568,0
2024-05-04,Köln,15.0,4,20
2024-05-04,München,45.0,10,0
2024-05-04,München,-1.0,106,0
2024-05-04,Berlin,16.0,6,0
2024-05-04,Berlin,2.0,40,0
2024-05-04,Berlin,40.0,6,0
