day,ncontacts_1,ncontacts_2
2024-04-29,0,0
2024-04-30,0,0
2024-05-01,0,0
2024-05-02,0,0
2024-05-03,0,0
2024-05-04,0,0
2024-05-05,0,0
2024-05-06,215656,12
2024-05-07,216414,10
2024-05-08,278494,10
2024-05-09,153066,922
2024-05-10,227610,604
2024-05-11,210926,4446
2024-05-12,194154,1302
2024-05-13,211688,4
2024-05-14,214112,42
2024-05-15,222732,16
2024-05-16,246506,16
2024-05-17,286734,1196
2024-05-18,228394,4840
2024-05-19,145034,2636
2024-05-20,154266,24
2024-05-21,220722,1446
2024-05-22,204290,4
2024-05-23,217146,126
2024-05-24,241042,574
2024-05-25,200040,1484
2024-05-26,142600,1600
2024-05-27,199434,272
2024-05-28,201264,8
2024-05-29,227098,18
2024-05-30,190730,0
2024-05-31,256076,186
2024-06-01,213352,1384
2024-06-02,163762,392
2024-06-03,201642,172
2024-06-04,196574,28
2024-06-05,201760,2
2024-06-06,220396,896
2024-06-07,241862,180
2024-06-08,201162,48
2024-06-09,147670,342
2024-06-10,199788,6
2024-06-11,201272,14
2024-06-12,203326,800
2024-06-13,217540,166
2024-06-14,240220,126
2024-06-15,194860,526
2024-06-16,147720,204
2024-06-17,198236,246
2024-06-18,193956,296
2024-06-19,196202,286
2024-06-20,217512,118
2024-06-21,241268,1572
2024-06-22,199892,4188
2024-06-23,148386,254
2024-06-24,195938,116
2024-06-25,191620,296
2024-06-26,193694,372
2024-06-27,210566,4
2024-06-28,249832,10
2024-06-29,207530,914
2024-06-30,140418,408
2024-07-01,210466,190
2024-07-02,201380,344
2024-07-03,199188,4
2024-07-04,222096,8
2024-07-05,236856,1300
2024-07-06,199232,390
2024-07-07,160386,44
2024-07-08,199602,4
2024-07-09,190818,32
2024-07-10,192478,54
2024-07-11,215366,630
2024-07-12,240500,1990
2024-07-13,221276,2370
2024-07-14,158584,252
2024-07-15,196398,2
2024-07-16,192306,546
2024-07-17,202310,622
2024-07-18,206170,824
2024-07-19,229408,1834
2024-07-20,197952,1576
2024-07-21,147320,664
2024-07-22,190084,4
2024-07-23,177678,332
2024-07-24,178642,124
2024-07-25,194152,54
2024-07-26,215262,2212
2024-07-27,196214,3148
2024-07-28,146878,130
2024-07-29,176056,1964
2024-07-30,158930,1374
2024-07-31,0,0
2024-08-01,0,0
2024-08-02,0,0
2024-08-03,0,0
2024-08-04,0,0
