day,ncontacts_1,ncontacts_2
2024-04-29,109012,0
2024-04-30,132896,58
2024-05-01,78050,78
2024-05-02,109018,0
2024-05-03,119410,130
2024-05-04,108960,588
2024-05-05,77240,238
2024-05-06,106496,4
2024-05-07,107268,2
2024-05-08,143174,2
2024-05-09,82472,144
2024-05-10,112236,134
2024-05-11,106420,860
2024-05-12,103754,306
2024-05-13,103334,2
2024-05-14,103812,14
2024-05-15,114894,0
2024-05-16,127630,0
2024-05-17,148988,256
2024-05-18,118852,966
2024-05-19,79984,532
2024-05-20,82538,8
2024-05-21,109358,212
2024-05-22,102162,0
2024-05-23,107846,32
2024-05-24,122154,88
2024-05-25,101464,300
2024-05-26,75032,386
2024-05-27,98058,98
2024-05-28,99232,0
2024-05-29,115444,4
2024-05-30,99544,0
2024-05-31,130570,38
2024-06-01,109750,344
2024-06-02,90534,66
2024-06-03,99994,20
2024-06-04,97836,6
2024-06-05,103106,0
2024-06-06,111016,290
2024-06-07,121940,32
2024-06-08,104618,10
2024-06-09,78224,88
2024-06-10,97208,0
2024-06-11,98818,2
2024-06-12,99190,188
2024-06-13,107766,46
2024-06-14,122994,44
2024-06-15,98518,162
2024-06-16,78768,56
2024-06-17,96452,80
2024-06-18,95350,74
2024-06-19,97048,80
2024-06-20,107742,36
2024-06-21,122668,368
2024-06-22,101588,934
2024-06-23,77944,88
2024-06-24,95626,60
2024-06-25,93332,62
2024-06-26,95550,94
2024-06-27,104580,0
2024-06-28,127456,0
2024-06-29,106612,248
2024-06-30,75380,152
2024-07-01,105448,70
2024-07-02,100488,172
2024-07-03,99294,0
2024-07-04,113842,2
2024-07-05,121172,358
2024-07-06,103718,136
2024-07-07,85998,2
2024-07-08,99004,2
2024-07-09,93910,10
2024-07-10,96992,20
2024-07-11,108436,204
2024-07-12,124674,476
2024-07-13,115650,532
2024-07-14,84258,64
2024-07-15,97452,2
2024-07-16,95660,102
2024-07-17,101276,248
2024-07-18,103898,192
2024-07-19,117398,660
2024-07-20,106052,404
2024-07-21,80804,140
2024-07-22,96294,2
2024-07-23,90072,56
2024-07-24,91914,52
2024-07-25,99744,14
2024-07-26,111986,412
2024-07-27,104960,560
2024-07-28,81256,36
2024-07-29,90614,442
2024-07-30,87144,318
2024-07-31,97018,576
2024-08-01,101974,0
2024-08-02,118466,68
2024-08-03,110210,410
2024-08-04,87278,50
