day,area_id,ndids
2024-04-29,1,0
2024-04-29,2,0
2024-04-29,3,1
2024-04-29,4,1
2024-04-29,10,2
2024-04-29,11,1
2024-04-29,15,1
2024-04-29,24,2
2024-04-29,25,0
2024-04-29,28,1
2024-04-29,16,0
2024-04-29,29,1
2024-04-29,41,1
2024-04-29,64,2
2024-04-30,1,66
2024-04-30,2,1
2024-04-30,3,0
2024-04-30,4,1
2024-04-30,10,2
2024-04-30,11,4
2024-04-30,15,2
2024-04-30,24,1
2024-04-30,25,0
2024-04-30,28,0
2024-04-30,16,1
2024-04-30,29,0
2024-04-30,41,0
2024-04-30,64,0
2024-05-01,1,0
2024-05-01,2,0
2024-05-01,3,1
2024-05-01,4,1
2024-05-01,10,98
2024-05-01,11,0
2024-05-01,15,1
2024-05-01,24,0
2024-05-01,25,1
2024-05-01,28,1
2024-05-01,16,1
2024-05-01,29,0
2024-05-01,41,1
2024-05-01,64,0
2024-05-02,1,1
2024-05-02,2,1
2024-05-02,3,0
2024-05-02,4,3
2024-05-02,10,3
2024-05-02,11,0
2024-05-02,15,4
2024-05-02,24,2
2024-05-02,25,2
2024-05-02,28,1
2024-05-02,16,2
2024-05-02,29,0
2024-05-02,41,0
2024-05-02,64,0
2024-05-03,1,3
2024-05-03,2,2
2024-05-03,3,0
2024-05-03,4,0
2024-05-03,10,5
2024-05-03,11,2
2024-05-03,15,0
2024-05-03,24,54
2024-05-03,25,73
2024-05-03,28,1
2024-05-03,16,1
2024-05-03,29,6
2024-05-03,41,0
2024-05-03,64,2
2024-05-04,1,2
2024-05-04,2,0
2024-05-04,3,0
2024-05-04,4,0
2024-05-04,10,140
2024-05-04,11,107
2024-05-04,15,59
2024-05-04,24,0
2024-05-04,25,0
2024-05-04,28,7
2024-05-04,16,2
2024-05-04,29,4
2024-05-04,41,4
2024-05-04,64,1
2024-05-05,1,1
2024-05-05,2,11
2024-05-05,3,0
2024-05-05,4,76
2024-05-05,10,8
2024-05-05,11,2
2024-05-05,15,2
2024-05-05,24,0
2024-05-05,25,0
