area_id,area_name
57,Stadion Lohmühle
58,Ernst-Abbe-Sportfeld
59,Europa-Park-Stadion
60,FC Bayern Camplus (Platz 1)
61,Hermann-Neuberger-Stadion
62,WIRmachenDruck-Arena
63,Preußenstadion
64,PSD-Bank-Arena
65,Stadion – An der Gellertstraße
66,Sportpark Unterhaching
14,SchücoArena
15,RheinEnergieStadion
16,An der Alten Försterei
17,Volkswagen Arena
18,Borussia-Park
19,Benteler-Arena
20,Wildparkstadion
21,HDI-Arena
22,Audi Sportpark
23,Jahnstadion
24,Merkur Spiel-Arena
25,Volksparkstadion
26,Holstein-Stadion
27,Erzgebirgsstadion
28,Veltins-Arena
29,Millerntor-Stadion
30,BWT-Stadion am Hardtwald
31,Max-Morlock-Stadion
32,Rudolf-Harbig-Stadion
33,Wohninvest-Weserstadion
34,Merck-Stadion am Böllenfalltor
35,Voith-Arena
36,Ostseestadion
37,MDCC-Arena
38,Brita-Arena
39,Rote Erde
40,Friedrich-Ludwig-Jahn-Sportpark
41,Olympiastadion
42,GGZ Arena
43,Fritz-Walter-Stadion
44,Carl-Benz-Stadion
45,Stadion an der Grünwalder Straße
46,Bremer Brücke
47,Ludwigspark
48,Schauinsland-Reisen-Arena
49,Stadion am Lotter Kreuz
50,Eintracht-Stadion
51,Sportpark Höhenberg
52,SPORTCLUB Arena
53,Leuna-Chemie-Stadion
54,flyeralarm Arena
55,Wilhelm-Langrehr-Stadion
56,Hänsch-Arena
1,Allianz Arena
2,Olympiastadion
3,Red Bull Arena
4,Deutsche Bank Park
5,Schwarzwald-Stadion
6,Vonovia Ruhrstadion
7,Sportpark Ronhof
8,BayArena
9,PreZero Arena
10,Signal Iduna Park
11,MHP Arena
12,MEWA ARENA
13,WWK ARENA
