day,city,event,ncontacts_hoststad,ncontacts_hostcity,ncontacts_germany
2024-04-30,Stuttgart,Bushido,,31.393690681203662,11.519644779056717
2024-04-30,München,UEFA Champions League,,17.69165526993098,11.519644779056717
2024-05-01,Dortmund,UEFA Champions League,1733.6331260119475,15.81702109694533,7.314068230835916
2024-05-03,Düsseldorf,Bundesliga,,14.046314221815697,9.942341496868918
2024-05-03,Hamburg,Bundesliga,2207.227920588685,20.848024671532546,9.942341496868918
2024-05-04,Dortmund,Bundesliga,2007.5721011573173,26.947517424425378,9.98229924965919
2024-05-04,Stuttgart,Bundesliga,1858.1625195013476,42.80957820164136,9.98229924965919
2024-05-04,Köln,Bundesliga,1898.6385177478144,33.490527804921356,9.98229924965919
2024-05-04,Berlin,Mario Barth,,14.773554246377056,9.98229924965919
2024-05-05,Frankfurt am Main,Bundesliga,1122.922190576303,11.461954509865564,7.153814275668927
2024-05-05,Berlin,S25 Berlin,,7.59752682713114,7.153814275668927
2024-05-05,Berlin,Bundesliga,,7.59752682713114,7.153814275668927
2024-05-06,Dortmund,Apache 207,,20.327801187555664,9.131697072523139
2024-05-07,Dortmund,B2Run,,20.913616783738828,9.193858906953835
2024-05-08,Leipzig,Apache 207,,27.08015202959827,11.972614458756592
2024-05-09,Köln,DFB Pokal,2303.768277005107,15.036563504250406,8.089762717134517
2024-05-11,Köln,Bundesliga,1495.1329023431647,26.71268289202061,10.106284902646689
2024-05-11,Hamburg,Hamburg Hafengeburtstag,,27.063584822051563,10.106284902646689
2024-05-11,Berlin,Bundesliga,1742.2018545096462,10.04222339286543,10.106284902646689
2024-05-11,Leipzig,Bundesliga,1106.1383201435647,20.341749713822065,10.106284902646689
2024-05-11,Gelsenkirchen,Bundesliga,1124.8573479797149,19.95450489634873,10.106284902646689
2024-05-12,Hamburg,Bundesliga,1847.5985441031269,22.55730371292528,9.288501142181877
2024-05-12,München,Bundesliga,2887.9244723351817,14.49316392169487,9.288501142181877
2024-05-12,Stuttgart,Apache 207,,15.282559099940787,9.288501142181877
2024-05-17,Hamburg,Marius Müller Westernhagen,,30.223161231898736,12.618488413227114
2024-05-17,Gelsenkirchen,AC/DC,2590.958584681751,32.90857692742102,12.618488413227114
2024-05-18,Dortmund,Bundesliga,3352.935309689782,18.511772839387866,11.377505897649023
2024-05-18,Berlin,Bundesliga,994.0139313656737,11.506933835266581,11.377505897649023
2024-05-18,Stuttgart,Bundesliga,1233.2637678855829,26.51431940230691,11.377505897649023
2024-05-18,Frankfurt am Main,Bundesliga,927.6313748239024,18.709955155809965,11.377505897649023
2024-05-19,Dortmund,Schlagerfest XXL,,32.57134714778372,8.349963660385708
2024-05-19,Leipzig,Leipzig Weinfest,,17.71598730908298,8.349963660385708
2024-05-19,Düsseldorf,Bundesliga,683.0172352451386,11.725101278380054,8.349963660385708
2024-05-19,Hamburg,Bundesliga,1354.2260599354195,12.35342579915655,8.349963660385708
2024-05-21,Gelsenkirchen,AC/DC,3879.5951560413678,22.048092295309907,9.850944727134346
2024-05-24,Dortmund,Dogs & Fun,,22.202411095341777,10.879710397475469
