venue_type,day,hour,pair
shopping,2024-04-29,0,3.0
shopping,2024-04-29,1,
shopping,2024-04-29,2,
shopping,2024-04-29,3,1.0
shopping,2024-04-29,4,
shopping,2024-04-29,5,3.0
shopping,2024-04-29,6,1.0
shopping,2024-04-29,7,28.0
shopping,2024-04-29,8,51.0
shopping,2024-04-29,9,89.0
shopping,2024-04-29,10,127.0
shopping,2024-04-29,11,119.0
shopping,2024-04-29,12,116.0
shopping,2024-04-29,13,95.0
shopping,2024-04-29,14,79.0
shopping,2024-04-29,15,103.0
shopping,2024-04-29,16,118.0
shopping,2024-04-29,17,103.0
shopping,2024-04-29,18,69.0
shopping,2024-04-29,19,45.0
shopping,2024-04-29,20,12.0
shopping,2024-04-29,21,16.0
shopping,2024-04-29,22,5.0
shopping,2024-04-29,23,3.0
shopping,2024-04-30,0,1.0
shopping,2024-04-30,1,
shopping,2024-04-30,2,1.0
shopping,2024-04-30,3,
shopping,2024-04-30,4,
shopping,2024-04-30,5,2.0
shopping,2024-04-30,6,7.0
shopping,2024-04-30,7,17.0
shopping,2024-04-30,8,67.0
shopping,2024-04-30,9,99.0
shopping,2024-04-30,10,138.0
shopping,2024-04-30,11,119.0
shopping,2024-04-30,12,146.0
shopping,2024-04-30,13,119.0
shopping,2024-04-30,14,96.0
shopping,2024-04-30,15,100.0
shopping,2024-04-30,16,150.0
shopping,2024-04-30,17,160.0
shopping,2024-04-30,18,122.0
shopping,2024-04-30,19,69.0
shopping,2024-04-30,20,34.0
shopping,2024-04-30,21,24.0
shopping,2024-04-30,22,7.0
shopping,2024-04-30,23,9.0
shopping,2024-05-01,0,5.0
shopping,2024-05-01,1,6.0
shopping,2024-05-01,2,4.0
shopping,2024-05-01,3,
shopping,2024-05-01,4,4.0
shopping,2024-05-01,5,
shopping,2024-05-01,6,3.0
shopping,2024-05-01,7,7.0
shopping,2024-05-01,8,5.0
shopping,2024-05-01,9,11.0
shopping,2024-05-01,10,23.0
shopping,2024-05-01,11,19.0
shopping,2024-05-01,12,25.0
shopping,2024-05-01,13,27.0
shopping,2024-05-01,14,21.0
shopping,2024-05-01,15,28.0
shopping,2024-05-01,16,16.0
shopping,2024-05-01,17,13.0
shopping,2024-05-01,18,9.0
shopping,2024-05-01,19,12.0
shopping,2024-05-01,20,5.0
shopping,2024-05-01,21,1.0
shopping,2024-05-01,22,7.0
shopping,2024-05-01,23,3.0
shopping,2024-05-02,0,3.0
shopping,2024-05-02,1,
shopping,2024-05-02,2,
shopping,2024-05-02,3,1.0
shopping,2024-05-02,4,2.0
shopping,2024-05-02,5,
shopping,2024-05-02,6,5.0
shopping,2024-05-02,7,23.0
shopping,2024-05-02,8,52.0
shopping,2024-05-02,9,103.0
shopping,2024-05-02,10,145.0
shopping,2024-05-02,11,140.0
shopping,2024-05-02,12,120.0
shopping,2024-05-02,13,78.0
shopping,2024-05-02,14,85.0
shopping,2024-05-02,15,100.0
shopping,2024-05-02,16,141.0
shopping,2024-05-02,17,102.0
shopping,2024-05-02,18,67.0
shopping,2024-05-02,19,34.0
shopping,2024-05-02,20,18.0
shopping,2024-05-02,21,5.0
shopping,2024-05-02,22,9.0
shopping,2024-05-02,23,2.0
shopping,2024-05-03,0,2.0
shopping,2024-05-03,1,1.0
shopping,2024-05-03,2,1.0
shopping,2024-05-03,3,2.0
shopping,2024-05-03,4,3.0
shopping,2024-05-03,5,1.0
shopping,2024-05-03,6,9.0
shopping,2024-05-03,7,32.0
shopping,2024-05-03,8,42.0
shopping,2024-05-03,9,103.0
shopping,2024-05-03,10,129.0
shopping,2024-05-03,11,130.0
shopping,2024-05-03,12,126.0
shopping,2024-05-03,13,120.0
shopping,2024-05-03,14,133.0
shopping,2024-05-03,15,150.0
shopping,2024-05-03,16,132.0
shopping,2024-05-03,17,143.0
shopping,2024-05-03,18,82.0
shopping,2024-05-03,19,47.0
shopping,2024-05-03,20,18.0
shopping,2024-05-03,21,21.0
shopping,2024-05-03,22,16.0
shopping,2024-05-03,23,11.0
shopping,2024-05-04,0,8.0
shopping,2024-05-04,1,3.0
shopping,2024-05-04,2,2.0
shopping,2024-05-04,3,5.0
shopping,2024-05-04,4,4.0
shopping,2024-05-04,5,2.0
shopping,2024-05-04,6,6.0
shopping,2024-05-04,7,10.0
shopping,2024-05-04,8,57.0
shopping,2024-05-04,9,89.0
shopping,2024-05-04,10,165.0
shopping,2024-05-04,11,202.0
shopping,2024-05-04,12,181.0
shopping,2024-05-04,13,176.0
shopping,2024-05-04,14,181.0
shopping,2024-05-04,15,147.0
shopping,2024-05-04,16,107.0
shopping,2024-05-04,17,98.0
shopping,2024-05-04,18,71.0
shopping,2024-05-04,19,47.0
shopping,2024-05-04,20,27.0
shopping,2024-05-04,21,24.0
shopping,2024-05-04,22,17.0
shopping,2024-05-04,23,9.0
shopping,2024-05-05,0,10.0
shopping,2024-05-05,1,7.0
shopping,2024-05-05,2,7.0
shopping,2024-05-05,3,1.0
shopping,2024-05-05,4,
shopping,2024-05-05,5,1.0
shopping,2024-05-05,6,2.0
shopping,2024-05-05,7,3.0
shopping,2024-05-05,8,6.0
shopping,2024-05-05,9,11.0
shopping,2024-05-05,10,19.0
shopping,2024-05-05,11,16.0
shopping,2024-05-05,12,24.0
shopping,2024-05-05,13,47.0
shopping,2024-05-05,14,35.0
shopping,2024-05-05,15,31.0
shopping,2024-05-05,16,29.0
shopping,2024-05-05,17,17.0
shopping,2024-05-05,18,17.0
shopping,2024-05-05,19,7.0
shopping,2024-05-05,20,7.0
shopping,2024-05-05,21,7.0
shopping,2024-05-05,22,2.0
shopping,2024-05-05,23,4.0
shopping,2024-05-06,0,2.0
shopping,2024-05-06,1,
shopping,2024-05-06,2,
shopping,2024-05-06,3,
shopping,2024-05-06,4,2.0
