did,centroids_ar,types,nominatim,len
0045BE716D108143F8606C504634DE9D2024-06-19,"[(9.126973684472517, 48.73719990516996), (9.157573314195593, 48.770686424722776), (9.15395441815501, 48.769426255738054), (9.182471779646795, 48.77578021318035), (9.230716460213674, 48.79206920314582)]","['unknown', 'pharmacy', 'vending_machine', 'restaurant', 'parking']","[('Stuttgart', 'building', 'apartments', 259573630), ('Stuttgart', 'shop', 'supermarket', 6691319613), ('Stuttgart', 'building', 'apartments', 27958149), ('Stuttgart', 'place', 'house', 327055025), ('Stuttgart', 'leisure', 'stadium', 3869991)]",5
01CC0D840AFB131C50458012BBFCE5852024-07-05,[],[],[],0
050CC00BB91751B47DD1E88117830D162024-06-19,"[(11.689304570532803, 47.87926762740218), (9.180251074266458, 48.7792274778032), (9.134604075671875, 48.80929972692802), (9.216189786820618, 48.80101640407271), (9.22912220412535, 48.79171609557955)]","['unknown', 'restaurant', 'social_facility', 'unknown', 'parking']","[('Holzkirchen', 'place', 'house', 3710983413), ('Stuttgart', 'place', 'house', 4326784278), ('Stuttgart', 'amenity', 'social_facility', 103058883), ('Stuttgart', 'building', 'apartments', 882768414), ('Stuttgart', 'tourism', 'attraction', 136082204)]",5
0AF0CC3A14CDC9FB74EA4BA182E2D57D2024-07-05,"[(9.066829043028424, 48.412119250927006), (8.999576997646113, 48.49669144304072), (9.231466539576896, 48.79326247410913)]","['unknown', 'parking', 'exhibition_centre']","[('Mössingen', 'building', 'house', 283412646), ('Tübingen', 'building', 'office', 200176610), ('Stuttgart', 'leisure', 'stadium', 3869991)]",3
0D6F298CF70CFF26F8C44C50660009362024-06-19,"[(9.180316467389831, 48.85681707976906), (9.151231541644034, 48.9246787345868), (9.22085189459309, 48.798413800874854), (9.228590036439307, 48.79178658945434)]","['waste_basket', 'parking', 'pub', 'parking']","[('Kornwestheim', 'building', 'yes', 550577910), ('Tamm', 'amenity', 'parking', 264385451), ('Stuttgart', 'building', 'apartments', 109715016), ('Stuttgart', 'leisure', 'pitch', 25216449)]",4
112B0B75527253BE9C5617A5D8A7CCCF2024-06-19,"[(9.118809360999235, 48.74451799968695), (9.194995891900593, 48.7697148105931), (9.207799489161093, 48.78058672310701), (9.220940067162905, 48.79363003202862), (9.231353705205683, 48.791857083231186), (9.018080344495463, 48.78498947955426)]","['unknown', 'post_box', 'cafe', 'parking', 'unknown', 'charging_station']","[('Stuttgart', 'building', 'apartments', 92938669), ('Stuttgart', 'building', 'apartments', 123626761), ('Stuttgart', 'building', 'yes', 305157850), ('Stuttgart', 'amenity', 'parking', 14251527), ('Stuttgart', 'leisure', 'stadium', 3869991), ('Leonberg', 'amenity', 'parking', 25335965)]",6
112B0B75527253BE9C5617A5D8A7CCCF2024-07-05,"[(9.23092726314906, 48.79164709573446)]",['parking'],"[('Stuttgart', 'leisure', 'stadium', 3869991)]",1
11B812B9FECA091C27EB403A6DACE09E2024-06-19,"[(8.937752280317056, 51.256714669711606), (9.440393979172871, 51.31076885720067), (9.44399627535995, 51.31024821354448), (9.182505410048199, 48.78435258704271), (9.186331572118265, 48.78434831943759), (9.177892670409555, 48.77388978324685), (9.224025845172264, 48.79299128422154), (9.230617177442463, 48.7936155808901), (9.16642146025434, 48.77706632178039), (9.171622732637294, 48.77495334763014), (9.155034945062173, 48.77504729354979)]","['unknown', 'recycling', 'recycling', 'unknown', 'waste_basket', 'restaurant', 'unknown', 'exhibition_centre', 'vending_machine', 'bicycle_rental', 'bicycle_rental']","[('Meineringhausen', 'building', 'house', 687536469), ('Kassel', 'building', 'yes', 181444939), ('Kassel', 'building', 'residential', 132047907), ('Stuttgart', 'highway', 'service', 234914151), ('Stuttgart', 'amenity', 'biergarten', 24959614), ('Stuttgart', 'amenity', 'restaurant', 9173384943), ('Stuttgart', 'amenity', 'parking', 14251527), ('Stuttgart', 'tourism', 'attraction', 136082204), ('Stuttgart', 'building', 'apartments', 37112140), ('Stuttgart', 'highway', 'primary', 314935880), ('Stuttgart', 'railway', 'platform', 120610827)]",11
144A7A0243ABD6922E812FDA3F502F802024-06-19,"[(12.103723494175318, 49.88356079653555), (12.16716700900425, 49.80087403385169), (9.220849117868019, 48.79778127903159), (9.231353058954483, 48.7917165227687)]","['bench', 'post_box', 'waste_basket', 'unknown']","[('Friedenfels', 'amenity', 'restaurant', 240866714), ('Windischeschenbach', 'tourism', 'picnic_site', 2873724026), ('Stuttgart', 'shop', 'vacant', 10800358605), ('Stuttgart', 'leisure', 'stadium', 3869991)]",4
17D9BF6C830ADA463F8C159C9A1411952024-07-05,"[(8.419453383125086, 48.23460525143233), (9.046550932727357, 48.40369497930703), (9.231775295087182, 48.79101286565459)]","['unknown', 'clock', 'parking']","[('Schramberg', 'place', 'house', 4500722232), ('Mössingen', 'amenity', 'bus_station', 281801888), ('Stuttgart', 'leisure', 'stadium', 3869991)]",3
